accepted_name,scientific_name,taxonomic_status,family,broader,establishment_means,sublist,year_first_record,year_last_record,year_first_voucher,year_last_voucher,year_first_iNat_obs,year_last_iNat_obs,first_record_type,last_record_type,latitude_first_record_recent_discovery,longitude_first_record_recent_discovery,latitude_last_record_long_unobserved,longitude_last_record_long_unobserved
Carduus pycnocephalus,Carduus pycnocephalus,accepted,Asteraceae,3.dicot,introduced,recent discovery,1998,1998,1998,1998,,,voucher,voucher,37.740453,-119.574865,,
Centaurea solstitialis,Centaurea solstitialis,accepted,Asteraceae,3.dicot,introduced,recent discovery,1998,2021,1998,1998,2006,2021,voucher,iNat,37.688447,-119.699472,,
Centaurea stoebe,Centaurea stoebe,accepted,Asteraceae,3.dicot,introduced,recent discovery,1998,1998,1998,1998,,,voucher,voucher,37.698611,-119.751944,,
Hypochaeris radicata,Hypochaeris radicata,accepted,Asteraceae,3.dicot,introduced,recent discovery,1998,2021,1998,2010,2021,2021,voucher,iNat,37.719232,-119.626742,,
Sonchus asper,Sonchus asper,accepted,Asteraceae,3.dicot,introduced,recent discovery,1998,2010,1998,2010,,,voucher,voucher,37.740453,-119.574865,,
Sonchus oleraceus,Sonchus oleraceus,accepted,Asteraceae,3.dicot,introduced,recent discovery,1998,1998,1998,1998,,,voucher,voucher,37.740453,-119.574865,,
Tragopogon dubius,Tragopogon dubius,accepted,Asteraceae,3.dicot,introduced,recent discovery,1998,2023,1998,2021,2011,2023,voucher,iNat,37.740453,-119.574865,,
Arabis pycnocarpa,Arabis pycnocarpa,accepted,Brassicaceae,3.dicot,native,recent discovery,1998,1998,1998,1998,,,voucher,voucher,37.719232,-119.626742,,
Dianthus barbatus,Dianthus barbatus,accepted,Caryophyllaceae,3.dicot,introduced,recent discovery,1998,2010,1998,2010,,,voucher,voucher,37.738714,-119.56289,,
Lathyrus latifolius,Lathyrus latifolius,accepted,Fabaceae,3.dicot,native,recent discovery,1998,2023,1998,1998,2015,2023,voucher,iNat,37.747877,-119.587685,,
Geranium robertianum,Geranium robertianum,accepted,Geraniaceae,3.dicot,introduced,recent discovery,1998,2020,1998,2010,2020,2020,voucher,iNat,37.740453,-119.574865,,
Oxalis corniculata,Oxalis corniculata,accepted,Oxalidaceae,3.dicot,introduced,recent discovery,1998,2009,1998,2009,,,voucher,voucher,37.7459368,-119.5754205,,
Lysimachia arvensis,Lysimachia arvensis,accepted,Primulaceae,3.dicot,introduced,recent discovery,1998,1998,1998,1998,,,voucher,voucher,37.740453,-119.574865,,
Rubus ulmifolius,Rubus ulmifolius,accepted,Rosaceae,3.dicot,introduced,recent discovery,1998,2008,1998,2008,,,voucher,voucher,37.740453,-119.574865,,
Agrostis capillaris,Agrostis capillaris,accepted,Poaceae,4.monocot,introduced,recent discovery,1998,2010,1998,2010,,,voucher,voucher,37.746754,-119.574392,,
Bromus sterilis,Bromus sterilis,accepted,Poaceae,4.monocot,introduced,recent discovery,1998,2010,1998,2010,,,voucher,voucher,37.722358,-119.6308,,
Hordeum murinum,Hordeum murinum,accepted,Poaceae,4.monocot,introduced,recent discovery,1998,2009,1998,2009,,,voucher,voucher,37.740453,-119.574865,,
Lolium arundinaceum,Lolium arundinaceum,accepted,Poaceae,4.monocot,introduced,recent discovery,1998,2009,1998,2009,,,voucher,voucher,37.740453,-119.574865,,
Tanacetum parthenium,Tanacetum parthenium,accepted,Asteraceae,3.dicot,introduced,recent discovery,1999,2019,1999,1999,2019,2019,voucher,iNat,37.542255,-119.648084,,
Veronica arvensis,Veronica arvensis,accepted,Plantaginaceae,3.dicot,introduced,recent discovery,1999,2022,1999,2010,2022,2022,voucher,iNat,37.736704,-119.563729,,
Urtica urens,Urtica urens,accepted,Urticaceae,3.dicot,introduced,recent discovery,1999,2010,1999,2010,,,voucher,voucher,37.748656,-119.589142,,
Bromus catharticus,Bromus catharticus,accepted,Poaceae,4.monocot,introduced,recent discovery,1999,1999,1999,1999,,,voucher,voucher,37.875474,-119.34373,,
Parapholis incurva,Parapholis incurva,accepted,Poaceae,4.monocot,introduced,recent discovery,1999,1999,1999,1999,,,voucher,voucher,37.943696,-119.780129,,
Polypogon maritimus,Polypogon maritimus,accepted,Poaceae,4.monocot,introduced,recent discovery,1999,1999,1999,1999,,,voucher,voucher,37.747071,-119.548585,,
Hesperevax acaulis,Hesperevax acaulis,accepted,Asteraceae,3.dicot,native,recent discovery,2002,2002,2002,2002,,,voucher,voucher,37.69735,-119.75879,,
Holocarpha virgata,Holocarpha virgata,accepted,Asteraceae,3.dicot,native,recent discovery,2002,2002,2002,2002,,,voucher,voucher,37.721,-119.697,,
Myosotis discolor,Myosotis discolor,accepted,Boraginaceae,3.dicot,introduced,recent discovery,2002,2016,2002,2010,2016,2016,voucher,iNat,37.53917,-119.6569,,
Brassica nigra,Brassica nigra,accepted,Brassicaceae,3.dicot,introduced,recent discovery,2002,2002,2002,2002,,,voucher,voucher,37.67913,-119.75975,,
Githopsis diffusa,Githopsis diffusa,accepted,Campanulaceae,3.dicot,native,recent discovery,2002,2002,2002,2002,,,voucher,voucher,37.69735,-119.75879,,
Plectritis congesta,Plectritis congesta,accepted,Caprifoliaceae,3.dicot,native,recent discovery,2002,2002,2002,2002,,,voucher,voucher,37.53917,-119.6569,,
Petrorhagia dubia,Petrorhagia dubia,accepted,Caryophyllaceae,3.dicot,introduced,recent discovery,2002,2002,2002,2002,,,voucher,voucher,37.67913,-119.75975,,
Scleranthus annuus,Scleranthus annuus,accepted,Caryophyllaceae,3.dicot,introduced,recent discovery,2002,2002,2002,2002,,,voucher,voucher,37.69735,-119.75879,,
Trifolium dubium,Trifolium dubium,accepted,Fabaceae,3.dicot,introduced,recent discovery,2002,2010,2002,2010,,,voucher,voucher,37.69735,-119.75879,,
Ranunculus muricatus,Ranunculus muricatus,accepted,Ranunculaceae,3.dicot,introduced,recent discovery,2002,2009,2002,2009,,,voucher,voucher,37.67895,-119.75888,,
Datura wrightii,Datura wrightii,accepted,Solanaceae,3.dicot,native,recent discovery,2002,2023,2002,2010,2020,2023,voucher,iNat,37.71974,-119.659134,,
Hordeum marinum,Hordeum marinum,accepted,Poaceae,4.monocot,introduced,recent discovery,2002,2021,2002,2021,,,voucher,voucher,37.53917,-119.6569,,
Melica torreyana,Melica torreyana,accepted,Poaceae,4.monocot,native,recent discovery,2002,2002,2002,2002,,,voucher,voucher,37.67895,-119.75888,,
Torilis nodosa,Torilis nodosa,accepted,Apiaceae,3.dicot,introduced,recent discovery,2003,2005,2003,2005,,,voucher,voucher,37.677241,-119.753064,,
