starting_name,family_TNRS,current_name,infra_taxa,name_source,in_Yosemite_list,outcome,broader,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,notes
Equisetum x ferrissii,Equisetaceae,Equisetum x ferrissii,,TNRS_synonym,TRUE,,1.ferns/primitive,4,3,1958,"Rodin, Robert J.",1984,
Equisetum X ferrissii,Equisetaceae,Equisetum x ferrissii,,TNRS_synonym,TRUE,,1.ferns/primitive,1,1,1963,"Kiefer, Lawrence L.",1963,
Isoetes bolanderi,Isoetaceae,Isoetes bolanderi,,CCH_synonym,TRUE,,1.ferns/primitive,56,39,1894,"Congdon, Joseph Whipple",2009,
Isoetes howellii,Isoetaceae,Isoetes howellii,,CCH_synonym,TRUE,,1.ferns/primitive,9,7,1930,"Peirson, Frank W.",2006,
Isoetes nuttallii,Isoetaceae,Isoetes nuttallii,,CCH_synonym,TRUE,,1.ferns/primitive,10,6,1923,"Hall, C. C.",2017,
Isoetes occidentalis,Isoetaceae,Isoetes occidentalis,,CCH_synonym,TRUE,,1.ferns/primitive,19,16,1922,"Hall, Carlotta Case",2009,
Marsilea vestita,Marsileaceae,Marsilea vestita,,CCH_synonym,TRUE,,1.ferns/primitive,4,2,1933,"Johnstone, George R.",2006,
Botrychium ascendens,Ophioglossaceae,Botrychium ascendens,,CCH_synonym,TRUE,,1.ferns/primitive,2,2,2005,"Colwell, Alison",2007,
Botrychium minganense,Ophioglossaceae,Botrychium minganense,,CCH_synonym,TRUE,,1.ferns/primitive,2,2,1961,"Klikoff, Lionel G.",2007,
Botrychium neolunaria,Ophioglossaceae,Botrychium neolunaria,,TNRS_synonym,FALSE,"add_but_omit, wrong ID",1.ferns/primitive,1,1,1939,"Sharsmith, Carl W.",1939,(Botrychium yaaxudakeit probably)
Botrychium simplex,Ophioglossaceae,Botrychium simplex,,CCH_synonym,TRUE,,1.ferns/primitive,30,23,1898,"Congdon, Joseph Whipple",2007,
Botrychium simplex var. compositum,Ophioglossaceae,Botrychium simplex,,CCH_synonym,TRUE,,1.ferns/primitive,2,2,1974,"Palmer, Rexford E.",2010,
Botrychium multifidum,Ophioglossaceae,Sceptridium multifidum,,CCH_synonym,TRUE,,1.ferns/primitive,20,13,1915,"Labouchere, Theodore",2007,
Botrychium silaifolium,Ophioglossaceae,Botrychium yaaxudakeit,,CCH_synonym,TRUE,,1.ferns/primitive,7,3,1923,"Michael, Enid",1956,
Botrychium silaifolium var. californicum,Ophioglossaceae,Botrychium yaaxudakeit,,TNRS_synonym,TRUE,,1.ferns/primitive,2,2,1956,"Stevens, Carl D.",1956,
Botrychium yaaxudakeit,Ophioglossaceae,Botrychium yaaxudakeit,,CCH_synonym,TRUE,,1.ferns/primitive,1,1,2007,"Colwell, Alison",2007,
Sceptridium multifidum,Ophioglossaceae,Sceptridium multifidum,,CCH_synonym,TRUE,,1.ferns/primitive,8,4,1923,"Munz, Philip Alexander",1972,
Polypodium californicum,Polypodiaceae,Polypodium californicum,,CCH_synonym,TRUE,,1.ferns/primitive,2,,1941,"Keck, David D.",1965,
Polypodium calirhiza,Polypodiaceae,Polypodium calirhiza,,CCH_synonym,TRUE,,1.ferns/primitive,4,1,1924,"Michael, Enid",1983,
Polypodium hesperium,Polypodiaceae,Polypodium hesperium,,CCH_synonym,TRUE,,1.ferns/primitive,2,2,1947,"Sharsmith, Carl W.",1983,
Polypodium vulgare,Polypodiaceae,Polypodium vulgare,,TNRS_synonym,FALSE,"add_but_omit, wrong ID",1.ferns/primitive,2,,1958,"Rodin, Robert J.",1958,
Polystichum scopulinum,Polypodiaceae,Polystichum scopulinum,,CCH_synonym,FALSE,"add, new native",1.ferns/primitive,1,1,1939,"Butts, Edward C.",1939,
Adiantum aleuticum,Primulaceae,Adiantum aleuticum,,CCH_synonym,TRUE,,1.ferns/primitive,19,7,1878,unknown,2007,
Adiantum pedatum var. aleuticum,Primulaceae,Adiantum aleuticum,,CCH_synonym,TRUE,,1.ferns/primitive,2,,1946,"Kamb, Peter",1969,
Adiantum pedatum,Pteridaceae,Adiantum aleuticum,,TNRS_synonym,TRUE,,1.ferns/primitive,5,2,1889,"Congdon, Joseph Whipple",1958,
Adiantum pedatum subsp. aleuticum,Pteridaceae,Adiantum aleuticum,,TNRS_synonym,TRUE,,1.ferns/primitive,1,1,1962,"Kaune, S. M.",1962,
Adiantum jordanii,Pteridaceae,Adiantum jordanii,,CCH_synonym,TRUE,,1.ferns/primitive,2,1,1875,"McLean, F. P.",1875,
Aspidotis californica,Pteridaceae,Aspidotis californica,,CCH_synonym,TRUE,,1.ferns/primitive,7,4,1888,"Congdon, Joseph Whipple",2003,
