starting_name,family_TNRS,current_name,infra_taxa,name_source,in_Yosemite_list,outcome,broader,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,notes
Nemophila maculata,Boraginaceae,Nemophila maculata,,CCH_synonym,TRUE,,3.dicot,2,1,1912,"Chandler, Harley P.",1938,
Nemophila menziesii,Boraginaceae,Nemophila menziesii,,CCH_synonym,TRUE,,3.dicot,14,8,1888,"Congdon, Joseph Whipple",1991,
Nemophila menziesii var. menziesii,Boraginaceae,Nemophila menziesii,,CCH_synonym,TRUE,,3.dicot,1,,1951,"Collier, Gerald",1951,
Nemophila parviflora,Boraginaceae,Nemophila parviflora,,CCH_synonym,TRUE,,3.dicot,1,1,1998,"Graham, Roy D.",1998,
Nemophila parviflora var. austiniae,Boraginaceae,Nemophila parviflora,,Symbiotica,,,3.dicot,,,,,,
Nemophila parviflora var. quercifolia,Boraginaceae,Nemophila parviflora,,CCH_synonym,TRUE,,3.dicot,1,,1938,"Lovegrove, Elsie Zeile",1938,
Nemophila pedunculata,Boraginaceae,Nemophila pedunculata,,CCH_synonym,TRUE,,3.dicot,2,,2006,"Colwell, Alison",2006,
Nemophila cogdonii,Boraginaceae,Nemophila spatulata,,TNRS_synonym,TRUE,,3.dicot,1,,1897,"Congdon, Joseph Whipple",1897,
Nemophila congdonii,Boraginaceae,Nemophila spatulata,,TNRS_synonym,TRUE,,3.dicot,1,,1896,"Congdon, Joseph Whipple",1896,
Nemophila spatulata,Boraginaceae,Nemophila spatulata,,CCH_synonym,TRUE,,3.dicot,36,25,1901,"Evans, Herbert McLean",2006,
Cryptantha nubigena,Boraginaceae,Oreocarya nubigena,,CCH_synonym,TRUE,,3.dicot,14,13,1889,"Chesnut, Drew",2011,
Oreocarya nubigena,Boraginaceae,Oreocarya nubigena,,CCH_synonym,TRUE,,3.dicot,1,,1889,"Chesnut, Drew",1889,
Pectocarya pusilla,Boraginaceae,Pectocarya pusilla,,CCH_synonym,FALSE,"add, new native",3.dicot,2,2,2005,"Colwell, Alison",2006,
Phacelia cicutaria,Boraginaceae,Phacelia cicutaria,,Yos_scientific,,,3.dicot,,,,,,
Phacelia cicutaria var. cicutaria,Boraginaceae,Phacelia cicutaria,,Symbiotica,,,3.dicot,,,,,,
Phacelia congdonii,Boraginaceae,Phacelia congdonii,,Yos_scientific,,,3.dicot,,,,,,
Phacelia crenulata,Boraginaceae,Phacelia crenulata,,from_gbif,,,3.dicot,,,,,,
Phacelia curvipes,Boraginaceae,Phacelia curvipes,,TNRS_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,1,,1883,"Congdon, Joseph Whipple",1883,
Phacelia egena,Boraginaceae,Phacelia egena,,CCH_synonym,TRUE,,3.dicot,4,3,1908,"Heller, Amos Arthur",1935,
Phacelia eisenii,Boraginaceae,Phacelia eisenii,,CCH_synonym,TRUE,,3.dicot,20,13,1907,"Eastwood, Alice",2007,
Phacelia eisenii var. eisenii,Boraginaceae,Phacelia eisenii,,CCH_synonym,TRUE,,3.dicot,4,2,1912,"Chandler, Harley P.",1981,
Phacelia minima,Boraginaceae,Phacelia eisenii,,CCH_synonym,TRUE,,3.dicot,1,,1890,"Congdon, Joseph Whipple",1890,
Phacelia frigida,Boraginaceae,Phacelia hastata,,CCH_synonym,TRUE,,3.dicot,2,,1936,"Pierce, J. H.",1951,
Phacelia hastata,Boraginaceae,Phacelia hastata,,CCH_synonym,TRUE,,3.dicot,5,5,1949,"Reifschneider, O. A.",2014,
Phacelia hastata subsp. compacta,Boraginaceae,Phacelia hastata,,CCH_synonym,TRUE,,3.dicot,19,17,1902,"Hall, Harvey Monroe",2005,
Phacelia hastata subsp. hastata,Boraginaceae,Phacelia hastata,,CCH_synonym,TRUE,,3.dicot,1,,1932,"Benson, Lyman D.",1932,
Phacelia hastata var. compacta,Boraginaceae,Phacelia hastata,,CCH_synonym,TRUE,,3.dicot,3,1,1935,"Williams, H.",1974,
Phacelia heterophylla,Boraginaceae,Phacelia heterophylla,,CCH_synonym,TRUE,,3.dicot,4,4,1929,"Michael, Enid",1937,
Phacelia heterophylla subsp. virgata,Boraginaceae,Phacelia heterophylla,,CCH_synonym,TRUE,,3.dicot,4,,1910,Hutchinson,1936,
Phacelia heterophylla var. virgata,Boraginaceae,Phacelia heterophylla,,Symbiotica,,,3.dicot,,,,,,
Phacelia humilis,Boraginaceae,Phacelia humilis,,CCH_synonym,TRUE,,3.dicot,5,3,1923,"Michael, Enid",1977,
Phacelia humilis var. humilis,Boraginaceae,Phacelia humilis,,CCH_synonym,TRUE,,3.dicot,1,,1925,"Keck, David D.",1925,
Phacelia hydrophylloides,Boraginaceae,Phacelia hydrophylloides,,CCH_synonym,TRUE,,3.dicot,20,18,1863,"Brewer, William Henry",2005,
Phacelia imbricata,Boraginaceae,Phacelia imbricata,,CCH_synonym,TRUE,,3.dicot,3,3,1909,"Jepson, Willis L.",1958,
Phacelia imbricata subsp. imbricata,Boraginaceae,Phacelia imbricata,,CCH_synonym,TRUE,,3.dicot,2,,1907,"Eastwood, Alice",1909,
Phacelia imbricata var. imbricata,Boraginaceae,Phacelia imbricata,,CCH_synonym,TRUE,,3.dicot,,,,,,
Phacelia menziesii,Boraginaceae,Phacelia linearis,,CCH_synonym,TRUE,,3.dicot,1,,1921,"Peirson, Frank W.",1921,
Phacelia magellonica,Boraginaceae,Phacelia magellonica,,TNRS_synonym,FALSE,"remove, not a valid species",3.dicot,1,,1921,"Peirson, Frank W.",1921,
Phacelia mutabilis,Boraginaceae,Phacelia mutabilis,,CCH_synonym,TRUE,,3.dicot,15,10,1909,"Jepson, Willis L.",1965,
Phacelia platyloba,Boraginaceae,Phacelia platyloba,,CCH_synonym,TRUE,,3.dicot,,,,,,
Phacelia purpusii,Boraginaceae,Phacelia purpusii,,CCH_synonym,TRUE,,3.dicot,3,3,1860,"Bolander, Henry Nicholas",2009,
Phacelia quickii,Boraginaceae,Phacelia quickii,,CCH_synonym,TRUE,,3.dicot,29,18,1882,"Brandegee, Katharine",2003,
Phacelia racemosa,Boraginaceae,Phacelia racemosa,,CCH_synonym,TRUE,,3.dicot,7,3,1911,"Hall, Harvey Monroe",1993,
Phacelia ramosissima,Boraginaceae,Phacelia ramosissima,,CCH_synonym,TRUE,,3.dicot,8,5,1898,"Congdon, Joseph Whipple",2006,
Phacelia ramosissima var. ramosissima,Boraginaceae,Phacelia ramosissima,,CCH_synonym,TRUE,,3.dicot,4,2,1907,"Eastwood, Alice",1937,
Phacelia ramosissima var. subglabra,Boraginaceae,Phacelia ramosissima,,CCH_synonym,TRUE,,3.dicot,3,3,1911,"Abrams, Le Roy",1946,
Phacelia tanacetifolia,Boraginaceae,Phacelia tanacetifolia,,CCH_synonym,TRUE,,3.dicot,2,,1911,"Hall, Harvey Monroe",1948,
Phacelia curvipes var. yosemitana,Boraginaceae,Phacelia vallicola,,CCH_synonym,TRUE,,3.dicot,1,1,1911,"Hall, Harvey Monroe",1911,
Phacelia vallicola,Boraginaceae,Phacelia vallicola,,CCH_synonym,TRUE,,3.dicot,10,7,1890,"Bioletti, Frederick Theodore",2006,
Pholistoma auritum,Boraginaceae,Pholistoma auritum,,CCH_synonym,TRUE,,3.dicot,1,1,1939,"Cole, James E.",1939,
Pholistoma auritum var. auritum,Boraginaceae,Pholistoma auritum,,Symbiotica,,,3.dicot,,,,,,
Plagiobothrys bracteatus,Boraginaceae,Plagiobothrys bracteatus,,CCH_synonym,FALSE,"add, new native",3.dicot,2,2,1924,"Jepson, Willis L.",2008,
Plagiobothrys myosotoides,Boraginaceae,Plagiobothrys myosotoides,,CCH_synonym,TRUE,,3.dicot,9,5,2005,"Colwell, Alison",2006,
Plagiobothrys nothofulvus,Boraginaceae,Plagiobothrys nothofulvus,,CCH_synonym,TRUE,,3.dicot,5,3,1928,"Michael, Enid",2006,
Plagiobothrys reticulatus,Boraginaceae,Plagiobothrys reticulatus,,CCH_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,1,1,1902,"Hall, Harvey Monroe",1902,
Plagiobothrys hispidulus,Boraginaceae,Plagiobothrys scouleri,,CCH_synonym,TRUE,,3.dicot,11,8,1911,"Abrams, Le Roy",2021,
Plagiobothrys scouleri,Boraginaceae,Plagiobothrys scouleri,,CCH_synonym,TRUE,,3.dicot,3,3,2005,"Colwell, Alison",2005,
Plagiobothrys scouleri penicillatus,Boraginaceae,Plagiobothrys scouleri,,TNRS_synonym,TRUE,,3.dicot,2,,1897,"Congdon, Joseph Whipple",1911,
Plagiobothrys scouleri var. hispidulus,Boraginaceae,Plagiobothrys scouleri,,CCH_synonym,TRUE,,3.dicot,3,2,1897,"Congdon, Joseph Whipple",2010,
Plagiobothrys stipitatus,Boraginaceae,Plagiobothrys stipitatus,,CCH_synonym,TRUE,,3.dicot,4,4,1924,"Michael, Enid",2006,
Plagiobothrys stipitatus var. micranthus,Boraginaceae,Plagiobothrys stipitatus,,CCH_synonym,TRUE,,3.dicot,2,1,1911,"Abrams, Le Roy",1911,
Plagiobothrys tenellus,Boraginaceae,Plagiobothrys tenellus,,CCH_synonym,TRUE,,3.dicot,9,6,1878,"Ford, Henry Chapman",2006,
Plagiobothrys torreyi,Boraginaceae,Plagiobothrys torreyi,,CCH_synonym,TRUE,,3.dicot,34,23,1878,"Lemmon, John G.",2005,
Plagiobothrys torreyi diffusus,Boraginaceae,Plagiobothrys torreyi,,TNRS_synonym,TRUE,,3.dicot,2,,1918,"Grant, Adele Lewis",1941,
Plagiobothrys torreyi var. diffusus,Boraginaceae,Plagiobothrys torreyi,,CCH_synonym,TRUE,,3.dicot,7,6,1883,"Curran, Mary Katherine",2002,
Plagiobothrys torreyi var. perplexans,Boraginaceae,Plagiobothrys torreyi,,CCH_synonym,TRUE,,3.dicot,3,2,1911,"Hall, Harvey Monroe",2005,
Plagiobothrys torreyi var. torreyi,Boraginaceae,Plagiobothrys torreyi,,CCH_synonym,TRUE,,3.dicot,5,4,1880,"Cleveland, Daniel",2021,
Amsinckia floribunda,Boraginaceae,,,TNRS_synonym,FALSE,,3.dicot,1,,1910,"Hutchinson, Miss",1910,
Anelsonia eurycarpa,Brassicaceae,Anelsonia eurycarpa,,CCH_synonym,TRUE,,3.dicot,2,2,1931,"Blasdale, W. C.",1939,
Arabidopsis thaliana,Brassicaceae,Arabidopsis thaliana,,CCH_synonym,TRUE,,3.dicot,4,4,2009,"Taylor, Dean William",2010,
Arabis eschscholtziana,Brassicaceae,Arabis eschscholtziana,,CCH_synonym,TRUE,,3.dicot,1,,1907,"King, M Alice",1907,
Arabis hirsuta subsp. pycnocarpa,Brassicaceae,Arabis pycnocarpa,,CCH_synonym,TRUE,,3.dicot,1,1,1998,"Jelinek, Bradley",1998,
Arabis pycnocarpa,Brassicaceae,Arabis pycnocarpa,,Yos_scientific,,,3.dicot,,,,,,
Arabis pycnocarpa var. pycnocarpa,Brassicaceae,Arabis pycnocarpa,,Symbiotica,,,3.dicot,,,,,,
Athysanus pusillus,Brassicaceae,Athysanus pusillus,,CCH_synonym,TRUE,,3.dicot,8,3,1911,"Abrams, Le Roy",2006,
Barbarea orthoceras,Brassicaceae,Barbarea orthoceras,,CCH_synonym,TRUE,,3.dicot,23,15,1894,"Lembert, J. B.",2012,
Barbarea orthoceras var. dolichocarpa,Brassicaceae,Barbarea orthoceras,,CCH_synonym,TRUE,,3.dicot,3,1,1930,"Michael, Enid",1944,
Barbarea vulgaris,Brassicaceae,Barbarea vulgaris,,CCH_synonym,TRUE,,3.dicot,2,2,1932,"Purer, Edith A.",2010,
Arabis sparsiflora var. arcuata,Brassicaceae,Boechera arcuata,,CCH_synonym,TRUE,,3.dicot,5,1,1929,"Michael, Enid",1944,
Boechera arcuata,Brassicaceae,Boechera arcuata,,CCH_synonym,TRUE,,3.dicot,22,11,1866,"Bolander, Henry Nicholas",2007,
Boechera covillei,Brassicaceae,Boechera covillei,,CCH_synonym,FALSE,"add, new native",3.dicot,1,1,2010,"Taylor, Dean William",2010,
Arabis davidsonii,Brassicaceae,Boechera davidsonii,,CCH_synonym,TRUE,,3.dicot,5,2,1902,"Hall, Harvey Monroe",2007,
Boechera davidsonii,Brassicaceae,Boechera davidsonii,,CCH_synonym,TRUE,,3.dicot,7,2,1936,"Sharsmith, Carl W.",2007,
Boechera depauperata,Brassicaceae,Boechera depauperata,,CCH_synonym,TRUE,,3.dicot,13,12,1902,"Hall, Harvey Monroe",2011,
Arabis divaricarpa,Brassicaceae,Boechera divaricarpa,,CCH_synonym,TRUE,,3.dicot,1,1,1999,"Jelinek, Bradley",1999,
Arabis divaricarpa var. typica,Brassicaceae,Boechera divaricarpa,,CCH_synonym,FALSE,changed current name,3.dicot,1,1,1942,"Sharsmith, Carl W.",1942,
Boechera divaricarpa,Brassicaceae,Boechera divaricarpa,,CCH_synonym,TRUE,,3.dicot,2,2,1936,"Mason, Herbert L.",1942,
Arabis holboellii,Brassicaceae,Boechera holboellii,,CCH_synonym,FALSE,changed current name,3.dicot,8,3,1923,"Michael, Enid",2006,
Boechera holboellii,Brassicaceae,Boechera holboellii,,TNRS_synonym,TRUE,,3.dicot,1,1,2021,"Dunn, Tamsen",2021,
Arabis platysperma var. howellii,Brassicaceae,Boechera howellii,,CCH_synonym,TRUE,,3.dicot,2,1,1927,"Peirson, Frank W.",1944,
Boechera howellii,Brassicaceae,Boechera howellii,,CCH_synonym,TRUE,,3.dicot,25,10,1890,"Congdon, Joseph Whipple",2011,
Boechera inyoensis,Brassicaceae,Boechera inyoensis,,CCH_synonym,TRUE,,3.dicot,1,,1937,"Sharsmith, Carl W.",1937,
Arabis lemmonii,Brassicaceae,Boechera lemmonii,,CCH_synonym,TRUE,,3.dicot,7,5,1944,"Sharsmith, Carl W.",2007,
Arabis lemmonii var. lemmonii,Brassicaceae,Boechera lemmonii,,CCH_synonym,TRUE,,3.dicot,2,1,1936,"Lee, Edward",2010,
Boechera lemmonii,Brassicaceae,Boechera lemmonii,,CCH_synonym,TRUE,,3.dicot,33,29,1889,"Chesnut, Drew",2021,
Boechera lemmonii drepanoloba,Brassicaceae,Boechera lemmonii,,TNRS_synonym,FALSE,"add_but_omit, wrong ID",3.dicot,2,,1936,"Mason, Herbert L.",1936,
Boechera lemmonii hybrid,Brassicaceae,Boechera lemmonii,,TNRS_synonym,TRUE,,3.dicot,2,,1944,"Howell, John Thomas",1944,
Arabis lyalli,Brassicaceae,Boechera lyallii,,TNRS_synonym,TRUE,,3.dicot,1,1,2004,"Colwell, Alison",2004,
Arabis lyallii,Brassicaceae,Boechera lyallii,,CCH_synonym,TRUE,,3.dicot,7,7,1936,"Haines, A. Lee",2007,
Boechera lyallii,Brassicaceae,Boechera lyallii,,CCH_synonym,TRUE,,3.dicot,12,10,1909,"Jepson, Willis L.",1951,
Boechera paupercula,Brassicaceae,Boechera paupercula,,CCH_synonym,TRUE,,3.dicot,11,10,1933,"Sharsmith, Carl W.",2021,
Arabis holboellii var. pendulocarpa,Brassicaceae,Boechera pendulocarpa,,,,,3.dicot,,,,,,
Boechera pendulocarpa,Brassicaceae,Boechera pendulocarpa,,Yos_scientific,,,3.dicot,,,,,,
Arabis fendleri var. fendleri,Brassicaceae,Boechera perennans,,TNRS_synonym,TRUE,,3.dicot,1,,1936,"Benson, Lyman D.",1936,
Boechera fendleri,Brassicaceae,Boechera perennans,,TNRS_synonym,TRUE,,3.dicot,5,,1883,"Congdon, Joseph Whipple",1894,
Boechera perennans,Brassicaceae,Boechera perennans,,CCH_synonym,TRUE,,3.dicot,1,,1935,"Schreiber, Beryl O.",1935,
Boechera holboelii pinetorum,Brassicaceae,Boechera pinetorum,,TNRS_synonym,TRUE,,3.dicot,2,,1907,"Ware, R. A.",1916,
Boechera pinetorum,Brassicaceae,Boechera pinetorum,,CCH_synonym,TRUE,,3.dicot,11,4,1901,"Grant, George B.",2021,
Arabis platysperma,Brassicaceae,Boechera platysperma,,CCH_synonym,TRUE,,3.dicot,8,3,1910,Hutchinson,2007,
Boechera platysperma,Brassicaceae,Boechera platysperma,,CCH_synonym,TRUE,,3.dicot,24,8,1860,"Bolander, Henry Nicholas",1963,
Boechera platysperma hybrid,Brassicaceae,Boechera platysperma,,TNRS_synonym,TRUE,,3.dicot,3,,1915,"Abrams, Le Roy",1944,
Boechera pratincola,Brassicaceae,Boechera pratincola,,CCH_synonym,FALSE,"add, new native",3.dicot,2,1,1911,"Jepson, Willis L.",1944,
Arabis rectissima,Brassicaceae,Boechera rectissima,,CCH_synonym,TRUE,,3.dicot,3,3,1936,"Haines, A. Lee",2007,
Arabis rectissima var. rectissima,Brassicaceae,Boechera rectissima,,CCH_synonym,TRUE,,3.dicot,6,3,1860,"Bolander, Henry Nicholas",1999,
Boechera rectissima,Brassicaceae,Boechera rectissima,,CCH_synonym,TRUE,,3.dicot,11,4,1894,"Congdon, Joseph Whipple",1963,
Arabis holboellii var. retrofracta,Brassicaceae,Boechera retrofracta,,CCH_synonym,TRUE,,3.dicot,2,1,1944,"Howell, John Thomas",1947,
Boechera retrofracta,Brassicaceae,Boechera retrofracta,,CCH_synonym,TRUE,,3.dicot,5,3,1894,"Dudley, William R.",2021,
Boechera retrofracta hybrid,Brassicaceae,Boechera retrofracta,,TNRS_synonym,TRUE,,3.dicot,5,,1888,"Congdon, Joseph Whipple",1947,
Arabis sparsiflora,Brassicaceae,Boechera sparsiflora,,CCH_synonym,TRUE,,3.dicot,5,5,2004,"Colwell, Alison",2007,
Boechera sparsiflora,Brassicaceae,Boechera sparsiflora,,CCH_synonym,TRUE,,3.dicot,7,6,1895,"Blasdale, W. C.",2006,
Arabis drummondii,Brassicaceae,Boechera stricta,,CCH_synonym,TRUE,,3.dicot,9,8,1929,"Michael, Enid",2007,
Boechera drummondii,Brassicaceae,Boechera stricta,,CCH_synonym,FALSE,changed current name,3.dicot,2,2,2010,"Taylor, Dean William",2010,
Boechera stricta,Brassicaceae,Boechera stricta,,CCH_synonym,TRUE,,3.dicot,7,5,1935,"Schreiber, Beryl O.",2021,
Boechera stricta hybrid,Brassicaceae,Boechera stricta,,TNRS_synonym,FALSE,changed current name,3.dicot,2,,1930,"Hall, Harvey Monroe",1944,
Boechera subpinnatifida,Brassicaceae,Boechera subpinnatifida,,TNRS_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,1,,1896,"Congdon, Joseph Whipple",1896,
Boechera tularensis,Brassicaceae,Boechera tularensis,,CCH_synonym,FALSE,"add, new native",3.dicot,2,,1915,"Abrams, Le Roy",1939,
Brassica nigra,Brassicaceae,Brassica nigra,,CCH_synonym,TRUE,,3.dicot,1,1,2002,"Taylor, Dean William",2002,
Brassica campestris,Brassicaceae,Brassica rapa,,CCH_synonym,TRUE,,3.dicot,1,1,1927,"Michael, Enid",1927,
Brassica rapa,Brassicaceae,Brassica rapa,,CCH_synonym,TRUE,,3.dicot,1,1,2007,"Colwell, Alison",2007,
Capsella bursa-pastoris,Brassicaceae,Capsella bursa-pastoris,,CCH_synonym,TRUE,,3.dicot,11,7,1900,"Bioletti, Frederick Theodore",2010,
Cardamine breweri,Brassicaceae,Cardamine breweri,,CCH_synonym,TRUE,,3.dicot,3,1,1928,"Michael, Enid",1944,
Cardamine californica,Brassicaceae,Cardamine californica,,CCH_synonym,TRUE,,3.dicot,4,3,1924,"Howell, John Thomas",1998,
Cardamine hirsuta,Brassicaceae,Cardamine hirsuta,,iNat_synonym,,,3.dicot,,,,,,
Cardamine nuttallii,Brassicaceae,Cardamine nuttallii,,CCH_synonym,TRUE,,3.dicot,2,2,1903,"Congdon, Joseph Whipple",2009,
Cardamine nuttallii dissecta,Brassicaceae,Cardamine nuttallii,,TNRS_synonym,TRUE,,3.dicot,1,,1903,"Congdon, Joseph Whipple",1903,
Dentaria corymbosa,Brassicaceae,Cardamine nuttallii,,CCH_synonym,TRUE,,3.dicot,2,2,1930,"Michael, Enid",1937,
Cardamine oligosperma,Brassicaceae,Cardamine oligosperma,,CCH_synonym,TRUE,,3.dicot,4,3,1972,"Howell, John Thomas",2010,
Cardamine pachystigma,Brassicaceae,Cardamine pachystigma,,Yos_scientific,,,3.dicot,,,,,,
Caulanthus amplexicaulis,Brassicaceae,Caulanthus amplexicaulis,,CCH_synonym,FALSE,"add_but_omit, wrong ID",3.dicot,1,,1979,"Martinez, L.",1979,
Descurainia californica,Brassicaceae,Descurainia californica,,CCH_synonym,TRUE,,3.dicot,3,3,1901,"Evans, Herbert McLean",2010,
Descurainia incana,Brassicaceae,Descurainia incana,,CCH_synonym,TRUE,,3.dicot,7,5,1890,"Congdon, Joseph Whipple",2010,
Descurainia incisa,Brassicaceae,Descurainia incisa,,CCH_synonym,TRUE,,3.dicot,3,3,1883,"Congdon, Joseph Whipple",1999,
Descurainia incisa subsp. incisa,Brassicaceae,Descurainia incisa,,CCH_synonym,TRUE,,3.dicot,5,2,1907,"Eastwood, Alice",2010,
Sisymbrium incisum,Brassicaceae,Descurainia incisa,,TNRS_synonym,TRUE,,3.dicot,1,1,1935,"Schreiber, Beryl O.",1935,
Descurainia longepedicellata,Brassicaceae,Descurainia longepedicellata,,TNRS_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,1,,1906,"Head, Anna",1906,
Descurainia pinnata,Brassicaceae,Descurainia pinnata,,CCH_synonym,TRUE,,3.dicot,1,,1888,"Congdon, Joseph Whipple",1888,
Descurainia pinnata subsp. brachycarpa,Brassicaceae,Descurainia pinnata,,CCH_synonym,TRUE,,3.dicot,2,,1921,"Zeile, Elsie M.",1921,
Descurainia pinnata subsp. menziesii,Brassicaceae,Descurainia pinnata,,CCH_synonym,TRUE,,3.dicot,1,1,1895,"Blasdale, W. C.",1895,
Descurainia pinnata subsp. pinnata,Brassicaceae,Descurainia pinnata,,TNRS_synonym,TRUE,,3.dicot,1,1,1896,"Congdon, Joseph Whipple",1896,
Descurainia sophia,Brassicaceae,Descurainia sophia,,CCH_synonym,TRUE,,3.dicot,2,2,2009,"Taylor, Dean William",2009,
Draba albertina,Brassicaceae,Draba albertina,,CCH_synonym,TRUE,,3.dicot,39,27,1863,"Brewer, William Henry",2010,
Draba stenoloba,Brassicaceae,Draba albertina,,CCH_synonym,FALSE,changed current name,3.dicot,6,2,1894,"Congdon, Joseph Whipple",1957,
Draba stenoloba var. nana,Brassicaceae,Draba albertina,,CCH_synonym,TRUE,,3.dicot,1,1,1942,"Leschke, Hans G.",1942,
Draba breweri,Brassicaceae,Draba breweri,,CCH_synonym,TRUE,,3.dicot,33,24,1863,"Brewer, William Henry",2012,
Draba breweri var. breweri,Brassicaceae,Draba breweri,,CCH_synonym,TRUE,,3.dicot,1,1,1889,"Chesnut, Drew",1889,
Draba cana,Brassicaceae,Draba cana,,CCH_synonym,FALSE,"add, new native",3.dicot,1,1,2011,"Grossenbacher, Dena",2011,
Draba crassifolia,Brassicaceae,Draba crassifolia,,TNRS_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,2,,1872,"Gray, Asa",1885,
Draba densifolia,Brassicaceae,Draba densifolia,,CCH_synonym,TRUE,,3.dicot,21,18,1897,"Lemmon, John G.",2011,
Draba glacialis,Brassicaceae,Draba glacialis,,TNRS_synonym,TRUE,,3.dicot,2,1,1936,"Haines, A. Lee",1936,
Draba lemmoni,Brassicaceae,Draba lemmonii,,TNRS_synonym,TRUE,,3.dicot,3,,1911,"Jepson, Willis L.",1939,
Draba lemmonii,Brassicaceae,Draba lemmonii,,CCH_synonym,TRUE,,3.dicot,35,24,1878,"Lemmon, John G.",2010,
Draba lemmonii var. lemmonii,Brassicaceae,Draba lemmonii,,CCH_synonym,TRUE,,3.dicot,24,19,1863,"Brewer, William Henry",2007,
Draba longisquamosa,Brassicaceae,Draba longisquamosa,,CCH_synonym,TRUE,,3.dicot,1,1,1989,"Ewart, R. B.",1989,
Draba oligosperma,Brassicaceae,Draba oligosperma,,CCH_synonym,TRUE,,3.dicot,13,13,1897,"Lemmon, John G.",2012,
Draba oligosperma var. oligosperma,Brassicaceae,Draba oligosperma,,CCH_synonym,TRUE,,3.dicot,12,12,1863,"Brewer, William Henry",2010,
Draba praealta,Brassicaceae,Draba praealta,,CCH_synonym,TRUE,,3.dicot,7,5,1959,"Hardham, Clare Butterworth",2011,
Draba verna,Brassicaceae,Draba verna,,CCH_synonym,TRUE,,3.dicot,5,4,1972,"Howell, John Thomas",2009,
Draba verna var. verna,Brassicaceae,Draba verna,,TNRS_synonym,TRUE,,3.dicot,1,1,2009,"Taylor, Dean William",2009,
Erysimum asperum,Brassicaceae,Erysimum asperum,,TNRS_synonym,FALSE,"add_but_omit, taxonomic_mismatch",3.dicot,1,,1885,"Congdon, Joseph Whipple",1885,
Erysimum capitatum,Brassicaceae,Erysimum capitatum,,CCH_synonym,TRUE,,3.dicot,29,17,1860,"Bolander, Henry Nicholas",2007,
Erysimum capitatum subsp. capitatum,Brassicaceae,Erysimum capitatum,,CCH_synonym,TRUE,,3.dicot,6,4,1911,"Jepson, Willis L.",1965,
Erysimum capitatum var. capitatum,Brassicaceae,Erysimum capitatum,,CCH_synonym,TRUE,,3.dicot,3,3,1930,"Martin, H.",2005,
Erysimum capitatum var. purshii,Brassicaceae,Erysimum capitatum,,TNRS_synonym,TRUE,,3.dicot,1,1,1890,"Congdon, Joseph Whipple",1890,
Erysimum occidentale,Brassicaceae,Erysimum occidentale,,TNRS_synonym,TRUE,,3.dicot,2,2,1898,"Congdon, Joseph Whipple",1898,
Erysimum capitatum perenne,Brassicaceae,Erysimum perenne,,TNRS_synonym,TRUE,,3.dicot,1,,1863,"Brewer, William Henry",1863,
Erysimum capitatum subsp. perenne,Brassicaceae,Erysimum perenne,,CCH_synonym,TRUE,,3.dicot,15,15,1863,"Brewer, William Henry",1946,
Erysimum capitatum var. perenne,Brassicaceae,Erysimum perenne,,CCH_synonym,TRUE,,3.dicot,2,2,1878,"Ford, Henry Chapman",2005,
Erysimum perenne,Brassicaceae,Erysimum perenne,,CCH_synonym,TRUE,,3.dicot,28,8,1907,"Ware, R. A.",1974,
Hirschfeldia incana,Brassicaceae,Hirschfeldia incana,,CCH_synonym,TRUE,,3.dicot,4,3,1964,"Frenkel, R. E.",2010,
Hornungia procumbens,Brassicaceae,Hornungia procumbens,,CCH_synonym,TRUE,,3.dicot,1,,1944,"Howell, John Thomas",1944,
Hutchinsia procumbens,Brassicaceae,Hornungia procumbens,,CCH_synonym,TRUE,,3.dicot,1,1,1944,"Howell, John Thomas",1944,
Lepidium densiflorum,Brassicaceae,Lepidium densiflorum,,CCH_synonym,TRUE,,3.dicot,4,4,1888,"Congdon, Joseph Whipple",1926,
Lepidium densiflorum var. densiflorum,Brassicaceae,Lepidium densiflorum,,CCH_synonym,TRUE,,3.dicot,3,1,1911,"Abrams, Le Roy",1976,
Lepidium densiflorum var. ramosum,Brassicaceae,Lepidium densiflorum,,CCH_synonym,TRUE,,3.dicot,1,1,1995,"Taylor, Dean William",1995,
Lepidium lasiocarpum,Brassicaceae,Lepidium lasiocarpum,,from_gbif,,,3.dicot,,,,,,
Lepidium ramosissimum,Brassicaceae,Lepidium ramosissimum,,CCH_synonym,TRUE,,3.dicot,2,2,2009,"Smith, Sierra",2009,
Lepidium ramosissimum var. bourgeauanum,Brassicaceae,Lepidium ramosissimum,,CCH_synonym,TRUE,,3.dicot,1,1,1997,"Taylor, Dean William",1997,
Lepidium ruderale,Brassicaceae,Lepidium ruderale,,TNRS_synonym,TRUE,,3.dicot,2,2,1883,"Congdon, Joseph Whipple",1896,
Lepidium texanum,Brassicaceae,Lepidium ruderale,,TNRS_synonym,TRUE,,3.dicot,1,1,1944,"Sharsmith, Carl W.",1944,
