accepted_name,,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Ammannia coccinea,0,Ammannia coccinea,current,Lythraceae,3.dicot,,N/A,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, untraced taxonomic error",1,1,1,1893,"Ford, Henry Chapman",1893,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_1,taxonomic_mismatch-1800's_voucher,"1 CCH2 observation, from 1893",,,,,"Central Valley, true flatlands",https://www.cch2.org/portal/collections/individual/index.php?occid=65554&clid=0,,,taxonomic_mismatch-1800's_voucher,,,1893,1893,1
Lythrum hyssopifolia,0,Lythrum hyssopifolia,current,Lythraceae,3.dicot,,native,,,1,1,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,1,,1,2006,"McGlinchy, Maureen",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,1 gbif wih description that matches much lower elevation site - and specifes 324 m elevation; also 1 recent CCH2 voucher from above Pate Valley,,,,,"mostly Coast Range, but scattered observations throughout low elevation Sierra",https://www.gbif.org/occurrence/3059709414,,,,,,,,
Lythrum portula,0,Lythrum portula,current,Lythraceae,3.dicot,,introduced,,,,,,,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",XX-not in graphics,"XX-not on parks list, but occurs in park",geographic error,"add, coordinates erroneously outside park or missing coordinates",1,,1,2008,"Taylor, Dean William",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum salicaria,0,Lythrum salicaria,current,Lythraceae,3.dicot,,N/A,,,,,1,,,x,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-no voucher, not in park",,,,,,,,,,,,,,,,,,disagree_with_iNat,,in_1,,,,data error (identification),iNat misID,Will curated before I got started - wrongID,,,,,,,iNat misID,,,
Rotala ramosior,0,Rotala ramosior,current,Lythraceae,3.dicot,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,2,1,1938,"Mason, Herbert L.",2008,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Yosemite Valley, Hetch Hetchy",pl_1,,,"CCH, Taylor: several vouchers, old and recent, in Hetch Hetchy area",,,,,,,,,vouchers not in database-old&recent vouchers,,1938,2008,4
Eremalche exilis,0,Eremalche exilis,current,Malvaceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",1,1,,1866,Geological Survey,1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fremontodendron californicum,0,Fremontodendron californicum,current,Malvaceae,3.dicot,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in park",1,1,,1891,"Dodd, Mrs. [initials confusing]",1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus denudatus,0,Hibiscus denudatus,current,Malvaceae,3.dicot,,N/A,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",geographic error,"remove, coordinates erroneously inside park",,,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_1,wrong_coordinates-Riverside,1 gbif voucher with locality referring to Riverside County,,,,,desert species with all records south of LA latitude,https://www.gbif.org/occurrence/1929753590,,,,,,,,
Malva nicaeensis,0,Malva nicaeensis,current,Malvaceae,3.dicot,,introduced,,,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in park",,,,,,,,,,,,,,,in Symbiota,,,disagree_with_park_list (El Portal),,pl_1,,,recent El Portal voucher only; Taylor: no regional vouchers,,,,,,,,,wrong range-El Portal vouchers,,N/A,N/A,0
Malva parviflora,0,Malva parviflora,current,Malvaceae,3.dicot,,introduced,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,,2,2010,"Taylor, Dean William",2010,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Yosemite Valley; Merced Lake,pl_1,,,"CCH: 2 recent vouchers (Merced Lake stock corral, Yosemite Valley); Taylor: no vouchers - although the Yos vouchers are his, just post-book",,,,,,,,,vouchers not in database-recent vouchers only,,2010,2010,2
Sidalcea asprella,0,Sidalcea asprella,current,Malvaceae,3.dicot,Sidalcea malviflora var. asprella,native,,1,1,1,,1,1,,1,,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,4,4,2,1872,"Redfield, John H.",1944,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,CCH: a few old vouchers along western park boundary; generally lower elevation,,,,,,,,,,,,,,
Sidalcea asprella,1,Sidalcea malviflora,synonym (pro parte),Malvaceae,3.dicot,Sidalcea asprella (in part),native,,2,,1,,synonym,synonym,synonym,1,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,,,,,,,,,,,,,,,synonym_from_GBIF_being_kept [[duplicate names in vouchers]],,v_2,taxonomic_mismatch-synonym,"CCH: many records through several Botti collections in 1980's, then nothing",,,,,"Coast Range species and the scattered Sierra observations are all ""NeedsID""",,,,taxonomic_mismatch-synonym,,,,,
Sidalcea diploscypha,0,Sidalcea diploscypha,current,Malvaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"maybe, but seems likely a different species same genus. Check just in case","not sure which species of Sidalcea, but not this one",,,,,,
Sidalcea glaucescens,0,Sidalcea glaucescens,current,Malvaceae,3.dicot,,native,11,35,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,7,5,3,1911,"Jepson, Willis L.",1998,dpom,6/30/2014,goflowers,7/30/2022,2014,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Sidalcea multifida,0,Sidalcea multifida,current,Malvaceae,3.dicot,,N/A,,,,1,,,,,,1,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",geographic error,"remove, coordinates erroneously inside park",,,,,,,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch-1800's_voucher,CCH: no vouchers; gbif: 1 2022 voucher with wrong coordinates,,,,,,https://www.gbif.org/occurrence/4455993344,,,,,,2022,2022,1-wrong coord
Sidalcea oregana,0,Sidalcea oregana,current,Malvaceae,3.dicot,,native,,2,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, untraced taxonomic error",2,2,1,1916,"Smiley, F. J.",1932,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch / wrong_ID,"CCH: 2 vouchers,  1915, 1932, different locations and different elevations; but Taylor writes no Yosemite vouchers",,,,,common on east side and southern Sierra; I've seen at Kennedy Lake,,,,taxonomic_mismatch,,,1915,1932,2
Sidalcea reptans,0,Sidalcea reptans,current,Malvaceae,3.dicot,,native,1,3,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,7,7,3,1866,"Bolander, Henry Nicholas",1969,pemoore,8/31/2020,pemoore,8/31/2020,2020,2020,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,CCH: only old vouchers; iNat mostly by Peggy Moore and other good botanists,,,,,,,,,,,,,,
Sphaeralcea ambigua,0,Sphaeralcea ambigua,current,Malvaceae,3.dicot,,N/A,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",geographic error,"remove, coordinates erroneously inside park",,,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_coordinates-Riverside,"1 gbif voucher references location in Riverside County, but coordinates are below Johnson Lake (South Fork Merced)",,,,,"east side species, extending to 10,000 feet and into southern Sierra; 2 west side low elevation specimens odd - from wildflower mixes??",https://www.gbif.org/occurrence/1929307153,,,,,,,,
