accepted_name,,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Athyrium americanum,0,Athyrium americanum,current,Aspleniaceae,1.ferns/primitive,Athyrium alpestre var. americanum,native,14,9,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,20,15,14,1922,"Hall, Carlotta Case",2011,lisamurphy,7/28/2018,mitchm44,8/25/2023,2018,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,various,pl_1,,,,,,,,,,,,vouchers not in database-old&recent vouchers,,1922,2011,17
Athyrium angustum,0,Athyrium angustum,current,Aspleniaceae,1.ferns/primitive,,out-of-range,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",identification error,"remove, incorrect identification",,,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_1,wrong_ID,"no CCH2 vouchers; gbif - Rutgers University, Chrysler Herbarium",,,,,northeastern US,https://www.gbif.org/occurrence/2595761923,,,taxonomic_mismatch-mis-identification,,,1934,1934,1
Athyrium filix-femina,0,Athyrium filix-femina,current,Aspleniaceae,1.ferns/primitive,,native,20,1,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain species under synonymous name,retain species under synonymous name,retain exact name,retain exact name,40,39,23,1866,"Bolander, Henry Nicholas",2003,spifferella,7/10/2012,carlosdinature,8/28/2023,2012,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Athyrium filix-femina,1,Athyrium cyclosorum,synonym,Aspleniaceae,1.ferns/primitive,Athyrium filix femina var. cyclosorum,native,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,spifferella,7/10/2012,carlosdinature,8/28/2023,2012,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,"CCH: no vouchers; iNat: all observations east of crest - a few in the eastern Sierra, but mostly Great Basin; Taylor: no mention",,,,,,,,,synonym,,,,
Woodwardia fimbriata,0,Woodwardia fimbriata,current,Blechnaceae,1.ferns/primitive,,native,90,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,11,8,5,1911,"Hall, Carlotta Case",2008,wildlander,6/1/2007,zihanwei,2/13/2024,2007,2024,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Cystopteris fragilis,0,Cystopteris fragilis,current,Cystopteridaceae,1.ferns/primitive,,native,26,11,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,63,61,35,1866,"Bolander, Henry Nicholas",2007,greenrosettas,4/12/2014,thomastaylor1,9/6/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Pteridium feei,0,Pteridium feei,current,Dennstaedtiaceae,1.ferns/primitive,Aquilinum feei ; Pteridium feei,native,259,2,,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain species under synonymous name,retain species under synonymous name,retain exact name,retain exact name,11,11,4,1906,"Head, Anna",1956,marivillasol,6/20/2008,dwdaniels,12/5/2023,2008,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,"(per TNRS, for Yosemite subspecies) - not per iNat yet",,,,,,,,,,,,1906,1956,12
Pteridium feei,1,Pteridium aquilinum,synonym,Dennstaedtiaceae,1.ferns/primitive,Pteridium aquilinum var. pubescens (per TNRS),native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,marivillasol,6/20/2008,dwdaniels,12/5/2023,2008,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Dryopteris arguta,0,Dryopteris arguta,current,Dryopteridaceae,1.ferns/primitive,,native,23,33,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,32,32,16,1869,"Canby, William M.",1981,greenrosettas,4/12/2014,velodrome,11/24/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1894,1981,29
Dryopteris filix mas,0,Dryopteris filix mas,current,Dryopteridaceae,1.ferns/primitive,,out-of-range,,1,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in park",databasing discrepancy,"remove, designated as 'False Report'",XX-not in graphics,"XX-no voucher, not in park",,,,,,,,,,,,,,,,,,disagree_with_park_list,,pl_1,,,,,,,,,,,,"wrong range - ""Not In Park - False Report""",,,,
Polystichum imbricans,0,Polystichum imbricans,current,Dryopteridaceae,1.ferns/primitive,,native,27,14,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,33,32,13,1869,"Canby, William M.",2006,greenrosettas,4/12/2014,ljfilgas,12/14/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,various,,,,,,,,,,,,,,,1880,2006,22
Polystichum imbricans,1,Polystichum munitum,misapplied,Dryopteridaceae,1.ferns/primitive,misapplied to Polystichum imbricans,native,,,1,1,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in park",taxonomic or nomenclatural error,"remove, misapplied name",taxonomic or nomenclatural error,"remove, misapplied name",,,,,,,greenrosettas,4/12/2014,ljfilgas,12/14/2023,2014,2023,,,,,,disagree_with_has_voucher&parks_list,Yosemite Valley,v_3,taxonomic_mismatch-misapplied,"CCH-lots of old vouchers, but no recent ones; Taylor says name commonly misapplied to Polystichum imbricans in old literature",,,,,,,,,taxonomic_mismatch-misapplied,,,1888,1863,11
Polystichum kruckebergii,0,Polystichum kruckebergii,current,Dryopteridaceae,1.ferns/primitive,,native,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,1,1,1939,"Butts, Edward C.",1939,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,iNat: scattered observations in California and Great Basin; closest in Tahoe; Taylor: voucher from Virginia Canyon on metamorphics (1939),,,,,,,,,vouchers not in database-old vouchers only,,1939,1939,1
Polystichum lonchitis,0,Polystichum lonchitis,current,Dryopteridaceae,1.ferns/primitive,,N/A,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",identification error,"remove, incorrect identification",1,1,1,1912,"Fitch, M. H.",1912,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_ID,,"iNat: only 1 CA obs, otherwise along Candian border and northern states; CCH: 1 1912 voucher from Vernal Falls in RSA; correct label seems to be imbricans",,,,,,,,,,,1912,1912,1
Equisetum arvense,0,Equisetum arvense,current,Equisetaceae,1.ferns/primitive,,native,9,10,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,10,9,6,1897,"Congdon, Joseph Whipple",2005,jacqueline17,5/22/2016,karenoffereins,5/10/2023,2016,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Equisetum hyemale,0,Equisetum hyemale,current,Equisetaceae,1.ferns/primitive,Equisetum praealtum,native,82,51,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain species under synonymous name,retain species under synonymous name,retain exact name,retain exact name,9,8,4,1897,"Congdon, Joseph Whipple",2021,justin2,8/23/2004,plbuttercup,11/25/2023,2004,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Equisetum hyemale,1,Equisetum praealtum,synonym,Equisetaceae,1.ferns/primitive,Equisetum hyemale,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,justin2,8/23/2004,plbuttercup,11/25/2023,2004,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Equisetum laevigatum,0,Equisetum laevigatum,current,Equisetaceae,1.ferns/primitive,,native,6,14,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,13,13,6,1872,"Coulter, J. M.",1982,dalien,6/11/2019,ljfilgas,7/10/2023,2019,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1893,1982,14
Equisetum telmateia,0,Equisetum telmateia,current,Equisetaceae,1.ferns/primitive,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from three years ago (species no longer suggested by CV for this observation)",,,,,,,
Equisetum x ferrissii,0,Equisetum x ferrissii,current,Equisetaceae,1.ferns/primitive,,native,5,1,,1,1,,1,1,1,,1,,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in park",retain exact name,retain exact name,7,7,6,1865,"Torrey, John",1984,,,,,,,,,,,,(not a real name),Yosemite Valley,,,,,,,,,,,,,,,1956,1984,4
Isoetes bolanderi,0,Isoetes bolanderi,current,Isoetaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,56,40,39,1894,"Congdon, Joseph Whipple",2009,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,throughout,v_2,correct-old&recent_vouchers,"lots of vouchers in CCH2, old and recent",,,,,,,,,,,,1894,2009,63
Isoetes howellii,0,Isoetes howellii,current,Isoetaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,9,1,7,1930,"Peirson, Frank W.",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,"mainly Hetch Hetchy, Tuolumne",v_1,correct-old&recent_vouchers,"lots of vouchers in CCH2, old and recent",,,,,"various parts of California, but none in the Sierra",,,,,,,1930,2006,9
Isoetes nuttallii,0,Isoetes nuttallii,current,Isoetaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,9,6,6,1923,"Hall, Carlotta Case",2017,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,"lots of vouchers in CCH2, old and recent",,,,,scattered observations in lower elevation Sierra Nevada - and beyond,,,,,,,,,
Isoetes occidentalis,0,Isoetes occidentalis,current,Isoetaceae,1.ferns/primitive,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",19,4,16,1922,"Hall, Carlotta Case",2009,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,throughout,pl_1,,,"Taylor, CCH: vouchers old and recent from diversity of locations",,,,,,,,,vouchers not in database-old&recent vouchers,,1922,2009,21
Marsilea vestita,0,Marsilea vestita,current,Marsileaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,4,2,2,1933,"Johnstone, George R.",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,"Yosemite Valley, Hetch Hetchy",,correct-old&recent_vouchers,,,,,,,,,,,,,1933,2006,5
Botrychium ascendens,0,Botrychium ascendens,current,Ophioglossaceae,1.ferns/primitive,,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,,2,2005,"Colwell, Alison",2007,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Virginia Cyn, Ledge Trail",pl_1,,,Taylor: Virginia Cyn & Ledge Trail vouchers,,,,,,,,,vouchers not in database,,2005,2007,2
Botrychium minganense,0,Botrychium minganense,current,Ophioglossaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,2,1,2,1961,"Klikoff, Lionel G.",2007,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Botrychium neolunaria,0,Botrychium neolunaria,current,Ophioglossaceae,1.ferns/primitive,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'incorrect identification'; not in park",1,1,1,1939,"Sharsmith, Carl W.",1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botrychium simplex,0,Botrychium simplex,current,Ophioglossaceae,1.ferns/primitive,,native,6,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,32,29,25,1898,"Congdon, Joseph Whipple",2010,calochortus_goff,7/3/2020,chloe_and_trevor,9/2/2023,2020,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Botrychium yaaxudakeit,0,Botrychium yaaxudakeit,current,Ophioglossaceae,1.ferns/primitive,,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2007,"Colwell, Alison",2007,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Virginia Cyn,pl_1,,,iNat: Canada only; Taylor: voucher from head Viriginia Cyn - discusses disjunct pop,,,,,,,,,vouchers not in database-new vouchers only,,2007,2007,1
Sceptridium multifidum,0,Sceptridium multifidum,current,Ophioglossaceae,1.ferns/primitive,Botrychium multifidum,native,14,1,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain species under synonymous name,retain species under synonymous name,retain exact name,retain exact name,33,32,20,1915,"Labouchere, Theodore",2007,cathychambers,8/11/2014,thomastaylor1,8/11/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,various,,,,,,,,,,,,,,,1915,2007,32
Sceptridium multifidum,1,Botrychium multifidum,synonym,Ophioglossaceae,1.ferns/primitive,Sceptridium multifidum,native,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,cathychambers,8/11/2014,thomastaylor1,8/11/2023,2014,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Polypodium californicum,0,Polypodium californicum,current,Polypodiaceae,1.ferns/primitive,,native,,5,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,2,,1941,"Keck, David D.",1965,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,"2 CCH vouchers - 1941 (HH), 1965 (Arch Rock); not in Taylor",,,,,,,,,,vouchers not in database-old vouchers only,,1941,1965,2
Polypodium calirhiza,0,Polypodium calirhiza,current,Polypodiaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,4,4,1,1924,"Michael, Enid",1983,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,,,,,,,,,,,,,1924,1983,4
Polypodium glycyrrhiza,0,Polypodium glycyrrhiza,current,Polypodiaceae,1.ferns/primitive,,native,,,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in park",databasing discrepancy,"remove, designated as 'False Report'",XX-not in graphics,"XX-no voucher, not in park",,,,,,,,,,,,,,,,,,disagree_with_park_list,,pl_1,,,Taylor: mentions name misapplied to plants in area; CCHL no vouchers,,,,,,,,,"wrong range - ""Not In Park - False Report""",,N/A,N/A,0
Polypodium hesperium,0,Polypodium hesperium,current,Polypodiaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,retain exact name,retain exact name,2,2,2,1947,"Sharsmith, Carl W.",1983,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,CCH: 3 old vouchers,,,,,,,,,,,,1947,1983,2
Polypodium vulgare,0,Polypodium vulgare,current,Polypodiaceae,1.ferns/primitive,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'incorrect identification'; not in park",2,2,,1958,"Rodin, Robert J.",1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polystichum scopulinum,0,Polystichum scopulinum,current,Polypodiaceae,1.ferns/primitive,,native,,,,,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",XX-not in graphics,"XX-not on parks list, but occurs in park",geographic error,"add, coordinates erroneously outside park or missing coordinates",1,1,1,1939,"Butts, Edward C.",1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adiantum aleuticum,0,Adiantum aleuticum,current,Pteridaceae,1.ferns/primitive,Adiantum pedatum var. aleuticum,native,39,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,21,19,9,1878,unknown,2007,jmaughn,9/22/2007,plbuttercup,11/24/2023,2007,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,First published in Rhodora 93: 112 (1991),,,,,,,,,,,,,,
Adiantum aleuticum,1,Adiantum pedatum,misapplied,Pteridaceae,1.ferns/primitive,misapplied to Adiantum aleuticum,out-of-range,,,,1,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",taxonomic or nomenclatural error,"remove, misapplied name",,,,,,,jmaughn,9/22/2007,plbuttercup,11/24/2023,2007,2023,,,,,,disagree_with_has_voucher&parks_list,,v_2,taxonomic_mismatch-split,"iNat: east coast only, where it is very common; not in CA on POWO either; but lots and lots of pre-1956 vouchers from  CCH, so must have been a split at some point; per Taylor misapplied",,,,,,,,,taxonomic_mismatch-split,,,1889,1969,8
Adiantum jordanii,0,Adiantum jordanii,current,Pteridaceae,1.ferns/primitive,,native,,,1,,,1,,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-vouchers missed due to 'undetected synonyms' found, but rejected due to 'untraced taxonomic error'",1,1,1,1875,"McLean, F. P.",1875,,,,,,,,,in Symbiota,,,disagree_with_park_list,,pl_1,old_vouchers_only-1800's vouchers,,"iNat: Coast Range and very low elevation Sierra; Taylor: 1875 Yosemite Valley voucher the highest range record; he seems to trust this, but voucher just says ""Yosemite"" - and in 1875 that might well be outside the park",,,,,,,,,wrong range-Coast Range and much lower elevation Sierra,,1875,1875,1
Aspidotis californica,0,Aspidotis californica,current,Pteridaceae,1.ferns/primitive,Hemionitis californica,native,,1,,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in park",retain species under synonymous name,retain species under synonymous name,retain exact name,retain exact name,9,8,7,1888,"Congdon, Joseph Whipple",2003,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym,,v_3,correct-old&recent_vouchers,"CCH: lots of older vouchers + 1 recent one, along western park boundary",,,,,,,,,,,,,,
Aspidotis californica,1,Hemionitis californica,synonym,Pteridaceae,1.ferns/primitive,Aspidotis californica,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,,,,,,,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Aspidotis densa,0,Aspidotis densa,current,Pteridaceae,1.ferns/primitive,Hemionitis densa,native,52,3,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain species under synonymous name,retain species under synonymous name,retain exact name,retain exact name,70,67,37,1863,"Brewer, William Henry",2014,barbaraparris,12/19/1981,dexterbanjo,12/28/2023,1981,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Aspidotis densa,1,Hemionitis densa,synonym,Pteridaceae,1.ferns/primitive,Aspidotis densa,native,,,1,,,synonym,synonym,synonym,1,1,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,barbaraparris,12/19/1981,dexterbanjo,12/28/2023,1981,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Cryptogramma acrostichoides,0,Cryptogramma acrostichoides,current,Pteridaceae,1.ferns/primitive,,native,43,14,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,51,50,32,1878,"Bradley, C. B.",2007,sacha,8/21/2003,dennisronsse,11/3/2023,2003,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Cryptogramma cascadensis,0,Cryptogramma cascadensis,current,Pteridaceae,1.ferns/primitive,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,3,1,1866,"Bolander, Henry Nicholas",2007,,,,,,,,,,,,agree_with_park_list&YES_vouchers_exist,yes,pl_1,,,"iNat: multiple vouchers just outside the park, including one of mine on Gale Peak within a few 100 m of park; Taylor: voucher on DAFF dome; many more vouchers just east of park; only voucher in CCH2 with coordinates maybe just added from Jepson?",,,,,,,,,vouchers not in database-old&recent vouchers,,1866,2007,3
Myriopteris clevelandii,0,Myriopteris clevelandii,current,Pteridaceae,1.ferns/primitive,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in park",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside park or missing coordinates' found, but rejected due to 'incorrect identification'; not in park",1,1,1,1915,"Gibbons, Mary S.",1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriopteris cooperae,0,Myriopteris cooperae,current,Pteridaceae,1.ferns/primitive,,native,,,,,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in park",XX-not in graphics,"XX-not on parks list, but occurs in park",geographic error,"add, coordinates erroneously outside park or missing coordinates",2,2,,1897,"Hutchings, Miss C.",1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriopteris covillei,0,Myriopteris covillei,current,Pteridaceae,1.ferns/primitive,Hemionitis covillei,native,9,9,,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain species under synonymous name,retain species under synonymous name,retain exact name,retain exact name,14,14,7,1890,"Congdon, Joseph Whipple",1965,greenrosettas,4/12/2014,barbara1143,12/5/2022,2014,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Myriopteris covillei,1,Hemionitis covillei,synonym,Pteridaceae,1.ferns/primitive,Myriopteris covillei,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,greenrosettas,4/12/2014,barbara1143,12/5/2022,2014,2022,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Myriopteris gracilis,0,Myriopteris gracilis,current,Pteridaceae,1.ferns/primitive,,native,,,,,1,,,x,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in park",XX-not in graphics,"XX-no voucher, not in park",,,,,,,,,,,,,,,,,,disagree_with_iNat,,,,,,data error (identification),iNat misID,"ONLY iNat observation outside of the desert, but IDed by fern expert - I've messaged him to askâ€¦; identifier agrees he was wrong - ""I've re-evaluated my earlier identification after a nudge by @lizzywenk. (Thank you Lizzy.) The leaves appear a little more hairy than is typical for M. intertexta, but that could be the lighting and angle of the photo. The granite substrate is diagnostic. M. gracilis only occurs on calcareous rocks. M. intertexta is common on the granite rocks at Yosemite."" https://www.inaturalist.org/observations/124506001",,,,,,,iNat misID,N/A,N/A,0
Myriopteris gracillima,0,Myriopteris gracillima,current,Pteridaceae,1.ferns/primitive,Hemionitis gracillima,native,18,2,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain species under synonymous name,retain species under synonymous name,retain exact name,retain exact name,36,34,22,1863,"Brewer, William Henry",2015,henicorhina,8/26/2009,velodrome,11/24/2023,2009,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,1863,1963,46
Myriopteris gracillima,1,Hemionitis gracillima,synonym,Pteridaceae,1.ferns/primitive,Myriopteris gracillima,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,henicorhina,8/26/2009,velodrome,11/24/2023,2009,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Myriopteris intertexta,0,Myriopteris intertexta,current,Pteridaceae,1.ferns/primitive,Hemionitis intertexta,native,8,6,,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain species under synonymous name,retain species under synonymous name,retain exact name,retain exact name,8,8,4,1878,"Bradley, C. B.",1975,frondsinhighplaces,10/21/2009,coloradobeck,8/9/2023,2009,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,"Yosemite Valley, Arch Rock",,,,,,,,,,,,,,,1878,1975,8
