accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Draba densifolia,Draba densifolia,current,Brassicaceae,3.dicot,,native,4,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,21,18,1897,"Lemmon, John G.",2011,lizzywenk,7/15/2013,lizzywenk,6/21/2014,2013,2014,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Draba glacialis,Draba glacialis,current,Brassicaceae,3.dicot,,N/A,,,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",2,1,1936,"Haines, A. Lee",1936,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_1,taxonomic_mismatch / wrong_ID,only CCH2 vouchers from Haines in 1936 in UCLA Herbarium,,,,,Siberian taxon,https://www.gbif.org/occurrence/2565962260 (White Mtn observation where species named crossed out by Munz on sheet!); https://www.gbif.org/occurrence/3406835060,,,taxonomic_mismatch-something wrong,,,1936,1936,1
Draba lemmonii,Draba lemmonii,current,Brassicaceae,3.dicot,,native,19,5,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,53,39,1863,"Brewer, William Henry",2010,kevinhintsa,8/2/2004,silversea_starsong,10/7/2023,2004,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Draba longisquamosa,Draba longisquamosa,current,Brassicaceae,3.dicot,,native,,1,,1,,,1,,1,,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,1,1,1989,"Ewart, R. B.",1989,,,,,,,,,,,,agree_with_has_voucher&NOT_on_park_list,,v_2,correct_probably-old_vouchers_only,"CCH: 1 1989 voucher from Dana; Taylor doesn't mention this voucher, says only in the southern Sierra but could extend north; had been twice Ided as lemonii, but then update in 2012",,,,,"old Mt Dana specimen with name updated in 2012; I thought this species was only to south, but could well be widerspread",https://www.gbif.org/occurrence/2451557857,,,taxonomic_mismatch,,,1989,1989,1
Draba oligosperma,Draba oligosperma,current,Brassicaceae,3.dicot,,native,3,1,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,24,24,1863,"Brewer, William Henry",2012,lizzywenk,7/15/2013,annienzelll,7/30/2021,2013,2021,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Draba praealta,Draba praealta,current,Brassicaceae,3.dicot,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",7,5,1959,"Hardham, Clare Butterworth",2011,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,"Taylor: vouchers on Mt Gibbs, Return Canyon below Summit Lake",,,,,,,,,vouchers not in database-old&recent vouchers,,1959,2011,7
Draba verna,Draba verna,current,Brassicaceae,3.dicot,,native,7,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,5,4,1972,"Howell, John Thomas",2009,genghisattenborough,4/14/2011,kassiehenrikson,5/1/2022,2011,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,recent only,,,,,,,,,,,,,,,1972,2009,4
Erysimum asperum,Erysimum asperum,current,Brassicaceae,3.dicot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,,1885,"Congdon, Joseph Whipple",1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erysimum capitatum,Erysimum capitatum,current,Brassicaceae,3.dicot,Erysimum capitatum ssp. capitatum,native,90,85,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,31,18,1860,"Bolander, Henry Nicholas",2007,annwf,6/11/2013,dgrimmphd,7/28/2023,2013,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Erysimum occidentale,Erysimum occidentale,current,Brassicaceae,3.dicot,,N/A,,,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, taxonomic mismatch",2,2,1898,"Congdon, Joseph Whipple",1898,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_1,taxonomic_mismatch-1800's_voucher,"2 1890's vouchers from Bell Museum Herbarium, University of Minnesota",,,,,Washington and Oregon,,,,taxonomic_mismatch-wrong something,,,1898,1898,2-Congdon
Erysimum perenne,Erysimum perenne,current,Brassicaceae,3.dicot,Erysimum capitatum ssp. perenne,native,7,14,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,45,25,1863,"Brewer, William Henry",2005,leslie_flint,7/23/2015,anton_clifford,7/2/2022,2015,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Hirschfeldia incana,Hirschfeldia incana,current,Brassicaceae,3.dicot,,introduced,,2,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,4,3,1964,"Frenkel, R. E.",2010,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,Yosemite Valley; White Wolf; recent only,,correct-recent_vouchers_only,,,,,,,,,,,,,1964,2010,5
Hornungia procumbens,Hornungia procumbens,current,Brassicaceae,3.dicot,,native,,,1,,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,1944,"Howell, John Thomas",1944,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,Taylor: Soda Springs voucher from 1944,,,,,,,,,vouchers not in database-old vouchers only,,1944,1944,1
Lepidium densiflorum,Lepidium densiflorum,current,Brassicaceae,3.dicot,,native,1,7,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,7,5,1888,"Congdon, Joseph Whipple",1995,lostforager,9/3/2021,lostforager,9/3/2021,2021,2021,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Lepidium draba,Lepidium draba,current,Brassicaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove-fixed,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,https://www.inaturalist.org/observations/28653670,"almost 100% certainly a misID, was a CV suggestion from five years ago (species no longer suggested by CV for this observation)",wrong family! changed to Sambucus racemosa,,,,,,
Lepidium lasiocarpum,Lepidium lasiocarpum,current,Brassicaceae,3.dicot,,N/A,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_1,wrong_coordinates-Riverside,"1 CCH2 record from near Mariposa; 1 gbif, once again referencing ""Big Maria Mountains, 12 airline miles north of downtown Blythe. """,,,,,"mainly deserts and southern California, but in Owens Valley and some Coast Range; not in the Sierra",https://www.gbif.org/occurrence/1928394049,,,,,,,,
Lepidium latifolium,Lepidium latifolium,current,Brassicaceae,3.dicot,,introduced,1,1,,1,iNat-not-gbif,,,x,,,,,"remove, 01. wrong ID","XX-not on parks list, not in park","remove, no voucher located during check & not in park",,,,,,,,,,,,,,,restricted_license,,disagree_with_has_voucher&disagree_with_iNat,,v_2,no vouchers (unlikely in park),CCH: no vouchers; gbif: no vouchers; iNat: 1 Yosemite Valley voucher,,data error (identification),iNat misID,mis-identification,,https://www.inaturalist.org/observations/118680813,,,,,mis-identification,N/A,N/A,0
Lepidium nitidum,Lepidium nitidum,current,Brassicaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from four years ago, and photo is non-Idable","not possible to ID, but very unlikely",,,,,,
Lepidium ramosissimum,Lepidium ramosissimum,current,Brassicaceae,3.dicot,,introduced,,,1,,,1,1,,,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",3,3,1997,"Taylor, Dean William",2009,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Yosemite Valley,pl_1,,,Taylor: Yosemite Valley voucher,,,,,,,,,vouchers not in database,,1997,2009,2
Lepidium ruderale,Lepidium ruderale,current,Brassicaceae,3.dicot,,introduced,,,,1,,,1,,1,,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,3,3,1883,"Congdon, Joseph Whipple",1944,,,,,,,,,,,,agree_with_has_voucher&NOT_on_park_list,,v_2,correct-old_vouchers_only / taxonomic_mismatch,CCH: 2 Congdon + 1 Sharsmith voucher; not mentioned in Taylor,,,,,,,,,,,,1883,1944,3
Lepidium virginicum,Lepidium virginicum,current,Brassicaceae,3.dicot,,introduced,,4,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,16,12,1923,"Howell, John Thomas",2010,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,various,,correct-old&recent_vouchers,,,,,,,,,,,,,1923,2010,12
Lunaria annua,Lunaria annua,current,Brassicaceae,3.dicot,,introduced,,,1,,,1,,,,,1,,"XX-not in iNat, maybe in park","retain, nearby voucher","XX-no voucher, maybe in park",,,,,,,,,,,,,,in Symbiota,,,disagree_with_park_list (El Portal),,pl_1,,,"Taylor: 1 voucher from El Portal, only regional voucher",,,,,,,,,wrong range-El Portal vouchers,,N/A,N/A,0
Nasturtium officinale,Nasturtium officinale,current,Brassicaceae,3.dicot,Rorippa nasturtium-aquaticum,introduced,2,5,1,1,obscured,1,1,1,1,1,1,,"add, manually obscured coordinates",retain on list,retain voucher,4,2,1911,"Abrams, Le Roy",1999,rangerwild,10/8/2021,iibeka,10/23/2021,2021,2021,,,in Symbiota,geoprivate_by_observer; restricted_license,,agree_with_has_voucher&YES_on_park_list-didn't check,"Yosemite Valley, Badger Pass",,,,,,,,,,,,,,,1911,1999,4
Phoenicaulis cheiranthoides,Phoenicaulis cheiranthoides,current,Brassicaceae,3.dicot,,native,2,,1,1,1,1,1,1,,1,1,,retain observation,retain on list,retain voucher,2,2,2005,"Colwell, Alison",2005,leef,7/23/2021,lizzywenk,6/15/2022,2021,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,eastern boundary,,,,,,,,,,,,,,,2005,2005,2
Raphanus raphanistrum,Raphanus raphanistrum,current,Brassicaceae,3.dicot,,introduced,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",3,2,1964,"Frenkel, R. E.",2009,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Yosemite Valley, White Wolf, Yosemite West",pl_1,,,Taylor: voucher from Hodgdon Mdw,,,,,,,,,vouchers not in database-old&recent vouchers,,1964,2009,3
Raphanus sativus,Raphanus sativus,current,Brassicaceae,3.dicot,,introduced,,,,1,,,1,,1,1,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,3,3,1927,"Michael, Enid",1999,,,,,,,,,in Symbiota,,,agree_with_has_voucher&NOT_on_park_list,"western boundary, White Wolf",v_2,correct-old&recent_vouchers,"CCH: 3 vouchers, 1 from 1928, 1961, 1999",,,,,,,,,,,,1927,1999,3
Rorippa curvipes,Rorippa curvipes,current,Brassicaceae,3.dicot,,native,,,1,,,1,1,,,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",4,3,2006,"Colwell, Alison",2007,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,various,pl_1,,,"Taylor: ssp. curvipes occasional on east slope below 8000; truncata occasional on west slope below 8000, but only voucher Sonora Pass; 2nd check, several others show up",,,,,,,,,wrong range-east of park,,2006,2007,4
Rorippa curvisiliqua,Rorippa curvisiliqua,current,Brassicaceae,3.dicot,,native,,2,1,1,,1,1,,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,19,12,1894,"Congdon, Joseph Whipple",2021,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Rorippa sinuata,Rorippa sinuata,current,Brassicaceae,3.dicot,,native,,,,1,,,1,,1,,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,4,3,1883,"Congdon, Joseph Whipple",1894,,,,,,,,,,,,agree_with_has_voucher&NOT_on_park_list,,v_2,correct-old_voucher_only,"CCH: 4 Congdon vouchers from diverse locations; Taylor: mentioned as existing on both sides of the range, but no Yosemite vouchers",,,,,,,,,taxonomic_mismatch-1800's_voucher,,,1883,1894,4
Sinapis arvensis,Sinapis arvensis,current,Brassicaceae,3.dicot,,introduced,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,1,1964,"Frenkel, R. E.",1999,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"western boundary, White Wolf",pl_1,,,Taylor: 1 voucher from White Wolf stables; Foresta; 1964 * 1999,,,,,,,,,vouchers not in database-old&recent vouchers,,1964,1999,2
Sisymbrium altissimum,Sisymbrium altissimum,current,Brassicaceae,3.dicot,,introduced,3,7,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,15,13,1926,"Bacigalupi, Rimo C.",2009,ncarbone88,5/22/2016,dgrimmphd,7/26/2023,2016,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,"Yosemite Valley, western boundary",,,,,,,,,,,,,,,1926,2009,13
Sisymbrium erysimoides,Sisymbrium erysimoides,current,Brassicaceae,3.dicot,,introduced,,,,,,,1,,,1,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,2009,"Smith, Sierra",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisymbrium irio,Sisymbrium irio,current,Brassicaceae,3.dicot,,introduced,,,,,,,1,,,1,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",2,2,2009,"Taylor, Dean William",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisymbrium officinale,Sisymbrium officinale,current,Brassicaceae,3.dicot,,introduced,,,1,,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,,1983,"Botti, Stephen J.",1983,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,Dean Taylor lists a 1983 Botti voucher in the park,,,,,,,,,vouchers not in database-old vouchers only,,1887,1983,2
Streptanthus diversifolius,Streptanthus diversifolius,current,Brassicaceae,3.dicot,,native,8,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,5,1,1917,"Grant, Adele Lewis",2008,finatic,6/26/2015,dday81,5/11/2023,2015,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,Hetch Hetcy; recent only,,,,,,,,,,,,,,,1926,2008,3
Streptanthus lasiophyllus,Streptanthus lasiophyllus,current,Brassicaceae,3.dicot,,out-of-range,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_coordinates-Riverside,"CCH: no vouchers; gbif: 1 voucher = Big Maria Mountains, 12 airline miles north of downtown Blythe. ; not in Taylor",,,,,,,,,,,,,,
Streptanthus polygaloides,Streptanthus polygaloides,current,Brassicaceae,3.dicot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park",XX-taxonomic mismatch voucher found in CCH download; not in park,1,,1863,"Brewer, William Henry",1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptanthus tortuosus,Streptanthus tortuosus,current,Brassicaceae,3.dicot,,native,392,8,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,124,71,1860,"Bolander, Henry Nicholas",2021,mccreedy,6/16/2007,mattdunning,10/19/2023,2007,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Subularia aquatica,Subularia aquatica,current,Brassicaceae,3.dicot,,native,1,,1,1,obscured,1,1,1,1,1,1,,"add, auto-obscured coordinates",retain on list,retain voucher,14,12,1934,"Sharsmith, Carl W.",2009,matsonburger,8/11/2008,matsonburger,8/11/2008,2008,2008,,,in Symbiota,geoprivate_by_iNat,,agree_with_has_voucher&YES_on_park_list,,,correct_probably-old&recent_vouchers,,,,,,rare but widespread,,,,,,,,,
Thysanocarpus curvipes,Thysanocarpus curvipes,current,Brassicaceae,3.dicot,,native,4,4,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,36,15,1862,"Bolander, Henry Nicholas",2006,matthewmosher,5/22/2016,rangerwild,4/18/2021,2016,2021,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Thysanocarpus laciniatus,Thysanocarpus laciniatus,current,Brassicaceae,3.dicot,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove-impossible to ID,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,Maybe legit,impossible to ID which Thysanocarpus this is,,,,,,
Tomostima cuneifolia,Tomostima cuneifolia,current,Brassicaceae,3.dicot,,,,2,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from three years ago (species no longer suggested by CV for this observation)",,,,,,,
Tomostima reptans,Tomostima reptans,current,Brassicaceae,3.dicot,"Draba reptans, Draba mcrantha",native,,,,1,,,1,,1,,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,1,1,1981,"Taylor, Dean William",1981,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_1,taxonomic_mismatch-synonym,"one gbif/CCH voucher in UCDavis herbarium (in CCH2 as old name, Draba reptans (Dean Taylor collection); neither in NPS list; in Jepson as a waif. Excluding",,,,,"throughout Central US, with 2 observations in Nevada",https://www.gbif.org/occurrence/2421740592; https://www.cch2.org/portal/collections/individual/index.php?occid=1367749&clid=0,,,taxonomic_mismatch-synonym,,,1981,1981,1-Davis herbarium
Tropidocarpum gracile,Tropidocarpum gracile,current,Brassicaceae,3.dicot,,native,,1,1,,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,1928,"Michael, Enid",1928,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,CCH: 1 Michael voucher from Yosemite Valley 1928; Taylor has looked at voucher and doesn't dismiss it,,,,"Coast Range, far southern Sierra, and very low elevation Sierra foothills",,,,,vouchers not in database-old vouchers only (but unlikely location),,1928,1928,1
Turritis glabra,Turritis glabra,current,Brassicaceae,3.dicot,Arabis glabra var. glabra,native,5,6,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,14,7,1902,"Bacon, Mrs. D. G.",2006,rchrdjames,5/22/2016,lbarlas,6/6/2023,2016,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Yosemitea repanda,Yosemitea repanda,current,Brassicaceae,3.dicot,Yosemitea repanda,native,2,1,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,25,12,1866,"Bolander, Henry Nicholas",2010,danimal,6/29/2019,pemoore,7/8/2020,2019,2020,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Brasenia schreberi,Brasenia schreberi,current,Cabombaceae,3.dicot,,native,,,1,1,obscured,1,1,1,1,1,1,,"add, auto-obscured coordinates",retain on list,retain voucher,9,7,1897,"Turner, H. W.",2008,,,,,,,,,in Symbiota,geoprivate_by_iNat,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers / coordinates_obscured,,,,,,"several populations around Swamp Lake, Gravel Pit Lake",,,,,,,,,
Calycanthus occidentalis,Calycanthus occidentalis,current,Calycanthaceae,3.dicot,,native,118,8,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,22,15,1900,Cook; Reynolds,2021,johneppler,6/22/2007,burgundy5,11/21/2023,2007,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Downingia montana,Downingia montana,current,Campanulaceae,3.dicot,,native,2,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,16,13,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",2011,calochortus_goff,5/31/2017,ev4nw01f,6/20/2019,2017,2019,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Githopsis diffusa,Githopsis diffusa,current,Campanulaceae,3.dicot,,native,,,,,,,1,,,1,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,2002,"Taylor, Dean William",2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Githopsis pulchella,Githopsis pulchella,current,Campanulaceae,3.dicot,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","XX-wrong ID voucher found in CCH download, not in park",1,1,1928,"Michael, Enid",1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Githopsis specularioides,Githopsis specularioides,current,Campanulaceae,3.dicot,,native,,,1,1,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,retain voucher,3,1,1880,"Cleveland, Daniel",1947,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_3,correct-old_vouchers_only,,,,,,,,,,,,,1943,1947,2
Heterocodon rariflorum,Heterocodon rariflorum,current,Campanulaceae,3.dicot,Heterocodon rariflorus,native,1,,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,20,16,1866,"Bolander, Henry Nicholas",2006,serpophaga,7/9/2017,serpophaga,7/9/2017,2017,2017,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym,various,v_3,correct-old&recent_vouchers,"CCH: many old vouchers + 1 recent one, around western park boundary, Ackerson Mdw, Yosemite Valley",,,,,,,,,,,,1878,2006,19
Heterocodon rariflorum,Heterocodon rariflorus,synonym,Campanulaceae,3.dicot,Heterocodon rariflorum,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,serpophaga,7/9/2017,serpophaga,7/9/2017,2017,2017,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Nemacladus capillaris,Nemacladus capillaris,current,Campanulaceae,3.dicot,,native,,,1,,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,1,1938,"Mason, Herbert L.",1943,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,"Taylor, CCH: vouchers up to 1982 from several locations",,,,,,,,,vouchers not in database-old vouchers only,,1938,1943,2
Nemacladus interior,Nemacladus interior,current,Campanulaceae,3.dicot,,native,4,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,19,11,1866,State Survey,1999,dgreenberger,6/17/2017,voleman,6/13/2022,2017,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Porterella carnosula,Porterella carnosula,current,Campanulaceae,3.dicot,,native,,,1,,,,,,,,,,"XX-not in iNat, not in park","remove, range far from park","XX-no voucher, not in park",,,,,,,,,,,,,,,,,disagree_with_park_list,,pl_1,,,in Taylor mentions one eastside voucher; CCH: no vouchers,,,,,,,,,wrong range-east of park,,N/A,N/A,0
Smithiastrum prenanthoides,Smithiastrum prenanthoides,current,Campanulaceae,3.dicot,Campanula prenanthoides,native,38,3,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,26,17,1878,"Ford, Henry Chapman",1999,megnd,10/9/2011,carmelm,10/18/2023,2011,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Smithiastrum prenanthoides,Campanula prenanthoides,synonym,Campanulaceae,3.dicot,Smithiastrum prenanthoides,native,,,1,,,synonym,synonym,synonym,1,1,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,megnd,10/9/2011,carmelm,10/18/2023,2011,2023,,,,,,agree_with_park_list&YES_voucher_under_synonym,,pl_1,,,,,,,,,,,,synonym,,,,
Triodanis biflora,Triodanis biflora,current,Campanulaceae,3.dicot,,native,,,,,,,1,,1,,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,1902,"Hall, Harvey Monroe",1902,,,,,,,,,in Symbiota,,,,,,,,,,,,,,,,,,,,,
Triodanis perfoliata,Triodanis perfoliata,current,Campanulaceae,3.dicot,,native,,,1,,,,,,,,,,"XX-not in iNat, not in park","remove, range far from park","XX-no voucher, not in park",,,,,,,,,,,,,,,,,disagree_with_park_list,,pl_1,,,"no mention in Taylor, no regional vouchers - should this be Triodanis biflora, which has been found in Hetch Hetchy in 1902?",,,,,,,,,wrong range,,,,
Humulus lupulus,Humulus lupulus,current,Cannabaceae,3.dicot,,introduced,13,,,1,1,,1,1,,1,1,,retain observation,"not on parks list, but occurs in park",retain voucher,1,1,2009,"Taylor, Dean William",2009,,,,,,,,,,,good example of recent invasive - now also throughout Yosemite Valley based on iNat,agree_with_has_voucher&NOT_on_park_list,western boundary,,correct-recent_vouchers_only,CCH: single recent voucher from Taylor near Carlon Falls,,,,,,,,,,,,2009,2009,1
Lonicera caerulea,Lonicera caerulea,current,Caprifoliaceae,3.dicot,,native,5,,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,14,8,1866,"Bolander, Henry Nicholas",1997,lizzywenk,6/14/2014,empid,6/2/2022,2014,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Lonicera conjugialis,Lonicera conjugialis,current,Caprifoliaceae,3.dicot,,native,37,8,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,34,24,1866,"Bolander, Henry Nicholas",2007,lizzywenk,6/14/2014,john_rose,9/27/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
