scientific_name,observed_on,latitude,longitude,source,establishment_means
Lythrum portula,2008-01-01,37.97966,-119.88049,voucher,introduced
Malacothrix clevelandii,2010-01-01,37.74292,-119.61915,voucher,native
Malva parviflora,2010-01-01,37.74883,-119.59124,voucher,introduced
Marah horrida,2015-06-05,37.8185826667,-119.76264045,iNat,native
Melica torreyana,2002-01-01,37.67895,-119.75888,voucher,native
Melissa officinalis,2004-01-01,37.73427,-119.56449,voucher,introduced
Mentzelia laevicaulis,2022-07-09,37.9478468892,-119.5603410095,iNat,native
Muhlenbergia asperifolia,2005-01-01,37.940913,-119.582917,voucher,native
Myosotis discolor,2002-01-01,37.53917,-119.6569,voucher,introduced
Myosotis stricta,2009-01-01,37.7413,-119.56377,voucher,introduced
Myriophyllum sibiricum,2008-01-01,37.87223,-119.36957,voucher,native
Navarretia linearifolia,2009-01-01,37.57342,-119.56535,voucher,native
Nemophila pedunculata,2022-04-10,37.531905,-119.6447,iNat,native
Nepeta cataria,2010-01-01,37.53603,-119.65705,voucher,introduced
Oxalis albicans,2008-01-01,37.97515,-119.87666,voucher,native
Oxalis corniculata,1998-01-01,37.744388,-119.573764,voucher,introduced
Oxalis dillenii,2009-01-01,37.74335,-119.58554,voucher,introduced
Packera pseudaurea,2011-01-01,38.002713,-119.32048,voucher,native
Parapholis incurva,1999-01-01,37.943696,-119.780129,voucher,introduced
Parthenocissus inserta,1997-01-01,37.734165,-119.56778,voucher,introduced
Parthenocissus quinquefolia,2022-08-11,37.7501633333,-119.5914616667,iNat,introduced
Pectocarya pusilla,2005-01-01,37.713985,-119.67806,voucher,native
Persicaria hydropiper,1997-01-01,37.734165,-119.56778,voucher,introduced
Persicaria lapathifolia,1997-01-01,37.734165,-119.56778,voucher,native
Petrorhagia dubia,2002-01-01,37.67913,-119.75975,voucher,introduced
Phoenicaulis cheiranthoides,2005-01-01,38.063282,-119.332886,voucher,native
Pinus attenuata,2009-01-01,37.70461,-119.73439,voucher,native
Plagiobothrys myosotoides,2005-01-01,37.713985,-119.678065,voucher,native
Platanthera leptopetala,2013-06-13,37.9251802684,-119.4762650516,iNat,native
Poa fendleriana,2010-01-01,37.93252,-119.29274,voucher,native
Poa palustris,2010-01-01,37.53437,-119.6582,voucher,introduced
Polycarpon tetraphyllum,1997-01-01,37.734165,-119.56778,voucher,introduced
Polypogon maritimus,1999-01-01,37.747071,-119.548585,voucher,introduced
Potamogeton alpinus,2003-01-01,37.651369,-119.632418,voucher,native
Potentilla indica,2019-07-27,37.748190977,-119.5932631153,iNat,introduced
Prunus cerasifera,2009-01-01,37.74077,-119.59071,voucher,introduced
Prunus persica,2010-01-01,37.5377,-119.65773,voucher,introduced
Psilocarphus brevissimus,2006-01-01,37.924876,-119.817856,voucher,native
Ranunculus glaberrimus,2010-01-01,37.89876,-119.23558,voucher,native
Ranunculus muricatus,2002-01-01,37.67895,-119.75888,voucher,introduced
Ranunculus repens,2021-09-17,37.5382116667,-119.6592416667,iNat,introduced
Robinia pseudoacacia,2009-01-01,37.74088,-119.591,voucher,introduced
Rorippa curvipes,2006-01-01,37.888219,-119.261631,voucher,native
Rubus armeniacus,2014-05-05,37.743698,-119.56671,iNat,introduced
Rubus ulmifolius,1998-01-01,37.740453,-119.574865,voucher,introduced
Rumex pulcher,2004-01-01,37.747686,-119.727917,voucher,introduced
Rumex utahensis,2012-01-01,37.87473,-119.226602,voucher,native
Sagina procumbens,2010-01-01,37.746,-119.57459,voucher,introduced
Sanicula bipinnata,2021-05-08,37.5292466373,-119.6367545387,iNat,native
Saponaria officinalis,2008-01-01,37.97425,-119.91404,voucher,introduced
Schoenoplectus subterminalis,2003-01-01,37.949061,-119.830568,voucher,native
Scleranthus annuus,2002-01-01,37.69735,-119.75879,voucher,introduced
Sedum album,1997-01-01,37.743056,-119.58,voucher,introduced
Senecio vulgaris,2009-01-01,37.74705,-119.58788,voucher,introduced
Sisymbrium erysimoides,2009-01-01,37.72451,-119.63682,voucher,introduced
Sisymbrium irio,2009-01-01,37.75043,-119.58944,voucher,introduced
Solanum americanum,2021-09-06,37.7418861111,-119.5649944444,iNat,native
Solanum nigrum,2010-01-01,37.74417,-119.57769,voucher,introduced
Solidago stricta,2010-01-01,37.53794,-119.66037,voucher,introduced
Sonchus asper,1998-01-01,37.740453,-119.574865,voucher,introduced
Sonchus oleraceus,1998-01-01,37.740453,-119.574865,voucher,introduced
Stenotus acaulis,2005-01-01,38.15679,-119.62469,voucher,native
Symphoricarpos albus,2019-09-02,37.7133178711,-119.6863250732,iNat,native
Symphyotrichum chilense,2021-09-23,37.8629283983,-119.5730495139,iNat,native
Syringa vulgaris,2009-01-01,37.74077,-119.59071,voucher,introduced
Tanacetum parthenium,1999-01-01,37.542255,-119.648084,voucher,introduced
Torilis arvensis,2009-01-01,37.95866,-119.77857,voucher,introduced
Torilis nodosa,2003-01-01,37.677241,-119.753064,voucher,introduced
Toxicoscordion exaltatum,2005-01-01,37.563416,-119.687819,voucher,native
Tragopogon dubius,1998-01-01,37.740453,-119.574865,voucher,introduced
Tribulus terrestris,2003-01-01,37.73976,-119.59415,voucher,introduced
Trifolium albopurpureum,2021-04-17,37.96002,-119.78476667,iNat,native
