accepted_name,scientific_name,taxonomic_status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,vouches_from_gbif_only,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,location_notes,notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,first_record-manual,last_record-manual
Polystichum kruckebergii,Polystichum kruckebergii,current,Dryopteridaceae,1.ferns/primitive,,native,,,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,1,1,1939,"Butts, Edward C.",1939,,,,,,,,,in Symbiota,,,,iNat: scattered observations in California and Great Basin; closest in Tahoe; Taylor: voucher from Virginia Canyon on metamorphics (1939),,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1939,1939
Polystichum lonchitis,Polystichum lonchitis,current,Dryopteridaceae,1.ferns/primitive,,N/A,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",1,1,1,1912,"Fitch, M. H.",1912,,,,,,,,,,,,,"iNat: only 1 CA obs, otherwise along Candian border and northern states; CCH: 1 1912 voucher from Vernal Falls in RSA; correct label seems to be imbricans",,,,,,,,1912,1912
Equisetum arvense,Equisetum arvense,current,Equisetaceae,1.ferns/primitive,,native,9,10,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,10,9,6,1897,"Congdon, Joseph Whipple",2005,jacqueline17,5/22/2016,karenoffereins,5/10/2023,2016,2023,,,in Symbiota,,,,,,,,,,,,,
Equisetum hyemale,Equisetum hyemale,current,Equisetaceae,1.ferns/primitive,Equisetum praealtum,native,82,51,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,9,8,4,1897,"Congdon, Joseph Whipple",2021,justin2,8/23/2004,plbuttercup,11/25/2023,2004,2023,,,in Symbiota,,,,,,,,,,,,,
Equisetum hyemale,Equisetum praealtum,synonym,Equisetaceae,1.ferns/primitive,Equisetum hyemale,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,justin2,8/23/2004,plbuttercup,11/25/2023,2004,2023,,,,,,,,,,,,,,,,
Equisetum laevigatum,Equisetum laevigatum,current,Equisetaceae,1.ferns/primitive,,native,6,14,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,13,13,6,1872,"Coulter, J. M.",1982,dalien,6/11/2019,ljfilgas,7/10/2023,2019,2023,,,in Symbiota,,,,,,,,,,,,1893,1982
Equisetum telmateia,Equisetum telmateia,current,Equisetaceae,1.ferns/primitive,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from three years ago (species no longer suggested by CV for this observation)",,,,
Equisetum x ferrissii,Equisetum x ferrissii,current,Equisetaceae,1.ferns/primitive,,native,5,1,,1,1,,1,1,1,,1,,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,7,7,6,1865,"Torrey, John",1984,,,,,,,,,,,,Yosemite Valley,,,,,,,,,1956,1984
Isoetes bolanderi,Isoetes bolanderi,current,Isoetaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,56,40,39,1894,"Congdon, Joseph Whipple",2009,,,,,,,,,in Symbiota,,,throughout,"lots of vouchers in CCH2, old and recent",,,,,,,,1894,2009
Isoetes howellii,Isoetes howellii,current,Isoetaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,9,1,7,1930,"Peirson, Frank W.",2006,,,,,,,,,in Symbiota,,,"mainly Hetch Hetchy, Tuolumne","lots of vouchers in CCH2, old and recent",,"various parts of California, but none in the Sierra",,,,,,1930,2006
Isoetes nuttallii,Isoetes nuttallii,current,Isoetaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,9,6,6,1923,"Hall, Carlotta Case",2017,,,,,,,,,in Symbiota,,,,"lots of vouchers in CCH2, old and recent",,scattered observations in lower elevation Sierra Nevada - and beyond,,,,,,,
Isoetes occidentalis,Isoetes occidentalis,current,Isoetaceae,1.ferns/primitive,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",19,4,16,1922,"Hall, Carlotta Case",2009,,,,,,,,,in Symbiota,,,throughout,"Taylor, CCH: vouchers old and recent from diversity of locations",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1922,2009
Marsilea vestita,Marsilea vestita,current,Marsileaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,4,2,2,1933,"Johnstone, George R.",2006,,,,,,,,,in Symbiota,,,"Yosemite Valley, Hetch Hetchy",,,,,,,,,1933,2006
Botrychium ascendens,Botrychium ascendens,current,Ophioglossaceae,1.ferns/primitive,,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",2,,2,2005,"Colwell, Alison",2007,,,,,,,,,in Symbiota,,,"Virginia Cyn, Ledge Trail",Taylor: Virginia Cyn & Ledge Trail vouchers,,,,"add, found during search of CCH2 for species in iNat, parks list",,,,2005,2007
Botrychium minganense,Botrychium minganense,current,Ophioglossaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,2,1,2,1961,"Klikoff, Lionel G.",2007,,,,,,,,,in Symbiota,,,,,,,,,,,,,
Botrychium neolunaria,Botrychium neolunaria,current,Ophioglossaceae,1.ferns/primitive,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,1,1939,"Sharsmith, Carl W.",1939,,,,,,,,,,,,,,,,,,,,,,
Botrychium simplex,Botrychium simplex,current,Ophioglossaceae,1.ferns/primitive,,native,6,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,32,29,25,1898,"Congdon, Joseph Whipple",2010,calochortus_goff,7/3/2020,chloe_and_trevor,9/2/2023,2020,2023,,,in Symbiota,,,,,,,,,,,,,
