ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,
14,Potamogeton alpinus ssp. tenuifolius,1,744624,Potamogeton alpinus subsp. tenuifolius,1,subspecies,,,NA,(Raf.) Hult̩n,Potamogetonaceae,Potamogeton,Potamogeton,1,alpinus,alpinus,1,,,NA,subsp.,tenuifolius,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000752967,,Y,Accepted,Potamogeton alpinus subsp. tenuifolius,Potamogeton alpinus,(Raf.) Hult̩n,744624,subspecies,http://www.worldfloraonline.org/taxon/wfo-0000752967,,Potamogetonaceae,1,1,wfo,0,
15,Potamogeton epihydrus ssp. nuttallii,1,744718,Potamogeton epihydrus subsp. nuttallii,1,subspecies,,,NA,(Cham. & Schltdl.) Calder & Roy L.Taylor,Potamogetonaceae,Potamogeton,Potamogeton,1,epihydrus,epihydrus,1,,,NA,subsp.,nuttallii,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000753062,,Y,Synonym,Potamogeton epihydrus,Potamogeton epihydrus,Raf.,761250,species,http://www.worldfloraonline.org/taxon/wfo-0000769805,,Potamogetonaceae,1,1,wfo,0,
16,Potamogeton filiformis,1,761260,Potamogeton filiformis,1,species,,,NA,Pers.,Potamogetonaceae,Potamogeton,Potamogeton,1,filiformis,filiformis,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000769815,,Y,Synonym,Stuckenia filiformis,Stuckenia filiformis,(Pers.) B̦rner,762661,species,http://www.worldfloraonline.org/taxon/wfo-0000771225,,Potamogetonaceae,1,1,wfo,0,
17,Potamogeton foliosus var. foliosus,1,1090006,Potamogeton foliosus var. foliosus,1,variety,,,NA,,Potamogetonaceae,Potamogeton,Potamogeton,1,foliosus,foliosus,1,,,NA,var.,foliosus,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001105281,,Y,Synonym,Potamogeton foliosus,Potamogeton foliosus,Raf.,761268,species,http://www.worldfloraonline.org/taxon/wfo-0000769825,,Potamogetonaceae,1,1,wfo,0,
18,Potamogeton gramineus,1,761276,Potamogeton gramineus,1,species,,,NA,L.,Potamogetonaceae,Potamogeton,Potamogeton,1,gramineus,gramineus,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000769833,,Y,Accepted,Potamogeton gramineus,Potamogeton gramineus,L.,761276,species,http://www.worldfloraonline.org/taxon/wfo-0000769833,,Potamogetonaceae,1,1,wfo,0,
19,Potamogeton natans,1,761348,Potamogeton natans,1,species,,,NA,L.,Potamogetonaceae,Potamogeton,Potamogeton,1,natans,natans,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000769905,,Y,Accepted,Potamogeton natans,Potamogeton natans,L.,761348,species,http://www.worldfloraonline.org/taxon/wfo-0000769905,,Potamogetonaceae,1,1,wfo,0,
20,Potamogeton pusillus var. pusillus,1,1090013,Potamogeton pusillus var. pusillus,1,variety,,,NA,,Potamogetonaceae,Potamogeton,Potamogeton,1,pusillus,pusillus,1,,,NA,var.,pusillus,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001105288,,Y,Synonym,Potamogeton pusillus,Potamogeton pusillus,L.,761409,species,http://www.worldfloraonline.org/taxon/wfo-0000769966,,Potamogetonaceae,1,1,wfo,0,
21,Potamogeton pusillus var. tenuissimus,1,744586,Potamogeton pusillus var. tenuissimus,1,variety,,,NA,Mert. & W.D.J.Koch in R̦hl.,Potamogetonaceae,Potamogeton,Potamogeton,1,pusillus,pusillus,1,,,NA,var.,tenuissimus,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000752929,,Y,Synonym,Potamogeton berchtoldii subsp. berchtoldii,Potamogeton berchtoldii,,909843,subspecies,http://www.worldfloraonline.org/taxon/wfo-0000918873,,Potamogetonaceae,1,1,wfo,0,
22,Potamogeton robbinsii,1,761419,Potamogeton robbinsii,1,species,,,NA,Oakes,Potamogetonaceae,Potamogeton,Potamogeton,1,robbinsii,robbinsii,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000769976,,Y,Accepted,Potamogeton robbinsii,Potamogeton robbinsii,Oakes,761419,species,http://www.worldfloraonline.org/taxon/wfo-0000769976,,Potamogetonaceae,1,1,wfo,0,
23,Angelica breweri,1,529324,Angelica breweri,1,species,,,NA,A.Gray,Apiaceae,Angelica,Angelica,1,breweri,breweri,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000536126,,Y,Accepted,Angelica breweri,Angelica breweri,A.Gray,529324,species,http://www.worldfloraonline.org/taxon/wfo-0000536126,,Apiaceae,1,1,wfo,0,
24,Angelica lineariloba,1,529456,Angelica lineariloba,1,species,,,NA,A.Gray,Apiaceae,Angelica,Angelica,1,lineariloba,lineariloba,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0000536259,,Y,Accepted,Angelica lineariloba,Angelica lineariloba,A.Gray,529456,species,http://www.worldfloraonline.org/taxon/wfo-0000536259,,Apiaceae,1,1,wfo,0,
