accepted_name,family,broader,establishment_means,taxonID,park_list,voucher_exists,iNat_RG_record_exists
Juniperus grandis,Cupressaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/77599,1,1,1
Sequoiadendron giganteum,Cupressaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/59567,1,1,1
Abies concolor,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/68087,1,1,1
Abies magnifica,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/68090,1,1,1
Pinus albicaulis,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/68083,1,1,1
Pinus attenuata,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/64047,1,1,1
Pinus contorta,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/48934,1,1,1
Pinus jeffreyi,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/48463,1,1,1
Pinus lambertiana,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/64040,1,1,1
Pinus monophylla,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/57892,1,1,
Pinus monticola,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/68084,1,1,1
Pinus ponderosa,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/48461,1,1,1
Pinus sabiniana,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/58772,1,1,1
Pseudotsuga menziesii,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/48256,1,1,1
Tsuga mertensiana,Pinaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/68089,1,1,1
Taxus brevifolia,Taxaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/55209,,1,
Torreya californica,Taxaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/55193,1,1,1
Amaranthus albus,Amaranthaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/57893,1,1,
Amaranthus blitoides,Amaranthaceae,3.dicot,native,https://www.inaturalist.org/taxa/58774,1,1,
Amaranthus retroflexus,Amaranthaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/58776,,,1
Blitum nuttallianum,Amaranthaceae,3.dicot,native,https://www.inaturalist.org/taxa/877971,1,1,
Chenopodium album,Amaranthaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/58127,1,1,
Chenopodium atrovirens,Amaranthaceae,3.dicot,native,https://www.inaturalist.org/taxa/76270,1,1,
Chenopodium desiccatum,Amaranthaceae,3.dicot,native,https://www.inaturalist.org/taxa/58880,,1,
Chenopodium pratericola,Amaranthaceae,3.dicot,native,https://www.inaturalist.org/taxa/76284,,1,
Dysphania botrys,Amaranthaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/76748,1,1,1
Dysphania pumilio,Amaranthaceae,3.dicot,introduced,https://www.inaturalist.org/taxa/76751,1,,
Neomonolepis spathulata,Amaranthaceae,3.dicot,native,https://www.inaturalist.org/taxa/1304163,1,1,
Rhus aromatica,Anacardiaceae,3.dicot,native,https://www.inaturalist.org/taxa/58738,1,1,1
Toxicodendron diversilobum,Anacardiaceae,3.dicot,native,https://www.inaturalist.org/taxa/51080,1,1,1
Angelica breweri,Apiaceae,3.dicot,native,https://www.inaturalist.org/taxa/75447,1,1,1
