year,re_finds_per_year,total_re_finds_to_date,remaining
2008,51,51,1577
2009,60,111,1526
2010,25,136,1466
2011,34,170,1441
2012,23,193,1407
2013,59,252,1384
2014,127,379,1325
2015,58,437,1198
2016,63,500,1140
2017,32,532,1077
2018,39,571,1045
2019,73,644,1006
2020,34,678,933
2021,62,740,899
2022,42,782,837
2023,33,815,795
2024,,,762
