accepted_name,scientific_name,taxonomic_status,family,broader,synonymy_notes,establishment_means,taxonID,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,iNat_needsID_only,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,first_voucher_collector,first_iNat_observer,last_iNat_observer,year_first_iNat,year_last_iNat,vouchers_from_gbif_only,iNat_needs_ID_only_verdict,Symbiota,iNat_missing_in_gbif,use_as_example,voucher_parklist_notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needsID_only_notes,iNat_needsID_only_notes2,taxonomic_concerns,synonyms_from_CCH
Heterotheca grandiflora,Heterotheca grandiflora,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/58831,,,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,in Symbiota,,,"Botti suggests many established along Merced Cyn into park, but no vouchers or iNat in park or El Portal area; only west of Hite Cove and then rare; but will mark as ""nearby vouchers""; iNat: always at much lower elevations; no vouchers or nearby vouchers in CCH",,wrong range-west or south of park at much lower elevations; Coast Range,,,,,,
Heterotheca sessiliflora,Heterotheca sessiliflora,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/57988,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1,,,1990,1990,,,"Botti, Stephen J.",,,,,,,in Symbiota,,,"CCH: 2 vouchers, 1 1890 Congdon, 1 1981 Botti, both just outside park it seems; Taylor didn't look at either; neither has coordinates",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,Heterotheca sessiliflora ssp. echioides; Heterotheca sessiliflora subsp. echioides
Heterotheca villosa,Heterotheca villosa,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/77399,,1,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",7,2,6,1922,2007,,,"Michael, Enid",,,,,,,in Symbiota,,,CCH: old vouchers from Sharsmith at Benson Lake; vouchers from same site from Colwell & from Jack Main Cyn,,"Benson Lake, Muir Gorge",,"add, found during search of CCH2 for species in iNat, parks list",,,,Chrysopsis villosa; Heterotheca villosa var. hispida; Heterotheca villosa var. minor; Heterotheca villosa var. villosa
Hieracium albiflorum,Hieracium albiflorum,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/63937,43,22,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,32,32,15,1885,1988,7/3/2014,10/5/2023,"Congdon, Joseph Whipple",lizzywenk,pemoore,2014,2023,,,in Symbiota,,,,,,,,,,,
Hieracium argutum,Hieracium argutum,accepted,Asteraceae,3.dicot,,N/A,,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",1,1,1,,,,,"Lemmon, John G.",,,,,,,,,,,,,,,,,,
Hieracium horridum,Hieracium horridum,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/77415,49,26,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,55,50,28,1866,2021,8/6/2013,10/17/2023,"Bolander, Henry Nicholas",knightericm,cloudya,2013,2023,,,in Symbiota,,,,,throughout,,,,,,Pilosella horrida
Hieracium murorum,Hieracium murorum,accepted,Asteraceae,3.dicot,,introduced,https://www.inaturalist.org/taxa/163793,,,,1,,,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1,,1,2010,2010,,,"Taylor, Dean William",,,,,,,,,,CCH: single 2010 Taylor collection with 7 sheets in 5 herbaria,,,,,,,,
Hieracium scouleri,Hieracium scouleri,accepted,Asteraceae,3.dicot,Hieracium scouleri,native,https://www.inaturalist.org/taxa/77418,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",3,2,,1959,2002,,,"Henninger, Eleanore",,,,,,,in Symbiota,,,"iNat: name not linked on iNat; using synonym; CCH: 3 vouchers, including 2002 post fire","all observations well to north, southern most around Tahoe, but most much further north",various,,"add, found during search of CCH2 for species in iNat, parks list",,,,Pilosella scouleri
Hieracium triste,Hieracium triste,accepted,Asteraceae,3.dicot,Hieracium froelichianum; Hieracium gracile,native,https://www.inaturalist.org/taxa/77419,2,6,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,24,20,14,1894,2009,8/6/2010,8/17/2019,"Congdon, Joseph Whipple",matsonburger,chloe_and_trevor,2010,2019,,,in Symbiota,,,,,,,,,,,Hieracium gracile; Pilosella tristis
Hieracium triste,Hieracium froelichianum,synonym,Asteraceae,3.dicot,Pilosella tristis; Hieracium gracile,native,https://www.inaturalist.org/taxa/77419,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,1894,2009,8/6/2010,8/17/2019,,matsonburger,chloe_and_trevor,2010,2019,,,,,,,,,,,,,,Hieracium gracile
Holocarpha heermannii,Holocarpha heermannii,accepted,Asteraceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/62568,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",1,1,,,,,,"Branson, Ivan",,,,,,,,,,,,,,,,,,
Holocarpha virgata,Holocarpha virgata,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/53099,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2002,2002,,,"Taylor, Dean William",,,,,,,in Symbiota,,,"low elevation taxon, with single Dean Taylor voucher from western Yosemite Valley",,Yosemite Valley,,"add, found during search of CCH2 for species in iNat, parks list",,,,Holocarpha virgata ssp. virgata; Holocarpha virgata subsp. virgata
Hulsea algida,Hulsea algida,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/48929,38,8,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,31,29,26,1863,2007,6/30/1989,8/16/2023,"Brewer, William Henry",okisutch99,uropappus,1989,2023,,,in Symbiota,,,,,,,,,,,
Hulsea brevifolia,Hulsea brevifolia,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/77462,1,3,1,1,obscured,1,1,1,1,1,1,,databasing discrepancy,"add, observations lost due to auto-obscured coordinates",retain exact name,retain exact name,retain exact name,retain exact name,50,43,24,1866,2010,9/12/2023,9/12/2023,"Bolander, Henry Nicholas",pemoore,pemoore,2023,2023,,,in Symbiota,geoprivate_by_iNat,,,,,,,,,,
Hulsea heterochroma,Hulsea heterochroma,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/77464,6,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,10,9,4,1866,1999,5/25/2019,6/20/2022,"Bolander, Henry Nicholas",owenwhite,lizzywenk,2019,2022,,,in Symbiota,,,,,,,,,,,
Hulsea nana,Hulsea nana,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/77466,,,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",databasing discrepancy,"remove, designated as 'False Report'",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,,,,,,,,,,,
Hulsea vestita,Hulsea vestita,accepted,Asteraceae,3.dicot,,,https://www.inaturalist.org/taxa/77467,,3,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove-fixed,,,,,,,,,"possibly legit, although at least one of the three are misIDed given one observation is clearly a different species to the others",2 pictures are Hulsea brevifolia (fixed); 3rd is some other Asteraceae - changed to Agoseris,,
Hymenoxys hoopesii,Hymenoxys hoopesii,accepted,Asteraceae,3.dicot,Dugaldia hoopesii,native,https://www.inaturalist.org/taxa/49037,,1,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,in Symbiota,,,"Very common in the Kings/Kern and around Sonora Pass, but does seem to be absent from Yosemite; Taylor's ""Yosemite"" voucher is from Huckleberry Lake - i.e. not in Yosemite; but might well be somewhere along the northern boundary of the park",,wrong range-just outside park,,,,,,Dugaldia hoopesii
Hypochaeris glabra,Hypochaeris glabra,accepted,Asteraceae,3.dicot,,introduced,https://www.inaturalist.org/taxa/53103,,1,1,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,6,3,4,1939,2010,,,"Cole, James E.",,,,,,,in Symbiota,,,,,"Yosemite Valley, Hetch Hetchy",,,,,,Hypochoeris glabra
Hypochaeris radicata,Hypochaeris radicata,accepted,Asteraceae,3.dicot,,introduced,https://www.inaturalist.org/taxa/53104,1,4,1,1,iNat-not-gbif,1,1,1,,1,1,,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,3,,3,1998,2010,9/17/2021,9/17/2021,"Adams, Justin",kypfer_kyroptera,kypfer_kyroptera,2021,2021,,,in Symbiota,restricted_license,,,,,,,,,,Hypochoeris radicata
Ionactis alpina,Ionactis alpina,accepted,Asteraceae,3.dicot,,,https://www.inaturalist.org/taxa/77492,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,Great Basin and intermountain area to northeast,,,"possibly legit, but questionable and CV ID from 7 months ago. Still suggested, but not top option",Erigeron breweri or one of similar,,
Jensia rammii,Jensia rammii,accepted,Asteraceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/77543,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",1,1,1,,,,,Brandegee,,,,,,,,,,,,,,,,,,
Jensia yosemitana,Jensia yosemitana,accepted,Asteraceae,3.dicot,Madia yosemitana,native,https://www.inaturalist.org/taxa/77544,3,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,37,29,23,1881,2010,5/25/2015,6/17/2022,"Parry, Charles Christopher",adamschneider,lizzywenk,2015,2022,,,in Symbiota,,,,,,,,,,,Madia yosemitana
Kyhosia bolanderi,Kyhosia bolanderi,accepted,Asteraceae,3.dicot,Madia bolanderi,native,https://www.inaturalist.org/taxa/77614,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,5,3,4,1889,2010,,,"Congdon, Joseph Whipple",,,,,,,in Symbiota,,,,,,,,,,,Madia bolanderi
Lactuca pulchella,Lactuca pulchella,accepted,Asteraceae,3.dicot,"Lactuca tatarica ssp. pulchella, Mulgedium pulchellum",introduced,https://www.inaturalist.org/taxa/983070,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,8,8,4,1909,1944,,,"Jepson, Willis L.",,,,,,,in Symbiota,,,"CCH: old vouchers only - but lots through 1940; iNat: closest observation in Utah, and then common; Taylor lists as weed, parks lists as native",,,,,,,,Lactuca tatarica; Lactuca tatarica ssp. pulchella; Lactuca tatarica subsp. pulchella; Lactuca tatarica var. pulchella; Mulgedium pulchellum
Lactuca serriola,Lactuca serriola,accepted,Asteraceae,3.dicot,,introduced,https://www.inaturalist.org/taxa/53107,7,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,4,2,4,1926,2002,5/22/2016,10/1/2023,"Michael, Enid",stepheyes,agujaceratops,2016,2023,,,in Symbiota,,,,,,,,,,,
Lagophylla glandulosa,Lagophylla glandulosa,accepted,Asteraceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/77620,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",3,3,,,,,,"Lemmon, John G.",,,,,,,,,,,,,,,,,,
Laphamia emoryi,Laphamia emoryi,accepted,Asteraceae,3.dicot,,N/A,,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,gbif_vouchers_only,,,,,both vouchers reference location in Riverside County; also going by new name - see POWO,,desert species with closest (single) record from Owens Lake area,https://www.gbif.org/occurrence/1930628556; https://www.gbif.org/occurrence/4073906440,,,,,
Lasthenia californica,Lasthenia californica,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/50987,,2,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,in Symbiota,,,CCH: pair of Michael 1928 vouchers from El Portal that were confirmed by Taylor; but no vouchers in the park itself,,wrong range-El Portal vouchers,,,,,,
Lasthenia platycarpha,Lasthenia platycarpha,accepted,Asteraceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/60138,,,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",databasing discrepancy,"remove, designated as 'False Report'",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,,,,,,,,,,,
Layia pentachaeta,Layia pentachaeta,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/58006,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1,,,2006,2006,,,"Grossenbacher, Dena",,,,,,,in Symbiota,,,iNat: low elevation Sierra Nevada; CCH: recent voucher near Mather entrance station,,Mather,,"add, found during search of CCH2 for species in iNat, parks list",,,,Layia pentachaeta ssp. pentachaeta; Layia pentachaeta subsp. pentachaeta
Layia platyglossa,Layia platyglossa,accepted,Asteraceae,3.dicot,,out-of-range,https://www.inaturalist.org/taxa/50876,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",1,1,1,,,,,"Dana, H.",,,,,,,,,,"1 single 1948 voucher from Valley floor, UNR herbarium",,"Coast Range, San Joaquin Valley, very low elevation Sierra foothills",https://www.cch2.org/portal/collections/individual/index.php?occid=4745678&clid=0,,,,taxonomic_mismatch-mis-identification,
Lessingia glandulifera,Lessingia glandulifera,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/58020,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,,,,,,CCH: no vouchers; Taylor: just mentions it is at much lower elevations in Sierra foothills,,,,,,,taxonomic_mismatch-wrong something,
Lessingia leptoclada,Lessingia leptoclada,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/63001,200,85,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,83,81,45,1866,1866,7/18/2009,11/2/2023,"Bolander, Henry Nicholas",tomhilton,sea-kangaroo,2009,2023,,,in Symbiota,,,,,"Yosemite Valley, Wawona, western boundary",,,,,,Lessingia leptoclada tenuis
Lessingia nemaclada,Lessingia nemaclada,accepted,Asteraceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/60508,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",,,,,,,,,,,,,,,,,,"no CCH2 vouchers; only 1 in gbif - and just says ""Yosemite National Park"", 1953, Carnegie Museum of Natural History Herbarium , minor collector",,"many observations and vouchers at low elevations in Sierra foothills, but none even approaching Yosemite boundary",https://www.gbif.org/occurrence/map?taxon_key=3095711&occurrence_status=present,,,,taxonomic_mismatch-wrong something,
Lessingia virgata,Lessingia virgata,accepted,Asteraceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/77717,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,,,,,,"Anderson, William",,,,,,,,,,,,,,,,,,
Leucanthemum maximum,Leucanthemum maximum,accepted,Asteraceae,3.dicot,,introduced,https://www.inaturalist.org/taxa/77719,1,4,,,iNat-not-gbif,,,x,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,restricted_license,,"CCH, gbif: no vouchers; 1 nat: RG from Glacier Point & all needsID are incorrect",mis-identification,,,,,,,
Leucanthemum vulgare,Leucanthemum vulgare,accepted,Asteraceae,3.dicot,,introduced,https://www.inaturalist.org/taxa/56057,5,6,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,8,6,4,1934,2010,5/22/2016,8/19/2023,"Sharsmith, Carl W.",heathersmith,bonebucket,2016,2023,,,in Symbiota,,,,,"Yosemite Valley, Wawona",,,,,,Chrysanthemum leucanthemum
Logfia californica,Logfia californica,accepted,Asteraceae,3.dicot,,native,,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,,,,,,"CCH: only 2 vouchers are Congdon ""Aqua Fria;Yosemite National Park""; in gbif: 1872 voucher that says both ""Marin County"" and ""Yosemite Valley""",,1 RG obs in Yosemite region (well west of park; lower elevation) - by two botanists,,,,,,
Logfia gallica,Logfia gallica,accepted,Asteraceae,3.dicot,Filago gallica,introduced,https://www.inaturalist.org/taxa/56949,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",3,1,2,1948,2002,,,"Sharsmith, Carl W.",,,,,,,in Symbiota,,,"CCH, Taylor: scattered vouchers from Hetch Hetchy area and 1 from Merced River canyon just inside park",,"Yosemite Valley, Hetch Hetchy",,"add, found during search of CCH2 for species in iNat, parks list",,,,Filago gallica
Logfia gallica,Filago gallica,synonym,Asteraceae,3.dicot,Logfia gallica,introduced,https://www.inaturalist.org/taxa/56949,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",XX-synonym,XX-synonym,,,,1948,2002,,,,,,,,,,,,,"CCH, Taylor: scattered vouchers from Hetch Hetchy area and 1 from Merced River canyon just inside park",,"Yosemite Valley, Hetch Hetchy",,,,,,
Machaeranthera tanacetifolia,Machaeranthera tanacetifolia,accepted,Asteraceae,3.dicot,,,https://www.inaturalist.org/taxa/77920,,2,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,Four Corners area,,,"almost 100% certainly a misID, CV suggestions from four and six years ago (and species no longer suggested by CV)",,,
Madia elegans,Madia elegans,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/56974,100,34,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,57,54,25,1866,2006,6/6/2005,9/18/2023,unknown,epoelzl,sullivanribbit,2005,2023,,,in Symbiota,,,,,,,,,,,Madia elegans ssp. elegans; Madia elegans ssp. vernalis; Madia elegans subsp. elegans
Madia exigua,Madia exigua,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/56971,3,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,8,7,2,1911,1998,5/30/2019,6/18/2022,"Reed, Fred M.",manidae,wghembree,2019,2022,,,in Symbiota,,,,,,,,,,,
Madia glomerata,Madia glomerata,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/77923,1,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,17,16,6,1895,2010,10/9/2022,10/9/2022,"Congdon, Joseph Whipple",morganstickrod,morganstickrod,2022,2022,,,in Symbiota,,,,,,,,,,,Madia glomerata var. ramosa
Madia gracilis,Madia gracilis,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/53135,6,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,14,11,8,1911,2010,5/22/2016,7/25/2023,"Hall, Harvey Monroe",matthewmosher,dgrimmphd,2016,2023,,,in Symbiota,,,,,,,,,,,Madia gracilis subsp. gracilis
Madia sativa,Madia sativa,accepted,Asteraceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/53143,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",1,1,,,,,,"Congdon, Joseph Whipple",,,,,,,,,,,,,,,,,,
Malacothrix clevelandii,Malacothrix clevelandii,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/58841,,,,,,,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2010,2010,,,"Taylor, Dean William",,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",,,,
Malacothrix floccifera,Malacothrix floccifera,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/58842,4,2,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,17,17,7,1883,1982,6/7/2015,5/13/2022,"Congdon, Joseph Whipple",lizzywenk,chloe_and_trevor,2015,2022,,,in Symbiota,,,,,,,,,,,
Matricaria discoidea,Matricaria discoidea,accepted,Asteraceae,3.dicot,Chamomilla suaveolens,introduced,https://www.inaturalist.org/taxa/52992,11,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,4,1,3,1965,2009,4/21/2014,7/26/2023,,faerthen,dgrimmphd,2014,2023,,,in Symbiota,,,,,,,,,,,Chamomilla suaveolens
Micropus californicus,Micropus californicus,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/56975,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1,,,2006,2006,,,"Grossenbacher, Dena",,,,,,,in Symbiota,,,"CCH, Taylor: 1 recent voucher from Poopenaut Valley",,Hetch Hetcy; recent only,,"add, found during search of CCH2 for species in iNat, parks list",,,,Micropus californicus var. californicus
Microseris nutans,Microseris nutans,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/78036,3,7,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,50,47,29,1863,2005,7/1/2014,7/8/2021,"Brewer, William Henry",lizzywenk,rangerwild,2014,2021,,,in Symbiota,,,,,,,,,,,Scorzonella nutans
Monolopia major,Monolopia major,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/56977,,,1,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",databasing discrepancy,"remove, designated as 'False Report'",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",1,1,1,,,,,"McLean, F. P.",,,,,,,,,,,,,,,,,,
Oreostemma alpigenum,Oreostemma alpigenum,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/78280,6,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,73,70,42,1872,2007,10/28/2017,10/2/2022,"Gray, Asa",ljcoleman,biobabbler,2017,2022,,,in Symbiota,,,,,,,,,,,Aster alpigenus; Aster alpigenus andersonii; Aster alpigenus subsp. andersonii; Aster alpigenus var. andersonii; Oreostemma alpigenum var. andersonii
Packera cana,Packera cana,accepted,Asteraceae,3.dicot,,native,https://www.inaturalist.org/taxa/78317,1,2,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,11,8,5,1907,2007,7/13/2020,7/13/2020,"Eastwood, Alice",calochortus_goff,calochortus_goff,2020,2020,,,in Symbiota,,,,,,,,,,,Senecio canus
Packera pauciflora,Packera pauciflora,accepted,Asteraceae,3.dicot,Senecio pauciflorus,native,https://www.inaturalist.org/taxa/78327,4,2,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,21,16,9,1894,2014,7/29/2019,6/21/2020,"Lembert, J. B.",silversea_starsong,jerry171,2019,2020,,,in Symbiota,,,,,,,,,,,Senecio pauciflorus
