"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"31","Elymus elymoides subsp. elymoides","1","1084140","Elymus elymoides subsp. elymoides","1","subspecies","","","","","Poaceae","Elymus","Elymus","1","elymoides","elymoides","1","","","","subsp.","elymoides","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:477343","","Y","Accepted","Elymus elymoides subsp. elymoides","Elymus elymoides","","1084140","subspecies","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:477343","","Poaceae","1","1","wcvp","",true,30
"32","Erythranthe tilingii","1","1300845","Erythranthe tilingii","1","species","","","","(Regel) G.L.Nesom","Phrymaceae","Erythranthe","Erythranthe","1","tilingii","tilingii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3000991","","Y","Accepted","Erythranthe tilingii","Erythranthe tilingii","(Regel) G.L.Nesom","1300845","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3000991","","Phrymaceae","1","1","wcvp","",true,31
"33","Packera werneriifolia","1","1731010","Packera werneriifolia","1","species","","","","(A.Gray) W.A.Weber & Á.Löve ex Trock","Asteraceae","Packera","Packera","1","werneriifolia","werneriifolia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3079985","","Y","Accepted","Packera werneriifolia","Packera werneriifolia","(A.Gray) W.A.Weber & Á.Löve ex Trock","1731010","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3079985","","Asteraceae","1","1","wcvp","",true,32
"34","Eriogonum incanum","1","667156","Eriogonum incanum","1","species","","","","Torr. & A.Gray","Polygonaceae","Eriogonum","Eriogonum","1","incanum","incanum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2796095","","Y","Accepted","Eriogonum incanum","Eriogonum incanum","Torr. & A.Gray","667156","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2796095","","Polygonaceae","1","1","wcvp","",true,33
"35","Silene sargentii","1","1273697","Silene sargentii","1","species","","","","S.Watson","Caryophyllaceae","Silene","Silene","1","sargentii","sargentii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2486897","","Y","Accepted","Silene sargentii","Silene sargentii","S.Watson","1273697","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2486897","","Caryophyllaceae","1","1","wcvp","",true,34
"36","Senecio fremontii var. occidentalis","1","93148","Senecio fremontii var. occidentalis","1","variety","","","","A.Gray","Asteraceae","Senecio","Senecio","1","fremontii","fremontii","1","","","","var.","occidentalis","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3080964","","Y","Accepted","Senecio fremontii var. occidentalis","Senecio fremontii","A.Gray","93148","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3080964","","Asteraceae","1","1","wcvp","",true,35
"37","Poa secunda","1","884811","Poa secunda","1","species","","","","J.Presl","Poaceae","Poa","Poa","1","secunda","secunda","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:437211","","Y","Accepted","Poa secunda","Poa secunda","J.Presl","884811","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:437211","","Poaceae","1","1","wcvp","",true,36
"38","Gayophytum humile","1","1728341","Gayophytum humile","1","species","","","","Juss.","Onagraceae","Gayophytum","Gayophytum","1","humile","humile","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2818490","","Y","Accepted","Gayophytum humile","Gayophytum humile","Juss.","1728341","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2818490","","Onagraceae","1","1","wcvp","",true,38
"39","Carex tahoensis","1","346584","Carex tahoensis","1","species","","","","Smiley","Cyperaceae","Carex","Carex","1","tahoensis","tahoensis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:231409","","Y","Accepted","Carex tahoensis","Carex tahoensis","Smiley","346584","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:231409","","Cyperaceae","1","1","wcvp","",true,39
"40","Eriogonum lobbii","1","667260","Eriogonum lobbii","1","species","","","","Torr. & A.Gray","Polygonaceae","Eriogonum","Eriogonum","1","lobbii","lobbii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2796201","","Y","Accepted","Eriogonum lobbii","Eriogonum lobbii","Torr. & A.Gray","667260","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2796201","","Polygonaceae","1","1","wcvp","",true,40
"41","Ivesia muirii","1","994389","Ivesia muirii","1","species","","","","A.Gray","Rosaceae","Ivesia","Ivesia","1","muirii","muirii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2950013","","Y","Synonym","Potentilla muirii","Potentilla muirii","(A.Gray) Greene","981984","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2956077","","Rosaceae","1","1","wcvp","",true,41
"42","Carex buxbaumii","1","339976","Carex buxbaumii","1","species","","","","Wahlenb.","Cyperaceae","Carex","Carex","1","buxbaumii","buxbaumii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225215","","Y","Accepted","Carex buxbaumii","Carex buxbaumii","Wahlenb.","339976","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225215","","Cyperaceae","1","1","wcvp","",true,42
"43","Leymus triticoides","1","869372","Leymus triticoides","1","species","","","","(Buckley) Pilg.","Poaceae","Leymus","Leymus","1","triticoides","triticoides","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:422660","","Y","Accepted","Leymus triticoides","Leymus triticoides","(Buckley) Pilg.","869372","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:422660","","Poaceae","1","1","wcvp","",true,43
"44","Hordeum brachyantherum","1","865796","Hordeum brachyantherum","1","species","","","","Nevski","Poaceae","Hordeum","Hordeum","1","brachyantherum","brachyantherum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:419216","","Y","Accepted","Hordeum brachyantherum","Hordeum brachyantherum","Nevski","865796","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:419216","","Poaceae","1","1","wcvp","",true,44
"45","Distichlis spicata","1","856146","Distichlis spicata","1","species","","","","(L.) Greene","Poaceae","Distichlis","Distichlis","1","spicata","spicata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:409971","","Y","Accepted","Distichlis spicata","Distichlis spicata","(L.) Greene","856146","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:409971","","Poaceae","1","1","wcvp","",true,45
"46","Erigeron lonchophyllus","1","20894","Erigeron lonchophyllus","1","species","","","","Hook.","Asteraceae","Erigeron","Erigeron","1","lonchophyllus","lonchophyllus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3105740","","Y","Accepted","Erigeron lonchophyllus","Erigeron lonchophyllus","Hook.","20894","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3105740","","Asteraceae","1","1","wcvp","",true,46
"47","Symphyotrichum spathulatum var. yosemitanum","1","104906","Symphyotrichum spathulatum var. yosemitanum","1","variety","","","","(A.Gray) G.L.Nesom","Asteraceae","Symphyotrichum","Symphyotrichum","1","spathulatum","spathulatum","1","","","","var.","yosemitanum","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3103835","","Y","Accepted","Symphyotrichum spathulatum var. yosemitanum","Symphyotrichum spathulatum","(A.Gray) G.L.Nesom","104906","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3103835","","Asteraceae","1","1","wcvp","",true,47
"48","Linanthus harknessii","1","1820928","Linanthus harknessii","1","species","","","","(Curran) Greene","Polemoniaceae","Linanthus","Linanthus","1","harknessii","harknessii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2494751","","Y","Accepted","Linanthus harknessii","Linanthus harknessii","(Curran) Greene","1820928","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2494751","","Polemoniaceae","1","1","wcvp","",true,48
"49","Danthonia intermedia","1","853109","Danthonia intermedia","1","species","","","","Vasey","Poaceae","Danthonia","Danthonia","1","intermedia","intermedia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:407091","","Y","Accepted","Danthonia intermedia","Danthonia intermedia","Vasey","853109","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:407091","","Poaceae","1","1","wcvp","",true,49
"50","Luzula orestera","1","769432","Luzula orestera","1","species","","","","Sharsm.","Juncaceae","Luzula","Luzula","1","orestera","orestera","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316576","","Y","Accepted","Luzula orestera","Luzula orestera","Sharsm.","769432","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316576","","Juncaceae","1","1","wcvp","",true,50
"51","Juncus mexicanus","1","768324","Juncus mexicanus","1","species","","","","Willd. ex Schult. & Schult.f.","Juncaceae","Juncus","Juncus","1","mexicanus","mexicanus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:315461","","Y","Synonym","Juncus balticus subsp. mexicanus","Juncus balticus","(Willd. ex Schult. & Schult.f.) Snogerup","767384","subspecies","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314509","","Juncaceae","1","1","wcvp","",true,51
