"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"64","Gentiana newberryi","1","690130","Gentiana newberryi","1","species","","","","A.Gray","Gentianaceae","Gentiana","Gentiana","1","newberryi","newberryi","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2821019","","Y","Accepted","Gentiana newberryi","Gentiana newberryi","A.Gray","690130","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2821019","","Gentianaceae","1","1","wcvp","",true,68
"65","Angelica capitellata","1","529332","Angelica capitellata","1","species","","","","(A.Gray) Spalik, Reduron & S.R.Downie","Apiaceae","Angelica","Angelica","1","capitellata","capitellata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2639024","","Y","Accepted","Angelica capitellata","Angelica capitellata","(A.Gray) Spalik, Reduron & S.R.Downie","529332","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2639024","","Apiaceae","1","1","wcvp","",true,69
"66","Castilleja lemmonii","1","583095","Castilleja lemmonii","1","species","","","","A.Gray","Orobanchaceae","Castilleja","Castilleja","1","lemmonii","lemmonii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2705109","","Y","Accepted","Castilleja lemmonii","Castilleja lemmonii","A.Gray","583095","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2705109","","Orobanchaceae","1","1","wcvp","",true,70
"67","Apocynum androsaemifolium","1","239307","Apocynum androsaemifolium","1","species","","","","L.","Apocynaceae","Apocynum","Apocynum","1","androsaemifolium","androsaemifolium","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:12804","","Y","Accepted","Apocynum androsaemifolium","Apocynum androsaemifolium","L.","239307","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:12804","","Apocynaceae","1","1","wcvp","",true,71
"68","Chamaebatia foliolosa","1","993410","Chamaebatia foliolosa","1","species","","","","Benth.","Rosaceae","Chamaebatia","Chamaebatia","1","foliolosa","foliolosa","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2943524","","Y","Accepted","Chamaebatia foliolosa","Chamaebatia foliolosa","Benth.","993410","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2943524","","Rosaceae","1","1","wcvp","",true,72
"69","Rubus parviflorus","1","1005683","Rubus parviflorus","1","species","","","","Nutt.","Rosaceae","Rubus","Rubus","1","parviflorus","parviflorus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2985176","","Y","Accepted","Rubus parviflorus","Rubus parviflorus","Nutt.","1005683","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2985176","","Rosaceae","1","1","wcvp","",true,74
"70","Wyethia mollis","1","72476","Wyethia mollis","1","species","","","","A.Gray","Asteraceae","Wyethia","Wyethia","1","mollis","mollis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3120875","","Y","Accepted","Wyethia mollis","Wyethia mollis","A.Gray","72476","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3120875","","Asteraceae","1","1","wcvp","",true,78
"71","Triteleia ixioides","1","741222","Triteleia ixioides","1","species","","","","(Dryand. ex W.T.Aiton) Greene","Asparagaceae","Triteleia","Triteleia","1","ixioides","ixioides","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:290436","","Y","Accepted","Triteleia ixioides","Triteleia ixioides","(Dryand. ex W.T.Aiton) Greene","741222","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:290436","","Asparagaceae","1","1","wcvp","",true,79
"72","Claytonia perfoliata","1","601775","Claytonia perfoliata","1","species","","","","Donn ex Willd.","Montiaceae","Claytonia","Claytonia","1","perfoliata","perfoliata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2725205","","Y","Accepted","Claytonia perfoliata","Claytonia perfoliata","Donn ex Willd.","601775","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2725205","","Montiaceae","1","1","wcvp","",true,80
"73","Fragaria vesca","1","983992","Fragaria vesca","1","species","","","","L.","Rosaceae","Fragaria","Fragaria","1","vesca","vesca","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2948952","","Y","Accepted","Fragaria vesca","Fragaria vesca","L.","983992","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2948952","","Rosaceae","1","1","wcvp","",true,81
