accepted_name,establishment_means,final_list,iNat_RG_END,voucher_END,old_voucher,recent_voucher,first_iNat,last_iNat,synonym,first_voucher,last_voucher,first_iNat_manual,last_iNat_manual,first_voucher_manual,last_voucher_manual,notes,count
Anthriscus caucalis,introduced,1,1,1,NA,1,2014,2022,Anthriscus caucalis,1998,2009,NA,NA,NA,NA,NA,NA
Cicuta douglasii,native,1,NA,1,1,NA,NA,NA,NA,1940,1940,NA,NA,NA,NA,NA,NA
Cymopterus terebinthinus,native,1,1,1,1,1,2014,2022,Cymopterus terebinthinus,1909,2007,NA,NA,NA,NA,NA,NA
Daucus pusillus,native,1,NA,1,1,1,NA,NA,NA,1911,2009,NA,NA,NA,NA,NA,NA
Foeniculum vulgare,introduced,1,NA,1,NA,1,NA,NA,NA,1998,1998,NA,NA,NA,NA,NA,NA
Heracleum maximum,native,1,1,1,1,1,2010,2023,Heracleum maximum,1911,2007,NA,NA,NA,NA,NA,NA
Ligusticum grayi,native,1,1,1,1,1,2012,2023,Ligusticum grayi,1866,2021,NA,NA,NA,NA,NA,NA
Lomatium dissectum,native,1,1,1,1,1,2019,2019,Lomatium dissectum,1866,2007,NA,NA,NA,NA,NA,NA
Lomatium macrocarpum,native,1,NA,1,1,NA,NA,NA,NA,1911,1911,NA,NA,NA,NA,NA,NA
Lomatium nevadense,native,1,NA,1,1,NA,NA,NA,NA,1897,1941,NA,NA,NA,NA,NA,NA
Lomatium torreyi,native,1,1,1,1,1,2019,2019,Lomatium torreyi,1896,2011,NA,NA,NA,NA,NA,NA
Lomatium utriculatum,native,1,1,1,1,NA,2018,2021,Lomatium utriculatum,1911,1938,NA,NA,NA,NA,NA,NA
Osmorhiza berteroi,native,1,1,1,1,1,2020,2022,Osmorhiza berteroi,1910,2007,NA,NA,NA,NA,NA,NA
Osmorhiza brachypoda,native,1,1,1,1,NA,2016,2023,Osmorhiza brachypoda,1902,1944,NA,NA,NA,NA,NA,NA
Osmorhiza occidentalis,native,1,1,1,1,1,2014,2014,Osmorhiza occidentalis,1911,1993,NA,NA,NA,NA,NA,NA
Oxypolis occidentalis,native,1,NA,1,1,1,NA,NA,NA,1895,2004,NA,NA,NA,NA,NA,NA
Perideridia bolanderi,native,1,1,1,1,1,2016,2016,Perideridia bolanderi,1890,2009,NA,NA,NA,NA,NA,NA
Perideridia howellii,native,1,NA,1,1,NA,NA,NA,NA,1896,1896,NA,NA,NA,NA,NA,NA
Perideridia lemmonii,native,1,NA,1,1,1,NA,NA,NA,1911,2007,NA,NA,NA,NA,NA,NA
Perideridia parishii,native,1,1,1,1,1,2019,2022,Perideridia parishii,1900,2021,NA,NA,NA,NA,NA,NA
Perideridia parishii,native,1,1,1,1,1,2019,2022,Perideridia gairdneri,1900,2021,NA,NA,NA,NA,NA,NA
Podistera nevadensis,native,1,1,1,1,1,2014,2023,Podistera nevadensis,1863,2016,NA,NA,NA,NA,NA,NA
Sanicula bipinnata,native,1,1,NA,NA,NA,2021,2021,Sanicula bipinnata,NA,NA,NA,NA,NA,NA,NA,NA
Sanicula bipinnatifida,native,1,NA,1,1,NA,NA,NA,NA,1924,1924,NA,NA,NA,NA,NA,NA
Sanicula graveolens,native,1,NA,1,1,1,NA,NA,NA,1888,2005,NA,NA,NA,NA,NA,NA
Sanicula tuberosa,native,1,1,1,1,1,2015,2016,Sanicula tuberosa,1924,2006,NA,NA,NA,NA,NA,NA
Torilis arvensis,introduced,1,1,1,NA,1,2016,2016,Torilis arvensis,2009,2009,NA,NA,NA,NA,NA,NA
Torilis nodosa,introduced,1,NA,1,NA,1,NA,NA,NA,2003,2005,NA,NA,NA,NA,NA,NA
Yabea microcarpa,native,1,NA,1,1,NA,NA,NA,NA,1926,1944,NA,NA,NA,NA,NA,NA
Apocynum androsaemifolium,native,1,1,1,1,1,2011,2023,Apocynum androsaemifolium,1878,2014,NA,NA,NA,NA,NA,NA
Apocynum cannabinum,native,1,1,1,1,1,2001,2023,Apocynum cannabinum,1863,2004,NA,NA,NA,NA,NA,NA
Asclepias cordifolia,native,1,1,1,1,1,2006,2023,Asclepias cordifolia,1872,2014,NA,NA,NA,NA,NA,NA
Asclepias fascicularis,native,1,1,1,1,1,2014,2023,Asclepias fascicularis,1908,2008,NA,NA,NA,NA,NA,NA
Asclepias speciosa,native,1,1,1,1,1,2003,2023,Asclepias speciosa,1902,2021,NA,NA,NA,NA,NA,NA
Vinca major,introduced,1,1,1,NA,1,2013,2023,Vinca major,2010,2010,NA,NA,NA,NA,NA,NA
Hedera helix,introduced,1,NA,1,NA,1,NA,NA,NA,2010,2010,NA,NA,NA,NA,NA,NA
Asarum hartwegii,native,1,1,1,1,NA,2006,2023,Asarum hartwegii,1880,1972,NA,NA,NA,NA,NA,NA
Asarum lemmonii,native,1,1,1,1,1,2013,2023,Asarum lemmonii,1894,2007,NA,NA,NA,NA,NA,NA
Achillea millefolium,native,1,1,1,1,1,2005,2023,Achillea millefolium,1863,2011,NA,NA,NA,NA,NA,NA
Adenocaulon bicolor,native,1,1,1,1,1,2007,2023,Adenocaulon bicolor,1878,1999,NA,NA,NA,NA,NA,NA
Ageratina occidentalis,native,1,1,1,1,1,2005,2023,Ageratina occidentalis,1864,1991,NA,NA,NA,NA,NA,NA
Agnorhiza elata,native,1,NA,1,1,NA,NA,NA,NA,1866,1959,NA,NA,NA,NA,NA,NA
Agoseris aurantiaca,native,1,1,1,1,NA,2016,2022,Agoseris aurantiaca,1894,1974,NA,NA,NA,NA,NA,NA
Agoseris elata,native,1,NA,1,1,NA,NA,NA,NA,1890,1944,NA,NA,NA,NA,NA,NA
Agoseris glauca,native,1,NA,1,1,1,NA,NA,NA,1894,2007,NA,NA,NA,NA,NA,NA
Agoseris grandiflora,native,1,NA,1,1,NA,NA,NA,NA,1896,1959,NA,NA,NA,NA,NA,NA
Agoseris heterophylla,native,1,1,1,1,1,2023,2023,Agoseris heterophylla,1866,2010,NA,NA,NA,NA,NA,NA
Agoseris monticola,native,1,NA,1,1,1,NA,NA,NA,1907,2010,NA,NA,NA,NA,NA,NA
Agoseris parviflora,native,1,NA,1,1,NA,NA,NA,NA,1926,1942,NA,NA,NA,NA,NA,NA
Agoseris retrorsa,native,1,1,1,1,NA,2014,2023,Agoseris retrorsa,1885,1984,NA,NA,NA,NA,NA,NA
Anaphalis margaritacea,native,1,1,1,1,1,2014,2023,Anaphalis margaritacea,1894,1998,NA,NA,NA,NA,NA,NA
Antennaria argentea,native,1,1,1,1,1,2015,2015,Antennaria argentea,1874,2010,NA,NA,NA,NA,NA,NA
Antennaria corymbosa,native,1,1,1,1,1,2019,2020,Antennaria corymbosa,1875,2012,NA,NA,NA,NA,NA,NA
Antennaria media,native,1,1,1,1,1,2014,2022,Antennaria media,1875,2017,NA,NA,NA,NA,NA,NA
Antennaria rosea,native,1,1,1,1,1,2017,2023,Antennaria rosea,1880,2011,NA,NA,NA,NA,NA,NA
Antennaria umbrinella,native,1,1,1,1,NA,2019,2019,Antennaria umbrinella,1922,1967,NA,NA,NA,NA,NA,NA
Anthemis cotula,introduced,1,NA,1,1,1,NA,NA,NA,1927,1999,NA,NA,NA,NA,NA,NA
Arnica chamissonis,native,1,NA,1,1,NA,NA,NA,NA,1885,1972,NA,NA,NA,NA,NA,NA
Arnica cordifolia,native,1,NA,1,1,1,NA,NA,NA,1888,2007,NA,NA,NA,NA,NA,NA
Arnica dealbata,native,1,NA,1,1,1,NA,NA,NA,1863,2007,NA,NA,NA,NA,NA,NA
Arnica discoidea,native,1,1,1,1,1,2014,2023,Arnica discoidea,1885,2007,NA,NA,NA,NA,NA,NA
Arnica lanceolata,native,1,NA,1,1,NA,NA,NA,NA,1889,1985,NA,NA,NA,NA,NA,NA
Arnica latifolia,native,1,1,1,1,1,2014,2014,Arnica latifolia,1888,2006,NA,NA,NA,NA,NA,NA
Arnica longifolia,native,1,NA,1,1,1,NA,NA,NA,1886,2007,NA,NA,NA,NA,NA,NA
Arnica mollis,native,1,1,1,1,1,2018,2020,Arnica mollis,1894,2007,NA,NA,NA,NA,NA,NA
Arnica nevadensis,native,1,NA,1,1,1,NA,NA,NA,1860,2005,NA,NA,NA,NA,NA,NA
Arnica ovata,native,1,NA,1,1,NA,NA,NA,NA,1878,1977,NA,NA,NA,NA,NA,NA
Arnica parryi,native,1,NA,1,1,NA,NA,NA,NA,1906,1938,NA,NA,NA,NA,NA,NA
Artemisia albicans,native,1,NA,1,1,1,NA,NA,NA,1898,2012,NA,NA,NA,NA,NA,NA
Artemisia douglasiana,native,1,1,1,1,1,2014,2023,Artemisia douglasiana,1921,2006,NA,NA,NA,NA,NA,NA
Artemisia dracunculus,native,1,1,1,1,1,2014,2023,Artemisia dracunculus,1909,2005,NA,NA,NA,NA,NA,NA
Artemisia ludoviciana,native,1,1,1,1,1,2019,2020,Artemisia ludoviciana,1866,2010,NA,NA,NA,NA,NA,NA
Artemisia norvegica,native,1,1,1,1,1,2018,2022,Artemisia norvegica,1894,2005,NA,NA,NA,NA,NA,NA
Artemisia rothrockii,native,1,1,1,1,NA,2015,2023,Artemisia rothrockii,1866,1967,NA,NA,NA,NA,NA,NA
Artemisia spiciformis,native,1,NA,1,1,1,NA,NA,NA,1924,2010,NA,NA,NA,NA,NA,NA
Artemisia tridentata,native,1,1,1,1,1,2013,2022,Artemisia tridentata,1885,2007,NA,NA,NA,NA,NA,NA
Balsamorhiza deltoidea,native,1,NA,1,1,NA,NA,NA,NA,1901,1943,NA,NA,NA,NA,NA,NA
Balsamorhiza macrolepis,native,1,NA,1,1,NA,NA,NA,NA,1911,1960,NA,NA,NA,NA,NA,NA
Balsamorhiza sagittata,native,1,1,1,1,NA,2014,2021,Balsamorhiza sagittata,1911,1911,NA,NA,NA,NA,NA,NA
Bellis perennis,introduced,1,1,1,NA,1,2018,2018,Bellis perennis,2010,2010,NA,NA,NA,NA,NA,NA
Bidens cernua,native,1,NA,1,1,1,NA,NA,NA,1868,2007,NA,NA,NA,NA,NA,NA
Bidens tripartita,introduced,1,NA,1,1,1,NA,NA,NA,1939,2008,NA,NA,NA,NA,NA,NA
Brickellia californica,native,1,1,1,1,NA,2015,2021,Brickellia californica,1869,1968,NA,NA,NA,NA,NA,NA
Brickellia grandiflora,native,1,1,1,1,1,2019,2023,Brickellia grandiflora,1866,2010,NA,NA,NA,NA,NA,NA
Calycadenia mollis,native,1,1,1,1,NA,2019,2023,NA,1866,1959,2019,2023,NA,NA,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",2
Calycadenia multiglandulosa,native,1,1,1,1,NA,2023,2023,NA,1943,1943,2023,2023,NA,NA,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",1
Carduus pycnocephalus,introduced,1,NA,1,NA,1,NA,NA,NA,1998,1998,NA,NA,NA,NA,NA,NA
Centaurea benedicta,introduced,1,NA,1,1,NA,NA,NA,NA,1944,1944,NA,NA,NA,NA,NA,NA
Centaurea cyanus,introduced,1,1,NA,NA,NA,2021,2023,Centaurea cyanus,NA,NA,NA,NA,NA,NA,NA,NA
Centaurea melitensis,introduced,1,NA,1,1,NA,NA,NA,NA,1944,1944,NA,NA,NA,NA,NA,NA
Centaurea solstitialis,introduced,1,1,1,NA,1,2006,2021,Centaurea solstitialis,1998,1998,NA,NA,NA,NA,NA,NA
Centaurea stoebe,introduced,1,NA,1,NA,1,NA,NA,NA,1998,1998,NA,NA,NA,NA,NA,NA
Chaenactis alpigena,native,1,1,1,1,1,2019,2021,Chaenactis alpigena,1907,2007,NA,NA,NA,NA,NA,NA
Chaenactis douglasii,native,1,1,1,1,1,2020,2023,Chaenactis douglasii,1860,2007,NA,NA,NA,NA,NA,NA
Chaenactis glabriuscula,native,1,1,1,1,NA,2016,2023,Chaenactis glabriuscula,1866,1985,NA,NA,NA,NA,NA,NA
Chrysothamnus viscidiflorus,native,1,1,1,1,NA,2020,2022,Chrysothamnus viscidiflorus,1962,1962,NA,NA,NA,NA,NA,NA
Cirsium andersonii,native,1,1,1,1,NA,2012,2023,Cirsium andersonii,1883,1959,NA,NA,NA,NA,NA,NA
Cirsium occidentale,native,1,1,1,1,1,2016,2023,Cirsium occidentale,1889,2009,NA,NA,NA,NA,NA,NA
Cirsium scariosum,native,1,1,1,1,1,2019,2022,Cirsium scariosum,1898,2005,NA,NA,NA,NA,NA,NA
Cirsium tioganum,native,1,NA,1,1,NA,NA,NA,NA,1935,1944,NA,NA,NA,NA,NA,NA
Cirsium vulgare,introduced,1,1,1,1,1,2016,2023,Cirsium vulgare,1927,2021,NA,NA,NA,NA,NA,NA
Corethrogyne filaginifolia,native,1,1,1,1,1,2014,2023,Corethrogyne filaginifolia,1872,2007,NA,NA,NA,NA,NA,NA
Crepis acuminata,native,1,NA,1,1,1,NA,NA,NA,1889,2006,NA,NA,NA,NA,NA,NA
Crepis capillaris,introduced,1,NA,1,1,1,NA,NA,NA,1924,2010,NA,NA,NA,NA,NA,NA
Crepis intermedia,native,1,1,1,1,1,2017,2017,Crepis intermedia,1866,2007,NA,NA,NA,NA,NA,NA
Deinandra kelloggii,native,1,NA,1,1,NA,NA,NA,NA,1911,1927,NA,NA,NA,NA,NA,NA
Dieteria canescens,native,1,1,1,1,NA,2020,2023,Dieteria canescens,1907,1932,NA,NA,NA,NA,NA,NA
Doellingeria breweri,native,1,1,1,1,1,2015,2023,Doellingeria breweri,1878,2021,NA,NA,NA,NA,NA,NA
Ericameria arborescens,native,1,1,1,1,1,2018,2021,Ericameria arborescens,1921,2006,NA,NA,NA,NA,NA,NA
Ericameria bloomeri,native,1,1,1,1,1,2016,2022,Ericameria bloomeri,1866,2021,NA,NA,NA,NA,NA,NA
Ericameria cuneata,native,1,1,1,1,1,2014,2023,Ericameria cuneata,1878,2006,NA,NA,NA,NA,NA,NA
Ericameria discoidea,native,1,1,1,1,1,2020,2020,Ericameria discoidea,1889,2007,NA,NA,NA,NA,NA,NA
Ericameria nauseosa,native,1,1,1,1,NA,2021,2022,Ericameria nauseosa,1878,1974,NA,NA,NA,NA,NA,NA
Ericameria parryi,native,1,1,1,1,1,2018,2018,Ericameria parryi,1907,2010,NA,NA,NA,NA,NA,NA
Ericameria suffruticosa,native,1,1,1,1,1,2019,2021,Ericameria suffruticosa,1878,2008,NA,NA,NA,NA,NA,NA
Erigeron algidus,native,1,1,1,1,1,2020,2022,Erigeron algidus,1889,2011,NA,NA,NA,NA,NA,NA
Erigeron annuus,introduced,1,NA,1,1,NA,NA,NA,NA,1902,1985,NA,NA,NA,NA,NA,NA
Erigeron barbellulatus,native,1,NA,1,1,1,NA,NA,NA,1911,2007,NA,NA,NA,NA,NA,NA
Erigeron breweri,native,1,1,1,1,1,2014,2023,Erigeron breweri,1863,2021,NA,NA,NA,NA,NA,NA
Erigeron canadensis,native,1,1,1,1,1,2021,2023,Erigeron canadensis,1895,2009,NA,NA,NA,NA,NA,NA
Erigeron clokeyi,native,1,NA,1,NA,1,NA,NA,NA,2005,2005,NA,NA,NA,NA,NA,NA
Erigeron compositus,native,1,1,1,1,1,2015,2023,Erigeron compositus,1863,2007,NA,NA,NA,NA,NA,NA
Erigeron coulteri,native,1,1,1,1,1,2017,2023,Erigeron coulteri,1885,2006,NA,NA,NA,NA,NA,NA
Erigeron divergens,native,1,NA,1,1,1,NA,NA,NA,1878,2006,NA,NA,NA,NA,NA,NA
Erigeron eatonii,native,1,NA,1,1,1,NA,NA,NA,1936,2005,NA,NA,NA,NA,NA,NA
Erigeron elmeri,native,1,NA,1,1,1,NA,NA,NA,1891,2010,NA,NA,NA,NA,NA,NA
Erigeron foliosus,native,1,NA,1,1,1,NA,NA,NA,1936,2007,NA,NA,NA,NA,NA,NA
Erigeron glacialis,native,1,1,1,1,1,2017,2023,Erigeron glacialis,1878,2010,NA,NA,NA,NA,NA,NA
Erigeron linearis,native,1,NA,1,1,1,NA,NA,NA,1923,2010,NA,NA,NA,NA,NA,NA
Erigeron lonchophyllus,native,1,NA,1,1,1,NA,NA,NA,1874,2006,NA,NA,NA,NA,NA,NA
Erigeron pygmaeus,native,1,1,1,1,1,2023,2023,Erigeron pygmaeus,1895,2011,NA,NA,NA,NA,NA,NA
Erigeron strigosus,introduced,1,NA,1,1,1,NA,NA,NA,1902,1998,NA,NA,NA,NA,NA,NA
Erigeron tener,native,1,NA,1,1,1,NA,NA,NA,1890,2007,NA,NA,NA,NA,NA,NA
Erigeron vagus,native,1,1,1,1,1,2020,2020,Erigeron vagus,1889,2012,NA,NA,NA,NA,NA,NA
Eriophyllum confertiflorum,native,1,1,1,1,1,2014,2023,Eriophyllum confertiflorum,1866,2007,NA,NA,NA,NA,NA,NA
Eriophyllum congdonii,native,1,NA,1,1,1,NA,NA,NA,1911,2023,NA,NA,NA,NA,NA,NA
Eriophyllum lanatum,native,1,1,1,1,1,2014,2023,Eriophyllum lanatum,1866,2007,NA,NA,NA,NA,NA,NA
Eriophyllum nubigenum,native,1,1,1,1,1,2021,2021,Eriophyllum nubigenum,1883,2008,NA,NA,NA,NA,NA,NA
Eurybia integrifolia,native,1,1,1,1,1,2017,2023,Eurybia integrifolia,1889,2007,NA,NA,NA,NA,NA,NA
Euthamia occidentalis,native,1,1,1,1,1,2016,2023,Euthamia occidentalis,1874,2008,NA,NA,NA,NA,NA,NA
Gnaphalium palustre,native,1,1,1,1,1,2017,2023,Gnaphalium palustre,1866,2008,NA,NA,NA,NA,NA,NA
Hazardia whitneyi,native,1,NA,1,1,1,NA,NA,NA,1889,2007,NA,NA,NA,NA,NA,NA
Helenium bigelovii,native,1,1,1,1,1,2007,2023,Helenium bigelovii,1866,2003,NA,NA,NA,NA,NA,NA
Helianthella californica,native,1,NA,1,1,NA,NA,NA,NA,1911,1924,NA,NA,NA,NA,NA,NA
Helianthus annuus,native,1,NA,1,1,NA,NA,NA,NA,1909,1927,NA,NA,NA,NA,NA,NA
Helianthus californicus,native,1,1,1,1,1,2019,2019,Helianthus californicus,1889,2006,NA,NA,NA,NA,NA,NA
