accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,iNat_needs_ID_only_verdict,symbiota,voucher_notes,iNat_notes,parklist_notes
Pinus ponderosa,Pinus ponderosa,current,Pinaceae,2.gymnosperm,NA,native,134,116,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,9,5,1896,"Clarke, Galen",1967,NA,in Symbiota,NA,NA,NA
Pinus sabiniana,Pinus sabiniana,current,Pinaceae,2.gymnosperm,NA,native,30,5,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,2,1,1914,"Perkins, Albert J.",1944,NA,in Symbiota,NA,NA,NA
Pseudotsuga menziesii,Pseudotsuga menziesii,current,Pinaceae,2.gymnosperm,NA,native,132,17,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,26,18,1869,"Canby, William M.",1974,NA,in Symbiota,NA,NA,NA
Tsuga mertensiana,Tsuga mertensiana,current,Pinaceae,2.gymnosperm,NA,native,103,3,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,30,16,1890,"Congdon, Joseph Whipple",1963,NA,in Symbiota,NA,NA,NA
Taxus brevifolia,Taxus brevifolia,current,Taxaceae,2.gymnosperm,NA,native,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park",retain voucher,3,3,1874,"Lemmon, John G.",1874,NA,NA,"Taylor indicates no conclusive evidence species was ever in Yosemite, but mentioned in multiple early references",NA,NA
Torreya californica,Torreya californica,current,Taxaceae,2.gymnosperm,NA,native,24,4,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,23,15,1870,"Hutchings, J. M.",1987,NA,in Symbiota,NA,NA,NA
Amaranthus albus,Amaranthus albus,current,Amaranthaceae,3.dicot,NA,invasive,NA,1,1,1,NA,1,1,NA,NA,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,3,3,1998,"Jelinek, Bradley",2010,NA,in Symbiota,NA,NA,NA
Amaranthus blitoides,Amaranthus blitoides,current,Amaranthaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,1,1911,"Hall, Harvey Monroe",1997,NA,in Symbiota,NA,NA,Taylor: Yosemite Valley voucher
Amaranthus retroflexus,Amaranthus retroflexus,current,Amaranthaceae,3.dicot,NA,invasive,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,"retain, new weed record","not on parks list, but occurs in park","XX-rejected voucher, but exists in park",NA,NA,NA,NA,NA,NA,NA,NA,"everything looks valid - observer, 2nd identifier both valid; location valid; but no other nearby occurrences",NA
Chenopodium album,Chenopodium album,current,Amaranthaceae,3.dicot,NA,invasive,NA,5,1,1,NA,1,1,NA,1,1,1,possibly valid needs ID,"not in iNat, but occurs in park",retain on list,retain voucher,7,6,1926,"Michael, Enid",2009,NA,in Symbiota,NA,NA,NA
Chenopodium atrovirens,Chenopodium atrovirens,current,Amaranthaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",3,2,1944,"Webber, Charles",2010,NA,in Symbiota,NA,NA,"Taylor: voucher from Mono Pass cabins, Dana, Tenaya Lake"
Chenopodium desiccatum,Chenopodium desiccatum,current,Amaranthaceae,3.dicot,NA,native,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,2009,"Smith, Sierra",2009,NA,NA,NA,NA,NA
Chenopodium pratericola,Chenopodium pratericola,current,Amaranthaceae,3.dicot,NA,native,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",1,1,2009,"Smith, Sierra",2009,NA,NA,NA,NA,NA
Dysphania botrys,Dysphania botrys,current,Amaranthaceae,3.dicot,NA,invasive,2,8,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,8,7,1911,"Hall, Harvey Monroe",2009,NA,in Symbiota,NA,NA,NA
Dysphania pumilio,Dysphania pumilio,current,Amaranthaceae,3.dicot,NA,invasive,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,"not in iNat, but occurs in park","retain, nearby voucher","XX-no voucher, maybe in park",NA,NA,NA,NA,NA,NA,in Symbiota,NA,NA,Taylor: Yosemite Valley voucher - but missing from CCH
Monolepis nuttalliana,Monolepis nuttalliana,current,Amaranthaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",3,3,1924,"Jepson, Willis L.",2010,NA,in Symbiota,NA,NA,"Taylor: multiple Yosemite vouchers-Merced Lake HSC, Yosemite Valley, recent"
Neomonolepis spathulata,Neomonolepis spathulata,current,Amaranthaceae,3.dicot,Monolepis spathulata,native,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park","retain, synonym",retain voucher,1,1,1944,"Howell, John Thomas",1944,NA,in Symbiota,"in gbif, Taylor, parklist as Monolepis spathulata - but TNRS must be updating",NA,NA
Rhus aromatica,Rhus aromatica,current,Anacardiaceae,3.dicot,Rhus trilobata,native,2,NA,NA,NA,1,1,1,1,1,NA,1,NA,retain observation,"retain, synonym","retain voucher, synonym",2,1,1933,"Purer, Edith A.",1944,NA,in Symbiota,"many vouchers just outside the park, and one within it from 1981 (Botti)",2 RG observations in far western Yosemite Valley; vouchers just outside park along Hwy 140; previously Rhus trilobata,"Rhus trilobata merged into Rhus aromatica, 2017"
Toxicodendron diversilobum,Toxicodendron diversilobum,current,Anacardiaceae,3.dicot,NA,native,38,1,1,NA,1,1,1,1,1,1,1,NA,retain observation,retain on list,"add, voucher found during check",5,3,1939,"Petrides, George A.",2006,NA,in Symbiota,NA,robust populations in western Yosemite Valley and Hetch Hetcy; very funny there aren't more vouchers,NA
Angelica breweri,Angelica breweri,current,Apiaceae,3.dicot,NA,native,1,8,1,1,iNat-not-gbif,1,1,1,1,1,1,NA,"retain, restricted license",retain on list,retain voucher,6,4,1909,"Jepson, Willis L.",2010,NA,in Symbiota,NA,NA,NA
Angelica capitellata,Angelica capitellata,current,Apiaceae,3.dicot,NA,native,62,2,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,27,17,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",1970,NA,in Symbiota,NA,NA,NA
Angelica lineariloba,Angelica lineariloba,current,Apiaceae,3.dicot,NA,native,1,NA,1,NA,1,1,NA,1,NA,NA,1,NA,"retain, new native record",retain on list,"XX-no voucher, but exists in park",NA,NA,NA,NA,NA,NA,in Symbiota,NA,"1 ""Needs ID"" observation, seemingly from the summit of Sing Peak - which is plausable and the photo looks like a correct match, but leaves only.; https://www.inaturalist.org/observations/54443861 - good observation from Virginia Canyon",NA
Anthriscus caucalis,Anthriscus caucalis,current,Apiaceae,3.dicot,NA,invasive,2,3,1,1,1,1,1,1,NA,1,1,NA,retain observation,retain on list,retain voucher,2,2,1998,"Graham, Roy D.",2009,NA,in Symbiota,NA,NA,NA
Cicuta douglasii,Cicuta douglasii,current,Apiaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,2,1,1940,"Dunn, David",1940,NA,in Symbiota,"just 2 vouchers, but different people, places, times",NA,NA
Cymopterus terebinthinus,Cymopterus terebinthinus,current,Apiaceae,3.dicot,NA,native,12,32,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,18,10,1909,"Jepson, Willis L.",2007,NA,in Symbiota,NA,NA,NA
Daucus pusillus,Daucus pusillus,current,Apiaceae,3.dicot,NA,native,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,5,3,1911,"Abrams, Le Roy",2009,NA,in Symbiota,NA,NA,NA
Foeniculum vulgare,Foeniculum vulgare,current,Apiaceae,3.dicot,NA,invasive,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,1998,"Adams, Justin",1998,NA,in Symbiota,NA,NA,CCH: Yosemite Valley voucher after 1997 floods
Heracleum maximum,Heracleum maximum,current,Apiaceae,3.dicot,Heracleum lanatum,native,87,6,NA,1,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym",retain voucher,7,5,1911,"Abrams, Le Roy",2007,NA,in Symbiota,NA,NA,NA
Ligusticum grayi,Ligusticum grayi,current,Apiaceae,3.dicot,NA,native,12,32,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,48,25,1866,"Bolander, Henry Nicholas",2021,NA,in Symbiota,NA,NA,NA
Lomatium dissectum,Lomatium dissectum,current,Apiaceae,3.dicot,NA,native,1,1,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,2,1,1866,"Bolander, Henry Nicholas",2007,NA,in Symbiota,NA,NA,NA
Lomatium macrocarpum,Lomatium macrocarpum,current,Apiaceae,3.dicot,NA,native,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,1911,"Jepson, Willis L.",1911,NA,in Symbiota,CCH: 1 1911 voucher from Alder Crk Trail (Jepson); in Taylor,NA,NA
