accepted_name,family,establishment_means
Geranium richardsonii,Geraniaceae,native
Geranium robertianum,Geraniaceae,invasive
Ribes cereum,Grossulariaceae,native
Ribes inerme,Grossulariaceae,native
Ribes lasianthum,Grossulariaceae,native
Ribes montigenum,Grossulariaceae,native
Ribes nevadense,Grossulariaceae,native
Ribes roezlii,Grossulariaceae,native
Ribes viscosissimum,Grossulariaceae,native
Myriophyllum sibiricum,Haloragaceae,native
Philadelphus lewisii,Hydrangeaceae,native
Hypericum anagalloides,Hypericaceae,native
Hypericum calycinum,Hypericaceae,invasive
Hypericum perforatum,Hypericaceae,invasive
Hypericum scouleri,Hypericaceae,native
Juglans hindsii,Juglandaceae,invasive
Agastache urticifolia,Lamiaceae,native
Ajuga reptans,Lamiaceae,invasive
Glechoma hederacea,Lamiaceae,invasive
Lamium amplexicaule,Lamiaceae,native
Lepechinia calycina,Lamiaceae,native
Lycopus uniflorus,Lamiaceae,native
Marrubium vulgare,Lamiaceae,invasive
Melissa officinalis,Lamiaceae,invasive
Mentha arvensis,Lamiaceae,native
Mentha arvensis,Lamiaceae,invasive
Mentha spicata,Lamiaceae,invasive
Monardella breweri,Lamiaceae,native
Monardella candicans,Lamiaceae,native
Monardella odoratissima,Lamiaceae,native
Monardella sheltonii,Lamiaceae,native
Monardella villosa,Lamiaceae,native
Nepeta cataria,Lamiaceae,invasive
Prunella vulgaris,Lamiaceae,native
Pycnanthemum californicum,Lamiaceae,native
Salvia columbariae,Lamiaceae,native
Scutellaria bolanderi,Lamiaceae,native
Scutellaria siphocampyloides,Lamiaceae,native
Scutellaria tuberosa,Lamiaceae,native
Stachys ajugoides,Lamiaceae,native
Stachys albens,Lamiaceae,native
Stachys rigida,Lamiaceae,native
Trichostema lanceolatum,Lamiaceae,native
Trichostema oblongum,Lamiaceae,native
Umbellularia californica,Lauraceae,native
Utricularia gibba,Lentibulariaceae,native
Utricularia intermedia,Lentibulariaceae,native
Utricularia macrorhiza,Lentibulariaceae,native
Utricularia minor,Lentibulariaceae,native
Limnanthes alba,Limnanthaceae,native
Limnanthes douglasii,Limnanthaceae,native
Limnanthes montana,Limnanthaceae,native
Linum lewisii,Linaceae,native
Sclerolinon digynum,Linaceae,native
Lindernia dubia,Linderniaceae,native
Mentzelia crocea,Loasaceae,native
Mentzelia dispersa,Loasaceae,native
Mentzelia laevicaulis,Loasaceae,native
Mentzelia lindleyi,Loasaceae,native
Lythrum hyssopifolia,Lythraceae,native
Lythrum portula,Lythraceae,invasive
Rotala ramosior,Lythraceae,native
Malva nicaeensis,Malvaceae,invasive
Malva parviflora,Malvaceae,invasive
Sidalcea asprella,Malvaceae,native
Sidalcea glaucescens,Malvaceae,native
Sidalcea reptans,Malvaceae,native
Menyanthes trifoliata,Menyanthaceae,native
Mollugo verticillata,Molluginaceae,invasive
Calandrinia menziesii,Montiaceae,native
Calyptridium monospermum,Montiaceae,native
Calyptridium umbellatum,Montiaceae,native
Claytonia lanceolata,Montiaceae,native
Claytonia megarhiza,Montiaceae,native
Claytonia nevadensis,Montiaceae,native
Claytonia parviflora,Montiaceae,native
Claytonia perfoliata,Montiaceae,native
Claytonia rubra,Montiaceae,native
Lewisia congdonii,Montiaceae,native
Lewisia disepala,Montiaceae,native
Lewisia glandulosa,Montiaceae,native
Lewisia kelloggii,Montiaceae,native
Lewisia nevadensis,Montiaceae,native
Lewisia pygmaea,Montiaceae,native
Lewisia triphylla,Montiaceae,native
Montia chamissoi,Montiaceae,native
Montia fontana,Montiaceae,native
Montia linearis,Montiaceae,native
Montia parvifolia,Montiaceae,native
Myrica hartwegii,Myricaceae,native
Nuphar polysepala,Nymphaeaceae,native
Fraxinus latifolia,Oleaceae,native
Syringa vulgaris,Oleaceae,invasive
Camissonia contorta,Onagraceae,native
Camissonia lacustris,Onagraceae,native
Camissonia sierrae,Onagraceae,native
Chamaenerion angustifolium,Onagraceae,native
Chamaenerion latifolium,Onagraceae,native
Circaea alpina,Onagraceae,native
Clarkia australis,Onagraceae,native
Clarkia biloba,Onagraceae,native
Clarkia cylindrica,Onagraceae,native
Clarkia dudleyana,Onagraceae,native
Clarkia heterandra,Onagraceae,native
Clarkia modesta,Onagraceae,native
Clarkia purpurea,Onagraceae,native
Clarkia rhomboidea,Onagraceae,native
Clarkia unguiculata,Onagraceae,native
Clarkia williamsonii,Onagraceae,native
Epilobium anagallidifolium,Onagraceae,native
Epilobium brachycarpum,Onagraceae,native
Epilobium canum,Onagraceae,native
Epilobium ciliatum,Onagraceae,native
Epilobium densiflorum,Onagraceae,native
Epilobium glaberrimum,Onagraceae,native
Epilobium hallianum,Onagraceae,native
Epilobium hornemannii,Onagraceae,native
Epilobium howellii,Onagraceae,native
Epilobium lactiflorum,Onagraceae,native
Epilobium minutum,Onagraceae,native
Epilobium obcordatum,Onagraceae,native
Epilobium oreganum,Onagraceae,native
Epilobium oregonense,Onagraceae,native
Epilobium saximontanum,Onagraceae,native
Epilobium torreyi,Onagraceae,native
Gayophytum decipiens,Onagraceae,native
Gayophytum diffusum,Onagraceae,native
Gayophytum eriospermum,Onagraceae,native
Gayophytum heterozygum,Onagraceae,native
Gayophytum humile,Onagraceae,native
Gayophytum racemosum,Onagraceae,native
Gayophytum ramosissimum,Onagraceae,native
Ludwigia palustris,Onagraceae,native
Oenothera elata,Onagraceae,native
Aphyllon californicum,Orobanchaceae,native
Aphyllon corymbosum,Orobanchaceae,native
Aphyllon epigalium,Orobanchaceae,native
Aphyllon fasciculatum,Orobanchaceae,native
Aphyllon franciscanum,Orobanchaceae,native
Aphyllon purpureum,Orobanchaceae,native
Castilleja applegatei,Orobanchaceae,native
Castilleja arachnoidea,Orobanchaceae,native
Castilleja attenuata,Orobanchaceae,native
Castilleja densiflora,Orobanchaceae,native
Castilleja disticha,Orobanchaceae,native
Castilleja exserta,Orobanchaceae,native
Castilleja lacera,Orobanchaceae,native
Castilleja lemmonii,Orobanchaceae,native
Castilleja lineariloba,Orobanchaceae,native
Castilleja miniata,Orobanchaceae,native
Castilleja nana,Orobanchaceae,native
Castilleja peirsonii,Orobanchaceae,native
Castilleja pilosa,Orobanchaceae,native
Castilleja tenuis,Orobanchaceae,native
Cordylanthus pilosus,Orobanchaceae,native
Cordylanthus rigidus,Orobanchaceae,native
Cordylanthus tenuis,Orobanchaceae,native
Orthocarpus cuspidatus,Orobanchaceae,native
Orthocarpus luteus,Orobanchaceae,native
Pedicularis attollens,Orobanchaceae,native
Pedicularis densiflora,Orobanchaceae,native
Pedicularis groenlandica,Orobanchaceae,native
Pedicularis semibarbata,Orobanchaceae,native
Oxalis albicans,Oxalidaceae,native
Oxalis corniculata,Oxalidaceae,invasive
Oxalis dillenii,Oxalidaceae,invasive
Oxalis stricta,Oxalidaceae,invasive
Dicentra formosa,Papaveraceae,native
Dicentra pauciflora,Papaveraceae,native
Dicentra uniflora,Papaveraceae,native
Ehrendorferia chrysantha,Papaveraceae,native
Eschscholzia caespitosa,Papaveraceae,native
Eschscholzia californica,Papaveraceae,native
Romneya coulteri,Papaveraceae,native
Diplacus bolanderi,Phrymaceae,native
Diplacus graniticola,Phrymaceae,native
Diplacus kelloggii,Phrymaceae,native
Diplacus layneae,Phrymaceae,native
Diplacus leptaleus,Phrymaceae,native
Diplacus mephiticus,Phrymaceae,native
Diplacus pulchellus,Phrymaceae,native
Diplacus torreyi,Phrymaceae,native
Erythranthe acutidens,Phrymaceae,native
Erythranthe androsacea,Phrymaceae,native
Erythranthe arenaria,Phrymaceae,native
Erythranthe bicolor,Phrymaceae,native
Erythranthe breweri,Phrymaceae,native
Erythranthe cardinalis,Phrymaceae,native
Erythranthe corallina,Phrymaceae,native
Erythranthe erubescens,Phrymaceae,native
Erythranthe filicaulis,Phrymaceae,native
Erythranthe floribunda,Phrymaceae,native
Erythranthe guttata,Phrymaceae,native
Erythranthe inconspicua,Phrymaceae,native
Erythranthe laciniata,Phrymaceae,native
Erythranthe microphylla,Phrymaceae,native
Erythranthe moschata,Phrymaceae,native
Erythranthe nasuta,Phrymaceae,native
Erythranthe primuloides,Phrymaceae,native
Erythranthe rubella,Phrymaceae,native
Erythranthe suksdorfii,Phrymaceae,native
Erythranthe tilingii,Phrymaceae,native
Mimetanthe pilosa,Phrymaceae,native
Mimulus angustatus,Phrymaceae,native
Antirrhinum leptaleum,Plantaginaceae,native
Callitriche heterophylla,Plantaginaceae,native
Callitriche marginata,Plantaginaceae,native
Callitriche palustris,Plantaginaceae,native
Collinsia bartsiifolia,Plantaginaceae,native
Collinsia childii,Plantaginaceae,native
Collinsia heterophylla,Plantaginaceae,native
Collinsia linearis,Plantaginaceae,native
Collinsia parviflora,Plantaginaceae,native
Collinsia tinctoria,Plantaginaceae,native
Collinsia torreyi,Plantaginaceae,native
Digitalis purpurea,Plantaginaceae,invasive
Gratiola ebracteata,Plantaginaceae,native
Gratiola neglecta,Plantaginaceae,native
Hippuris vulgaris,Plantaginaceae,native
Keckiella breviflora,Plantaginaceae,native
Limosella acaulis,Plantaginaceae,native
Limosella aquatica,Plantaginaceae,native
Penstemon azureus,Plantaginaceae,native
Penstemon davidsonii,Plantaginaceae,native
Penstemon heterodoxus,Plantaginaceae,native
Penstemon heterophyllus,Plantaginaceae,native
Penstemon laetus,Plantaginaceae,native
Penstemon newberryi,Plantaginaceae,native
Penstemon procerus,Plantaginaceae,native
Penstemon roezlii,Plantaginaceae,native
Penstemon rostriflorus,Plantaginaceae,native
Penstemon rydbergii,Plantaginaceae,native
Plantago erecta,Plantaginaceae,native
Plantago lanceolata,Plantaginaceae,invasive
Plantago major,Plantaginaceae,invasive
Veronica americana,Plantaginaceae,native
Veronica anagallis-aquatica,Plantaginaceae,invasive
Veronica arvensis,Plantaginaceae,invasive
Veronica cusickii,Plantaginaceae,native
Veronica filiformis,Plantaginaceae,invasive
Veronica peregrina,Plantaginaceae,native
Veronica persica,Plantaginaceae,invasive
Veronica scutellata,Plantaginaceae,native
Veronica serpyllifolia,Plantaginaceae,native
Veronica wormskjoldii,Plantaginaceae,native
Allophyllum capillare,Polemoniaceae,native
Allophyllum divaricatum,Polemoniaceae,native
Allophyllum gilioides,Polemoniaceae,native
Allophyllum integrifolium,Polemoniaceae,native
Collomia grandiflora,Polemoniaceae,native
Collomia heterophylla,Polemoniaceae,native
Collomia linearis,Polemoniaceae,native
Collomia tinctoria,Polemoniaceae,native
Gilia capitata,Polemoniaceae,native
Gilia tricolor,Polemoniaceae,native
Ipomopsis aggregata,Polemoniaceae,native
Leptosiphon bicolor,Polemoniaceae,native
Leptosiphon ciliatus,Polemoniaceae,native
Leptosiphon filipes,Polemoniaceae,native
Leptosiphon liniflorus,Polemoniaceae,native
Leptosiphon montanus,Polemoniaceae,native
Leptosiphon nuttallii,Polemoniaceae,native
Linanthus dichotomus,Polemoniaceae,native
Linanthus harknessii,Polemoniaceae,native
Linanthus pungens,Polemoniaceae,native
Microsteris gracilis,Polemoniaceae,native
Navarretia crystallina,Polemoniaceae,native
Navarretia divaricata,Polemoniaceae,native
Navarretia intertexta,Polemoniaceae,native
Navarretia leptalea,Polemoniaceae,native
Navarretia linearifolia,Polemoniaceae,native
Navarretia viscidula,Polemoniaceae,native
Navarretia vividior,Polemoniaceae,native
Phlox condensata,Polemoniaceae,native
Phlox diffusa,Polemoniaceae,native
Phlox pulvinata,Polemoniaceae,native
Phlox speciosa,Polemoniaceae,native
Polemonium californicum,Polemoniaceae,native
Polemonium eximium,Polemoniaceae,native
Polemonium occidentale,Polemoniaceae,native
Polemonium pulcherrimum,Polemoniaceae,native
Bistorta bistortoides,Polygonaceae,native
Chorizanthe membranacea,Polygonaceae,native
Eriogonum gracile,Polygonaceae,native
Eriogonum hirtiflorum,Polygonaceae,native
Eriogonum incanum,Polygonaceae,native
Eriogonum lobbii,Polygonaceae,native
Eriogonum luteolum,Polygonaceae,native
Eriogonum marifolium,Polygonaceae,native
Eriogonum microtheca,Polygonaceae,native
Eriogonum nudum,Polygonaceae,native
Eriogonum ovalifolium,Polygonaceae,native
Eriogonum prattenianum,Polygonaceae,native
Eriogonum rosense,Polygonaceae,native
Eriogonum roseum,Polygonaceae,native
Eriogonum spergulinum,Polygonaceae,native
Eriogonum umbellatum,Polygonaceae,native
Eriogonum wrightii,Polygonaceae,native
Fallopia convolvulus,Polygonaceae,native
Koenigia phytolaccifolia,Polygonaceae,native
Oxyria digyna,Polygonaceae,native
Persicaria amphibia,Polygonaceae,native
Persicaria hydropiper,Polygonaceae,invasive
Persicaria hydropiperoides,Polygonaceae,native
Persicaria lapathifolia,Polygonaceae,native
Persicaria maculosa,Polygonaceae,invasive
Polygonum aviculare,Polygonaceae,invasive
Polygonum californicum,Polygonaceae,native
Polygonum douglasii,Polygonaceae,native
Polygonum minimum,Polygonaceae,native
Polygonum parryi,Polygonaceae,native
Polygonum polygaloides,Polygonaceae,native
Polygonum ramosissimum,Polygonaceae,invasive
Polygonum sawatchense,Polygonaceae,native
Polygonum shastense,Polygonaceae,native
Pterostegia drymarioides,Polygonaceae,native
Rumex acetosella,Polygonaceae,invasive
Rumex californicus,Polygonaceae,native
Rumex conglomeratus,Polygonaceae,invasive
Rumex crispus,Polygonaceae,invasive
Rumex paucifolius,Polygonaceae,native
Rumex pulcher,Polygonaceae,invasive
Rumex salicifolius,Polygonaceae,native
Rumex triangulivalvis,Polygonaceae,native
Rumex utahensis,Polygonaceae,native
Portulaca oleracea,Portulacaceae,invasive
Androsace septentrionalis,Primulaceae,native
Lysimachia arvensis,Primulaceae,invasive
Lysimachia latifolia,Primulaceae,native
Primula hendersonii,Primulaceae,native
Primula jeffreyi,Primulaceae,native
Primula pauciflora,Primulaceae,native
Primula subalpina,Primulaceae,native
Primula suffrutescens,Primulaceae,native
Primula tetrandra,Primulaceae,native
Aconitum columbianum,Ranunculaceae,native
Actaea rubra,Ranunculaceae,native
Anemone drummondii,Ranunculaceae,native
Aquilegia formosa,Ranunculaceae,native
Aquilegia pubescens,Ranunculaceae,native
Caltha leptosepala,Ranunculaceae,native
Clematis lasiantha,Ranunculaceae,native
Clematis ligusticifolia,Ranunculaceae,native
Delphinium depauperatum,Ranunculaceae,native
Delphinium glaucum,Ranunculaceae,native
Delphinium gracilentum,Ranunculaceae,native
Delphinium hansenii,Ranunculaceae,native
Delphinium hesperium,Ranunculaceae,native
Delphinium nudicaule,Ranunculaceae,native
Delphinium nuttallianum,Ranunculaceae,native
Delphinium patens,Ranunculaceae,native
Delphinium polycladon,Ranunculaceae,native
Enemion occidentale,Ranunculaceae,native
Halerpestes cymbalaria,Ranunculaceae,native
Kumlienia hystricula,Ranunculaceae,native
Pulsatilla occidentalis,Ranunculaceae,native
Ranunculus alismifolius,Ranunculaceae,native
Ranunculus californicus,Ranunculaceae,native
Ranunculus eschscholtzii,Ranunculaceae,native
Ranunculus flammula,Ranunculaceae,native
Ranunculus glaberrimus,Ranunculaceae,native
Ranunculus hebecarpus,Ranunculaceae,native
Ranunculus muricatus,Ranunculaceae,invasive
Ranunculus occidentalis,Ranunculaceae,native
Ranunculus orthorhynchus,Ranunculaceae,native
Ranunculus repens,Ranunculaceae,invasive
Ranunculus trichophyllus,Ranunculaceae,native
Ranunculus uncinatus,Ranunculaceae,native
Thalictrum fendleri,Ranunculaceae,native
Thalictrum sparsiflorum,Ranunculaceae,native
Ceanothus arcuatus,Rhamnaceae,native
Ceanothus cordulatus,Rhamnaceae,native
Ceanothus cuneatus,Rhamnaceae,native
Ceanothus diversifolius,Rhamnaceae,native
Ceanothus fresnensis,Rhamnaceae,native
Ceanothus integerrimus,Rhamnaceae,native
Ceanothus leucodermis,Rhamnaceae,native
Ceanothus parvifolius,Rhamnaceae,native
Ceanothus velutinus,Rhamnaceae,native
Frangula californica,Rhamnaceae,native
Frangula rubra,Rhamnaceae,native
Rhamnus ilicifolia,Rhamnaceae,native
Adenostoma fasciculatum,Rosaceae,native
Amelanchier alnifolia,Rosaceae,native
Amelanchier utahensis,Rosaceae,native
Argentina anserina,Rosaceae,native
Cercocarpus betuloides,Rosaceae,native
Chamaebatia foliolosa,Rosaceae,native
Dasiphora fruticosa,Rosaceae,native
Drymocallis glandulosa,Rosaceae,native
Drymocallis hansenii,Rosaceae,native
Drymocallis lactea,Rosaceae,native
Fragaria vesca,Rosaceae,native
Fragaria virginiana,Rosaceae,native
Geum macrophyllum,Rosaceae,native
Holodiscus discolor,Rosaceae,native
Horkelia fusca,Rosaceae,native
Horkelia tridentata,Rosaceae,native
Ivesia gordonii,Rosaceae,native
Ivesia lycopodioides,Rosaceae,native
Ivesia muirii,Rosaceae,native
Ivesia santolinoides,Rosaceae,native
Ivesia shockleyi,Rosaceae,native
Ivesia unguiculata,Rosaceae,native
Physocarpus capitatus,Rosaceae,native
Potentilla amicarum,Rosaceae,native
Potentilla breweri,Rosaceae,native
Potentilla bruceae,Rosaceae,native
Potentilla diversifolia,Rosaceae,native
Potentilla drummondii,Rosaceae,native
Potentilla flabellifolia,Rosaceae,native
Potentilla glaucophylla,Rosaceae,native
Potentilla gracilis,Rosaceae,native
Potentilla grayi,Rosaceae,native
Potentilla indica,Rosaceae,invasive
Potentilla pensylvanica,Rosaceae,native
Potentilla pseudosericea,Rosaceae,native
Prunus cerasifera,Rosaceae,invasive
Prunus emarginata,Rosaceae,native
Prunus persica,Rosaceae,invasive
Prunus subcordata,Rosaceae,native
Prunus virginiana,Rosaceae,native
Rosa bridgesii,Rosaceae,native
Rosa californica,Rosaceae,native
Rosa gymnocarpa,Rosaceae,native
Rosa woodsii,Rosaceae,native
Rubus armeniacus,Rosaceae,invasive
Rubus glaucifolius,Rosaceae,native
Rubus laciniatus,Rosaceae,invasive
Rubus leucodermis,Rosaceae,native
Rubus parviflorus,Rosaceae,native
Rubus ulmifolius,Rosaceae,invasive
Rubus ursinus,Rosaceae,native
Sibbaldia procumbens,Rosaceae,native
Sorbus californica,Rosaceae,native
Sorbus scopulina,Rosaceae,native
Spiraea splendens,Rosaceae,native
Cephalanthus occidentalis,Rubiaceae,native
Galium aparine,Rubiaceae,native
Galium bifolium,Rubiaceae,native
Galium bolanderi,Rubiaceae,native
Galium boreale,Rubiaceae,native
Galium mexicanum,Rubiaceae,native
Galium parisiense,Rubiaceae,invasive
Galium porrigens,Rubiaceae,native
Galium sparsiflorum,Rubiaceae,native
Galium trifidum,Rubiaceae,native
Galium triflorum,Rubiaceae,native
Kelloggia galioides,Rubiaceae,native
Populus tremuloides,Salicaceae,native
Populus trichocarpa,Salicaceae,native
Salix boothii,Salicaceae,native
Salix eastwoodiae,Salicaceae,native
Salix exigua,Salicaceae,native
Salix geyeriana,Salicaceae,native
Salix jepsonii,Salicaceae,native
Salix laevigata,Salicaceae,native
Salix lasiandra,Salicaceae,native
Salix lasiolepis,Salicaceae,native
Salix lemmonii,Salicaceae,native
Salix ligulifolia,Salicaceae,native
Salix lutea,Salicaceae,native
Salix melanopsis,Salicaceae,native
Salix nivalis,Salicaceae,native
Salix orestera,Salicaceae,native
Salix petrophila,Salicaceae,native
Salix planifolia,Salicaceae,native
Salix prolixa,Salicaceae,native
Salix scouleriana,Salicaceae,native
Arceuthobium abietinum,Santalaceae,native
Arceuthobium americanum,Santalaceae,native
Arceuthobium californicum,Santalaceae,native
Arceuthobium campylopodum,Santalaceae,native
Comandra umbellata,Santalaceae,native
Phoradendron bolleanum,Santalaceae,native
Phoradendron juniperinum,Santalaceae,native
Phoradendron leucarpum,Santalaceae,native
Phoradendron libocedri,Santalaceae,native
Phoradendron pauciflorum,Santalaceae,native
Phoradendron villosum,Santalaceae,native
Acer circinatum,Sapindaceae,native
Acer glabrum,Sapindaceae,native
Acer macrophyllum,Sapindaceae,native
Aesculus californica,Sapindaceae,native
Bolandra californica,Saxifragaceae,native
Boykinia major,Saxifragaceae,native
Brewerimitella breweri,Saxifragaceae,native
Darmera peltata,Saxifragaceae,native
Heuchera micrantha,Saxifragaceae,native
Heuchera rubescens,Saxifragaceae,native
Lithophragma affine,Saxifragaceae,native
Lithophragma bolanderi,Saxifragaceae,native
Lithophragma glabrum,Saxifragaceae,native
Lithophragma heterophyllum,Saxifragaceae,native
Lithophragma parviflorum,Saxifragaceae,native
Micranthes aprica,Saxifragaceae,native
Micranthes bryophora,Saxifragaceae,native
Micranthes californica,Saxifragaceae,native
Micranthes nidifica,Saxifragaceae,native
Micranthes odontoloma,Saxifragaceae,native
Micranthes oregana,Saxifragaceae,native
Micranthes tolmiei,Saxifragaceae,native
Pectiantia pentandra,Saxifragaceae,native
Saxifraga hyperborea,Saxifragaceae,native
Saxifraga mertensiana,Saxifragaceae,native
Scrophularia californica,Scrophulariaceae,native
Scrophularia desertorum,Scrophulariaceae,native
Verbascum blattaria,Scrophulariaceae,invasive
Verbascum thapsus,Scrophulariaceae,invasive
Verbascum virgatum,Scrophulariaceae,invasive
Ailanthus altissima,Simaroubaceae,invasive
Datura wrightii,Solanaceae,native
Nicotiana acuminata,Solanaceae,invasive
Nicotiana attenuata,Solanaceae,native
Solanum americanum,Solanaceae,native
Solanum nigrum,Solanaceae,invasive
Solanum xanti,Solanaceae,native
Staphylea bolanderi,Staphyleaceae,native
Urtica urens,Urticaceae,invasive
Verbena hastata,Verbenaceae,native
Verbena lasiostachys,Verbenaceae,native
Sambucus cerulea,Viburnaceae,native
Sambucus racemosa,Viburnaceae,native
Viola adunca,Violaceae,native
Viola arvensis,Violaceae,invasive
Viola bakeri,Violaceae,native
Viola glabella,Violaceae,native
Viola lobata,Violaceae,native
Viola macloskeyi,Violaceae,native
Viola odorata,Violaceae,invasive
Viola pinetorum,Violaceae,native
Viola purpurea,Violaceae,native
Viola sheltonii,Violaceae,native
Parthenocissus inserta,Vitaceae,invasive
Parthenocissus quinquefolia,Vitaceae,invasive
Vitis californica,Vitaceae,native
Tribulus terrestris,Zygophyllaceae,invasive
Bulbostylis capillaris,Cyperaceae,native
Calliscirpus brachythrix,Cyperaceae,native
Calliscirpus criniger,Cyperaceae,native
Carex abrupta,Cyperaceae,native
Carex albonigra,Cyperaceae,native
Carex alma,Cyperaceae,native
Carex amplifolia,Cyperaceae,native
Carex angustata,Cyperaceae,native
Carex aquatilis,Cyperaceae,native
Carex athrostachya,Cyperaceae,native
Carex aurea,Cyperaceae,native
Carex bolanderi,Cyperaceae,native
Carex brainerdii,Cyperaceae,native
Carex breweri,Cyperaceae,native
Carex buxbaumii,Cyperaceae,native
Carex canescens,Cyperaceae,native
Carex capillaris,Cyperaceae,native
Carex capitata,Cyperaceae,native
Carex congdonii,Cyperaceae,native
Carex cusickii,Cyperaceae,native
Carex davyi,Cyperaceae,native
Carex deflexa,Cyperaceae,native
Carex densa,Cyperaceae,native
Carex diandra,Cyperaceae,native
Carex douglasii,Cyperaceae,native
Carex echinata,Cyperaceae,native
Carex feta,Cyperaceae,native
Carex filifolia,Cyperaceae,native
Carex fissuricola,Cyperaceae,native
Carex fracta,Cyperaceae,native
Carex hassei,Cyperaceae,native
Carex haydeniana,Cyperaceae,native
Carex helleri,Cyperaceae,native
Carex heteroneura,Cyperaceae,native
Carex hoodii,Cyperaceae,native
Carex illota,Cyperaceae,native
Carex incurviformis,Cyperaceae,native
Carex integra,Cyperaceae,native
Carex jonesii,Cyperaceae,native
Carex kelloggii,Cyperaceae,native
Carex lemmonii,Cyperaceae,native
Carex leporinella,Cyperaceae,native
Carex leptopoda,Cyperaceae,native
Carex limosa,Cyperaceae,native
Carex luzulifolia,Cyperaceae,native
Carex luzulina,Cyperaceae,native
Carex mariposana,Cyperaceae,native
Carex microptera,Cyperaceae,native
Carex multicaulis,Cyperaceae,native
Carex multicostata,Cyperaceae,native
Carex nebrascensis,Cyperaceae,native
Carex nervina,Cyperaceae,native
Carex nigricans,Cyperaceae,native
Carex nudata,Cyperaceae,native
Carex orestera,Cyperaceae,native
Carex pachystachya,Cyperaceae,native
Carex pellita,Cyperaceae,native
Carex phaeocephala,Cyperaceae,native
Carex praeceptorum,Cyperaceae,native
Carex praegracilis,Cyperaceae,native
Carex praticola,Cyperaceae,native
Carex preslii,Cyperaceae,native
Carex raynoldsii,Cyperaceae,native
Carex rossii,Cyperaceae,native
Carex sartwelliana,Cyperaceae,native
Carex scirpoidea,Cyperaceae,native
Carex scopulorum,Cyperaceae,native
Carex senta,Cyperaceae,native
Carex serratodens,Cyperaceae,native
Carex simulata,Cyperaceae,native
Carex specifica,Cyperaceae,native
Carex spectabilis,Cyperaceae,native
Carex stipata,Cyperaceae,native
Carex straminiformis,Cyperaceae,native
Carex subfusca,Cyperaceae,native
Carex subnigricans,Cyperaceae,native
Carex tahoensis,Cyperaceae,native
Carex tompkinsii,Cyperaceae,native
Carex utriculata,Cyperaceae,native
Carex vernacula,Cyperaceae,native
Carex vesicaria,Cyperaceae,native
Carex viridula,Cyperaceae,native
Carex whitneyi,Cyperaceae,native
Cyperus eragrostis,Cyperaceae,native
Cyperus esculentus,Cyperaceae,native
Cyperus hemioccidentalis,Cyperaceae,native
Cyperus squarrosus,Cyperaceae,native
Dulichium arundinaceum,Cyperaceae,native
Eleocharis acicularis,Cyperaceae,native
Eleocharis bella,Cyperaceae,native
Eleocharis bolanderi,Cyperaceae,native
Eleocharis decumbens,Cyperaceae,native
Eleocharis engelmannii,Cyperaceae,native
Eleocharis macrostachya,Cyperaceae,native
Eleocharis obtusa,Cyperaceae,native
Eleocharis ovata,Cyperaceae,native
Eleocharis palustris,Cyperaceae,native
Eleocharis parishii,Cyperaceae,native
Eleocharis quinqueflora,Cyperaceae,native
Eriophorum gracile,Cyperaceae,native
Isolepis cernua,Cyperaceae,native
Lipocarpha micrantha,Cyperaceae,native
Oreobolopsis clementis,Cyperaceae,native
Schoenoplectus acutus,Cyperaceae,native
Schoenoplectus pungens,Cyperaceae,native
Schoenoplectus subterminalis,Cyperaceae,native
Scirpus congdonii,Cyperaceae,native
Scirpus cyperinus,Cyperaceae,invasive
Scirpus diffusus,Cyperaceae,native
Scirpus microcarpus,Cyperaceae,native
Elodea canadensis,Hydrocharitaceae,native
Elodea nuttallii,Hydrocharitaceae,native
Juncus amuricus,Juncaceae,native
Juncus balticus,Juncaceae,native
Juncus bryoides,Juncaceae,native
Juncus bufonius,Juncaceae,native
Juncus capillaris,Juncaceae,native
Juncus chlorocephalus,Juncaceae,native
Juncus confusus,Juncaceae,native
Juncus covillei,Juncaceae,native
Juncus drummondii,Juncaceae,native
Juncus dubius,Juncaceae,native
Juncus effusus,Juncaceae,native
Juncus ensifolius,Juncaceae,native
Juncus exiguus,Juncaceae,native
Juncus hemiendytus,Juncaceae,native
Juncus laccatus,Juncaceae,native
Juncus longistylis,Juncaceae,native
Juncus macrandrus,Juncaceae,native
Juncus mertensianus,Juncaceae,native
Juncus nevadensis,Juncaceae,native
Juncus occidentalis,Juncaceae,native
Juncus orthophyllus,Juncaceae,native
Juncus oxymeris,Juncaceae,native
Juncus parryi,Juncaceae,native
Juncus saximontanus,Juncaceae,native
Juncus tenuis,Juncaceae,native
Juncus tiehmii,Juncaceae,native
Juncus triformis,Juncaceae,native
Juncus uncialis,Juncaceae,native
Juncus xiphioides,Juncaceae,native
Luzula cascadensis,Juncaceae,native
Luzula comosa,Juncaceae,native
Luzula divaricata,Juncaceae,native
Luzula macrantha,Juncaceae,native
Luzula orestera,Juncaceae,native
Luzula parviflora,Juncaceae,native
Luzula spicata,Juncaceae,native
Luzula subcongesta,Juncaceae,native
Triglochin maritima,Juncaginaceae,native
Triglochin palustris,Juncaginaceae,native
Triglochin scilloides,Juncaginaceae,native
Agrostis capillaris,Poaceae,invasive
Agrostis exarata,Poaceae,native
Agrostis gigantea,Poaceae,invasive
Agrostis humilis,Poaceae,native
Agrostis idahoensis,Poaceae,native
Agrostis oregonensis,Poaceae,native
Agrostis pallens,Poaceae,native
