id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
28959450,2019/06/21 11:23 AM PDT,2019-06-21,2019-06-21 18:23:00 UTC,Pacific Time (US & Canada),32092,ev4nw01f,Evan Wolf,2019-07-16 20:55:47 UTC,2019-07-16 22:05:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28959450,https://inaturalist-open-data.s3.amazonaws.com/photos/45170490/medium.jpeg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.83654167,-119.84556,,,,,,,,false,,,yellow salsify,Tragopogon dubius,Yellow Salsify,Plantae,54143,Asteraceae,Tragopogon,Tragopogon dubius,
28959540,2019/06/21 11:27 AM PDT,2019-06-21,2019-06-21 18:27:00 UTC,Pacific Time (US & Canada),32092,ev4nw01f,Evan Wolf,2019-07-16 20:56:42 UTC,2019-08-27 14:36:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28959540,https://inaturalist-open-data.s3.amazonaws.com/photos/45170589/medium.jpeg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8377166667,-119.8441033333,,,,,,,,false,,,Menzies' baby blue eyes,Nemophila menziesii,Menzies' baby blue eyes,Plantae,50648,Boraginaceae,Nemophila,Nemophila menziesii,
28961839,2019/06/21 11:32 AM PDT,2019-06-21,2019-06-21 18:32:00 UTC,Pacific Time (US & Canada),32092,ev4nw01f,Evan Wolf,2019-07-16 21:35:45 UTC,2020-08-28 00:36:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28961839,https://inaturalist-open-data.s3.amazonaws.com/photos/45170775/medium.jpeg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.83786,-119.8440416667,,,,,,,,false,,,Superb Mariposa Lily,Calochortus superbus,Superb Mariposa Lily,Plantae,51078,Liliaceae,Calochortus,Calochortus superbus,
28986162,2019/06/21 2:55 PM PDT,2019-06-21,2019-06-21 21:55:00 UTC,Pacific Time (US & Canada),32092,ev4nw01f,Evan Wolf,2019-07-17 07:36:36 UTC,2019-07-17 16:21:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28986162,https://inaturalist-open-data.s3.amazonaws.com/photos/45215455/medium.jpeg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8408816667,-119.8356066667,,,,,,,,false,,,medusa head,Taeniatherum caput-medusae,medusa head,Plantae,169522,Poaceae,Taeniatherum,Taeniatherum caput-medusae,
29009092,2019/06/21 2:58 PM PDT,2019-06-21,2019-06-21 21:58:00 UTC,Pacific Time (US & Canada),32092,ev4nw01f,Evan Wolf,2019-07-17 18:01:15 UTC,2019-11-20 04:55:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29009092,https://inaturalist-open-data.s3.amazonaws.com/photos/45251422/medium.jpeg,,"","",1,0,false,,"Tuolumne County, CA, USA",37.83998,-119.8332933333,,,,,,,,false,,,lance selfheal,Prunella vulgaris lanceolata,lance selfheal,Plantae,60213,Lamiaceae,Prunella,Prunella vulgaris,Prunella vulgaris lanceolata
29010090,2019/06/21 4:33 PM PDT,2019-06-21,2019-06-21 23:33:00 UTC,Pacific Time (US & Canada),32092,ev4nw01f,Evan Wolf,2019-07-17 18:16:19 UTC,2019-07-19 07:41:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29010090,https://inaturalist-open-data.s3.amazonaws.com/photos/45253768/medium.jpeg,,"","",1,0,false,,"Tuolumne County, CA, USA",37.83772,-119.838485,,,,,,,,false,,,Linear-lobed indian paintbrush,Castilleja lineariloba,Linear-lobed Owl's-clover,Plantae,58327,Orobanchaceae,Castilleja,Castilleja lineariloba,
29010951,2019/06/21 4:49 PM PDT,2019-06-21,2019-06-21 23:49:00 UTC,Pacific Time (US & Canada),32092,ev4nw01f,Evan Wolf,2019-07-17 18:32:17 UTC,2019-07-18 20:53:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29010951,https://inaturalist-open-data.s3.amazonaws.com/photos/45254828/medium.jpeg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8370816667,-119.840935,,,,,,,,false,,,sticky Chinese houses,Collinsia tinctoria,sticky Chinese houses,Plantae,51850,Plantaginaceae,Collinsia,Collinsia tinctoria,
29012680,2019/06/20 1:24 PM PDT,2019-06-20,2019-06-20 20:24:00 UTC,Pacific Time (US & Canada),32092,ev4nw01f,Evan Wolf,2019-07-17 18:59:44 UTC,2019-07-17 23:45:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29012680,https://inaturalist-open-data.s3.amazonaws.com/photos/45258297/medium.jpeg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.83603,-119.84375,,,,,,,,false,,,common yarrow,Achillea millefolium,common yarrow,Plantae,52821,Asteraceae,Achillea,Achillea millefolium,
29014202,2019/06/20 1:34 PM PDT,2019-06-20,2019-06-20 20:34:00 UTC,Pacific Time (US & Canada),32092,ev4nw01f,Evan Wolf,2019-07-17 19:25:30 UTC,2024-08-27 22:34:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29014202,https://inaturalist-open-data.s3.amazonaws.com/photos/45260608/medium.jpeg,,"",,2,0,false,,"Tuolumne County, CA, USA",37.8358566667,-119.845095,,,,,,,,false,,,European field pansy,Viola arvensis,European field pansy,Plantae,55760,Violaceae,Viola,Viola arvensis,
29014804,2019/06/20 1:35 PM PDT,2019-06-20,2019-06-20 20:35:00 UTC,Pacific Time (US & Canada),32092,ev4nw01f,Evan Wolf,2019-07-17 19:36:14 UTC,2020-01-27 18:46:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29014804,https://inaturalist-open-data.s3.amazonaws.com/photos/45261343/medium.jpeg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8358383333,-119.8451066667,,,,,,,,false,,,Whiskerbrush,Leptosiphon ciliatus,Whiskerbrush,Plantae,77684,Polemoniaceae,Leptosiphon,Leptosiphon ciliatus,
29159483,2019/07/08 5:01 PM PDT,2019-07-08,2019-07-09 00:01:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:15:46 UTC,2020-08-21 13:43:43 UTC,research,CC0,https://www.inaturalist.org/observations/29159483,https://inaturalist-open-data.s3.amazonaws.com/photos/45497338/medium.jpg,,"Ackerson Meadow, Leptosiphon filipes",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8357433333,-119.8462166667,,,,,,,,false,,,thread linanthus,Leptosiphon filipes,thread linanthus,Plantae,77686,Polemoniaceae,Leptosiphon,Leptosiphon filipes,
29159485,2019/07/08 5:05 PM PDT,2019-07-08,2019-07-09 00:05:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:15:47 UTC,2019-07-20 16:52:11 UTC,research,CC0,https://www.inaturalist.org/observations/29159485,https://inaturalist-open-data.s3.amazonaws.com/photos/45497358/medium.jpg,,"Ackerson Meadow, Chlorogalum pomeridianum",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8357933333,-119.8459833333,,,,,28329,,,false,,,wavy-leafed soap plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597,Asparagaceae,Chlorogalum,Chlorogalum pomeridianum,
29159487,2019/07/08 5:10 PM PDT,2019-07-08,2019-07-09 00:10:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:15:49 UTC,2020-12-06 00:17:55 UTC,research,CC0,https://www.inaturalist.org/observations/29159487,https://inaturalist-open-data.s3.amazonaws.com/photos/45497378/medium.jpg,,"Ackerson Meadow, Navarretia intertexta",,2,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8358116667,-119.8457883333,,,,,,,,false,,,needleleaf navarretia,Navarretia intertexta,needleleaf navarretia,Plantae,60225,Polemoniaceae,Navarretia,Navarretia intertexta,
29159489,2019/07/08 5:13 PM PDT,2019-07-08,2019-07-09 00:13:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:15:51 UTC,2019-12-03 21:25:15 UTC,research,CC0,https://www.inaturalist.org/observations/29159489,https://inaturalist-open-data.s3.amazonaws.com/photos/45497418/medium.jpg,,"Ackerson Meadow, Calochortus superbus",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8358866667,-119.8457633333,,,,,,,,false,,,Superb Mariposa Lily,Calochortus superbus,Superb Mariposa Lily,Plantae,51078,Liliaceae,Calochortus,Calochortus superbus,
29159490,2019/07/08 5:17 PM PDT,2019-07-08,2019-07-09 00:17:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:15:51 UTC,2023-11-21 21:55:59 UTC,research,CC0,https://www.inaturalist.org/observations/29159490,https://inaturalist-open-data.s3.amazonaws.com/photos/45497422/medium.jpg,,"Ackerson Meadow, Downingia montana",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8360133333,-119.8458183333,,,,,,,,false,,,Sierra calicoflower,Downingia montana,Sierra calicoflower,Plantae,76683,Campanulaceae,Downingia,Downingia montana,
29159491,2019/07/08 5:17 PM PDT,2019-07-08,2019-07-09 00:17:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:15:53 UTC,2021-04-29 23:08:43 UTC,research,CC0,https://www.inaturalist.org/observations/29159491,https://inaturalist-open-data.s3.amazonaws.com/photos/45497429/medium.jpg,,"Ackerson Meadow, Gnaphalium palustre","Guessing here, I would appreciate correction.",1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8359833333,-119.8458533333,,,,,,,,false,,,western marsh cudweed,Gnaphalium palustre,western marsh cudweed,Plantae,57980,Asteraceae,Gnaphalium,Gnaphalium palustre,
29159493,2019/07/08 5:20 PM PDT,2019-07-08,2019-07-09 00:20:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:15:53 UTC,2023-05-06 19:24:48 UTC,research,CC0,https://www.inaturalist.org/observations/29159493,https://inaturalist-open-data.s3.amazonaws.com/photos/45497435/medium.jpg,,"Ackerson Meadow, Heterocodon rariflorum",Abundant and abundantly flowering.,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8360766667,-119.8458016667,,,,,,,,false,,,western pearlflower,Heterocodon rariflorum,western pearlflower,Plantae,58868,Campanulaceae,Heterocodon,Heterocodon rariflorum,
29159496,2019/07/08 5:32 PM PDT,2019-07-08,2019-07-09 00:32:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:15:55 UTC,2024-02-02 01:33:06 UTC,research,CC0,https://www.inaturalist.org/observations/29159496,https://inaturalist-open-data.s3.amazonaws.com/photos/45497480/medium.jpg,,"Ackerson Meadow, Agastache urticifolia",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.83629,-119.8459266667,,,,,,,,false,,,nettle-leaf giant hyssop,Agastache urticifolia,nettle-leaf giant hyssop,Plantae,63316,Lamiaceae,Agastache,Agastache urticifolia,
29159497,2019/07/08 5:34 PM PDT,2019-07-08,2019-07-09 00:34:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:15:55 UTC,2020-02-02 05:23:04 UTC,research,CC0,https://www.inaturalist.org/observations/29159497,https://inaturalist-open-data.s3.amazonaws.com/photos/45497483/medium.jpg,,"Ackerson Meadow, Madia elegans",,0,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.836535,-119.8458033333,,,,,,,,false,,,Common Madia,Madia elegans,Common Madia,Plantae,56974,Asteraceae,Madia,Madia elegans,
29159498,2019/07/08 5:35 PM PDT,2019-07-08,2019-07-09 00:35:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:15:57 UTC,2019-07-20 16:51:44 UTC,research,CC0,https://www.inaturalist.org/observations/29159498,https://inaturalist-open-data.s3.amazonaws.com/photos/45497490/medium.jpg,,"Achillea millefolium, Ackerson Meadow",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8364966667,-119.845745,,,,,28329,,,false,,,common yarrow,Achillea millefolium,common yarrow,Plantae,52821,Asteraceae,Achillea,Achillea millefolium,
29159504,2019/07/08 5:45 PM PDT,2019-07-08,2019-07-09 00:45:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:16:01 UTC,2020-03-16 18:17:27 UTC,research,CC0,https://www.inaturalist.org/observations/29159504,https://inaturalist-open-data.s3.amazonaws.com/photos/45497548/medium.jpg,,"Ackerson Meadow, Lessingia leptoclada",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8369033333,-119.8441933333,,,,,,,,false,,,Sierra lessingia,Lessingia leptoclada,Sierra lessingia,Plantae,63001,Asteraceae,Lessingia,Lessingia leptoclada,
29159507,2019/07/08 5:48 PM PDT,2019-07-08,2019-07-09 00:48:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:16:03 UTC,2022-09-23 05:08:35 UTC,research,CC0,https://www.inaturalist.org/observations/29159507,https://inaturalist-open-data.s3.amazonaws.com/photos/45497555/medium.jpg,,"Ackerson Meadow, Brodiaea elegans",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8367366667,-119.8440416667,,,,,,,,false,,,harvest brodiaea,Brodiaea elegans,harvest brodiaea,Plantae,51752,Asparagaceae,Brodiaea,Brodiaea elegans,
29159508,2019/07/08 5:48 PM PDT,2019-07-08,2019-07-09 00:48:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:16:03 UTC,2019-07-22 18:51:46 UTC,research,CC0,https://www.inaturalist.org/observations/29159508,https://inaturalist-open-data.s3.amazonaws.com/photos/45497558/medium.jpg,,"Ackerson Meadow, Lathyrus latifolius",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8366583333,-119.844,,,,,,,open,false,,,broad-leaved sweet pea,Lathyrus latifolius,broad-leaved sweet pea,Plantae,61009,Fabaceae,Lathyrus,Lathyrus latifolius,
29159510,2019/07/08 5:58 PM PDT,2019-07-08,2019-07-09 00:58:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:16:04 UTC,2020-08-04 16:46:04 UTC,research,CC0,https://www.inaturalist.org/observations/29159510,https://inaturalist-open-data.s3.amazonaws.com/photos/45497580/medium.jpg,,"Ackerson Meadow, Collinsia tinctoria",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.83826,-119.84431,,,,,,,,false,,,sticky Chinese houses,Collinsia tinctoria,sticky Chinese houses,Plantae,51850,Plantaginaceae,Collinsia,Collinsia tinctoria,
29159511,2019/07/08 6:01 PM PDT,2019-07-08,2019-07-09 01:01:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:16:05 UTC,2023-11-01 03:48:47 UTC,research,CC0,https://www.inaturalist.org/observations/29159511,https://inaturalist-open-data.s3.amazonaws.com/photos/45497586/medium.jpg,,"Ackerson Meadow, Castilleja lineariloba",What I can see of the stem looks hairy...,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8382866667,-119.8443083333,,,,,,,,false,,,Linear-lobed Owl's-clover,Castilleja lineariloba,Linear-lobed Owl's-clover,Plantae,58327,Orobanchaceae,Castilleja,Castilleja lineariloba,
29159513,2019/07/08 6:05 PM PDT,2019-07-08,2019-07-09 01:05:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:16:07 UTC,2019-08-20 01:36:46 UTC,research,CC0,https://www.inaturalist.org/observations/29159513,https://inaturalist-open-data.s3.amazonaws.com/photos/45497598/medium.jpg,,"Ackerson Meadow, Kelloggia galioides",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.83844,-119.8448566667,,,,,28329,,,false,,,milk kelloggia,Kelloggia galioides,milk kelloggia,Plantae,77605,Rubiaceae,Kelloggia,Kelloggia galioides,
29159515,2019/07/08 6:06 PM PDT,2019-07-08,2019-07-09 01:06:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:16:08 UTC,2020-02-02 05:22:57 UTC,research,CC0,https://www.inaturalist.org/observations/29159515,https://inaturalist-open-data.s3.amazonaws.com/photos/45497615/medium.jpg,,"Ackerson Meadow, Madia gracilis",,0,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.8384333333,-119.8448316667,,,,,,,,false,,,grassy tarweed,Madia gracilis,grassy tarweed,Plantae,53135,Asteraceae,Madia,Madia gracilis,
29159517,2019/07/08 6:12 PM PDT,2019-07-08,2019-07-09 01:12:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2019-07-20 07:16:10 UTC,2019-07-20 16:52:24 UTC,research,CC0,https://www.inaturalist.org/observations/29159517,https://inaturalist-open-data.s3.amazonaws.com/photos/45497634/medium.jpg,,"Ackerson Meadow, Chlorogalum pomeridianum",,1,0,false,,"Ackerson Meadow, Tuolumne County, CA, USA",37.83777,-119.845595,,,,,28329,,,false,,,wavy-leafed soap plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597,Asparagaceae,Chlorogalum,Chlorogalum pomeridianum,
30281017,2019/07/08 6:51 PM PDT,2019-07-08,2019-07-09 01:51:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 00:58:51 UTC,2019-08-22 05:47:12 UTC,research,CC-BY,https://www.inaturalist.org/observations/30281017,https://inaturalist-open-data.s3.amazonaws.com/photos/47299050/medium.jpeg,,"common bracken, flower",,2,0,false,,"Stanislaus National Forest, California, USA",37.83527,-119.84632,7,,,,7,,,false,,,Common Bracken,Pteridium aquilinum,common bracken,Plantae,52681,Dennstaedtiaceae,Pteridium,Pteridium aquilinum,
30283412,2019/07/08 6:54 PM PDT,2019-07-08,2019-07-09 01:54:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 01:49:57 UTC,2019-08-06 02:23:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/30283412,https://inaturalist-open-data.s3.amazonaws.com/photos/47302524/medium.jpeg,,"flower, green, white",,1,0,false,,"Stanislaus National Forest, California, USA",37.8353,-119.84617,7,,,,7,,,false,,,Corn Lily,Veratrum californicum,Corn Lily,Plantae,60500,Melanthiaceae,Veratrum,Veratrum californicum,
30283417,2019/07/08 6:54 PM PDT,2019-07-08,2019-07-09 01:54:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 01:50:01 UTC,2019-08-08 19:03:19 UTC,research,CC-BY,https://www.inaturalist.org/observations/30283417,https://inaturalist-open-data.s3.amazonaws.com/photos/47302748/medium.jpeg,,"flower, flying, male, wavy-leafed soap plant, white",,2,0,false,,"Stanislaus National Forest, California, USA",37.83526,-119.84623,7,,,,7,,,false,,,Wavy-leafed Soap Plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597,Asparagaceae,Chlorogalum,Chlorogalum pomeridianum,
30283771,2019/07/08 6:57 PM PDT,2019-07-08,2019-07-09 01:57:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 01:55:20 UTC,2019-08-06 02:24:23 UTC,research,CC-BY,https://www.inaturalist.org/observations/30283771,https://inaturalist-open-data.s3.amazonaws.com/photos/47303328/medium.jpeg,,"female, flower, flying, hummingbird, pink, white",,1,0,false,,"Stanislaus National Forest, California, USA",37.83528,-119.84622,7,,,,7,,,false,,,Nettle-leaf Giant Hyssop,Agastache urticifolia,nettle-leaf giant hyssop,Plantae,63316,Lamiaceae,Agastache,Agastache urticifolia,
30283774,2019/07/08 6:59 PM PDT,2019-07-08,2019-07-09 01:59:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 01:55:20 UTC,2023-02-16 18:55:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/30283774,https://inaturalist-open-data.s3.amazonaws.com/photos/47303355/medium.jpeg,,"dodder, seed, trifolium, pink",,2,0,false,,"Stanislaus National Forest, California, USA",37.83529,-119.8463233,7,,,,7,,,false,,,Whiskerbrush,Leptosiphon ciliatus,Whiskerbrush,Plantae,77684,Polemoniaceae,Leptosiphon,Leptosiphon ciliatus,
30284608,2019/07/08 6:33 PM PDT,2019-07-08,2019-07-09 01:33:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 02:14:17 UTC,2019-08-06 02:23:16 UTC,research,CC-BY,https://www.inaturalist.org/observations/30284608,https://inaturalist-open-data.s3.amazonaws.com/photos/47304547/medium.jpeg,,"",,1,0,false,,"Stanislaus National Forest, California, USA",37.83689,-119.84657,7,,,,7,,open,false,,,California Incense-Cedar,Calocedrus decurrens,California incense-cedar,Plantae,53723,Cupressaceae,Calocedrus,Calocedrus decurrens,
30284610,2019/07/08 6:34 PM PDT,2019-07-08,2019-07-09 01:34:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 02:14:18 UTC,2019-08-07 15:02:37 UTC,research,CC-BY,https://www.inaturalist.org/observations/30284610,https://inaturalist-open-data.s3.amazonaws.com/photos/47304571/medium.jpeg,,"flower, pink, white",,1,0,false,,"Stanislaus National Forest, California, USA",37.83694,-119.84659,7,,,,7,,,false,,,Whiskerbrush,Leptosiphon ciliatus,Whiskerbrush,Plantae,77684,Polemoniaceae,Leptosiphon,Leptosiphon ciliatus,
30284617,2019/07/08 6:32 PM PDT,2019-07-08,2019-07-09 01:32:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 02:14:22 UTC,2020-07-14 16:50:31 UTC,research,CC-BY,https://www.inaturalist.org/observations/30284617,https://inaturalist-open-data.s3.amazonaws.com/photos/47304643/medium.jpeg,,"introduced, grass, flower",,2,0,false,,"Stanislaus National Forest, California, USA",37.83686,-119.84648,7,,,,7,,,false,,,bristly dogtail grass,Cynosurus echinatus,bristly dogtail grass,Plantae,47695,Poaceae,Cynosurus,Cynosurus echinatus,
30284619,2019/07/08 6:30 PM PDT,2019-07-08,2019-07-09 01:30:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 02:14:26 UTC,2021-02-22 18:41:31 UTC,research,CC-BY,https://www.inaturalist.org/observations/30284619,https://inaturalist-open-data.s3.amazonaws.com/photos/47304695/medium.jpeg,,"flower, purple",,1,0,false,,"Stanislaus National Forest, California, USA",37.83681,-119.8464875999,7,,,,7,,,false,,,Wild Hyacinth,Dichelostemma multiflorum,Round-Tooth Ookow,Plantae,62262,Asparagaceae,Dichelostemma,Dichelostemma multiflorum,
30284624,2019/07/08 6:25 PM PDT,2019-07-08,2019-07-09 01:25:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 02:14:29 UTC,2021-01-25 07:59:07 UTC,research,CC-BY,https://www.inaturalist.org/observations/30284624,https://inaturalist-open-data.s3.amazonaws.com/photos/47304990/medium.jpeg,,"manzanita, yellow, fruit",Sticky.,2,0,false,,"Stanislaus National Forest, California, USA",37.83675,-119.84635,7,,,,7,,,false,,,mariposa manzanita,Arctostaphylos viscida mariposa,mariposa manzanita,Plantae,79619,Ericaceae,Arctostaphylos,Arctostaphylos viscida,Arctostaphylos viscida mariposa
30286421,2019/07/08 6:07 PM PDT,2019-07-08,2019-07-09 01:07:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 02:50:15 UTC,2020-02-06 01:16:40 UTC,research,CC-BY,https://www.inaturalist.org/observations/30286421,https://inaturalist-open-data.s3.amazonaws.com/photos/47307994/medium.jpeg,,"common madia, flower, red, yellow",holy moly,1,0,false,,"Stanislaus National Forest, California, USA",37.83647,-119.84585,7,,,,7,,,false,,,Common Madia,Madia elegans,Common Madia,Plantae,56974,Asteraceae,Madia,Madia elegans,
30286426,2019/07/08 5:43 PM PDT,2019-07-08,2019-07-09 00:43:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 02:50:17 UTC,2021-05-27 16:14:27 UTC,research,CC-BY,https://www.inaturalist.org/observations/30286426,https://inaturalist-open-data.s3.amazonaws.com/photos/47308119/medium.jpeg,,"flower, white, red, pink, yellow",,1,0,false,,"Stanislaus National Forest, California, USA",37.83569,-119.84558,7,,,,7,,,false,,,Superb Mariposa Lily,Calochortus superbus,Superb Mariposa Lily,Plantae,51078,Liliaceae,Calochortus,Calochortus superbus,
30287810,2019/07/08 6:02 PM PDT,2019-07-08,2019-07-09 01:02:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 03:25:51 UTC,2022-06-08 09:39:40 UTC,research,CC-BY,https://www.inaturalist.org/observations/30287810,https://inaturalist-open-data.s3.amazonaws.com/photos/47310319/medium.jpeg,,"flower, red, yellow","",1,0,false,,"Stanislaus National Forest, California, USA",37.83639,-119.8456468001,7,,,,7,,open,false,,"",Seep Monkeyflower,Erythranthe guttata,seep monkeyflower,Plantae,470643,Phrymaceae,Erythranthe,Erythranthe guttata,
30287811,2019/07/08 6:02 PM PDT,2019-07-08,2019-07-09 01:02:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 03:25:51 UTC,2023-01-14 02:46:31 UTC,research,CC-BY,https://www.inaturalist.org/observations/30287811,https://inaturalist-open-data.s3.amazonaws.com/photos/47310332/medium.jpeg,,"flower, pink",,1,0,false,,"Stanislaus National Forest, California, USA",37.8363437,-119.84564,7,,,,7,,,false,,,Springbank Clover,Trifolium wormskioldii,springbank clover,Plantae,71146,Fabaceae,Trifolium,Trifolium wormskioldii,
30287821,2019/07/08 5:50 PM PDT,2019-07-08,2019-07-09 00:50:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 03:25:57 UTC,2024-06-02 14:55:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/30287821,https://inaturalist-open-data.s3.amazonaws.com/photos/47314451/medium.jpeg,,"fruit, green","",2,0,false,,"Stanislaus National Forest, California, USA",37.83589,-119.8455067,7,,,,7,,open,false,,,western blue flag,Iris missouriensis,western blue flag,Plantae,57730,Iridaceae,Iris,Iris missouriensis,
30289005,2019/07/08 5:47 PM PDT,2019-07-08,2019-07-09 00:47:00 UTC,Pacific Time (US & Canada),2991,sea-kangaroo,"",2019-08-06 03:50:12 UTC,2022-08-18 05:26:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/30289005,https://inaturalist-open-data.s3.amazonaws.com/photos/47311114/medium.jpeg,,"crab spider, flower, pink, yellow",,1,0,false,,"Stanislaus National Forest, California, USA",37.83579,-119.84556,7,,,,7,,,false,,,Torrey's Monkeyflower,Diplacus torreyi,Torrey's monkeyflower,Plantae,771833,Phrymaceae,Diplacus,Diplacus torreyi,
