institutionCode,collectionCode,basisOfRecord,family,species,day,month,year,decimalLatitude,decimalLongitude
UCJEPS,VASC,PreservedSpecimen,Polemoniaceae,Linanthus harknessii,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Poaceae,Danthonia intermedia,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Juncaceae,Luzula orestera,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Convolvulaceae,Cuscuta suksdorfii,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Carex buxbaumii,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Juncaginaceae,Triglochin palustris,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Juncaceae,Juncus bufonius,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Carex pellita,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Polygonaceae,Polygonum polygaloides,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Polygonaceae,Polygonum polygaloides,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Polygonaceae,Polygonum polygaloides,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Juncaginaceae,Triglochin maritima,9,8,2005,37.864716,-119.30666
UCJEPS,VASC,PreservedSpecimen,Poaceae,Distichlis spicata,9,8,2005,37.864716,-119.30666
YM,,PreservedSpecimen,Cyperaceae,Carex buxbaumii,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Juncaceae,Juncus bufonius,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Juncaceae,Juncus bufonius,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Cyperaceae,Carex aurea,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Polygonaceae,Polygonum polygaloides,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Polygonaceae,Polygonum polygaloides,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Polygonaceae,Polygonum polygaloides,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Polygonaceae,Polygonum polygaloides,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Polygonaceae,Polygonum polygaloides,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Polygonaceae,Polygonum polygaloides,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Boraginaceae,Plagiobothrys scouleri,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Asteraceae,Pyrrocoma apargioides,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Convolvulaceae,Cuscuta suksdorfii,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Convolvulaceae,Cuscuta suksdorfii,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Juncaginaceae,Triglochin palustris,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Juncaginaceae,Triglochin palustris,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Plantaginaceae,Penstemon rydbergii,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Poaceae,Danthonia intermedia,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Poaceae,Danthonia intermedia,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Cyperaceae,Carex filifolia,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Cyperaceae,Carex filifolia,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Polemoniaceae,Linanthus harknessii,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Polemoniaceae,Linanthus harknessii,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Juncaceae,Luzula orestera,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Juncaceae,Luzula orestera,9,8,2005,37.864717,-119.306663
YM,,PreservedSpecimen,Boraginaceae,Plagiobothrys scouleri,2,7,2005,37.86477,-119.306711
UCJEPS,VASC,PreservedSpecimen,Juncaginaceae,Triglochin maritima,2,7,2005,37.86477,-119.30671
YM,,PreservedSpecimen,Cyperaceae,Carex buxbaumii,1,8,2006,37.866818,-119.313936
YM,,PreservedSpecimen,Poaceae,Muhlenbergia filiformis,23,8,2006,37.8663,-119.322399
YM,,PreservedSpecimen,Poaceae,Deschampsia cespitosa,23,8,2006,37.8663,-119.322399
YM,,PreservedSpecimen,Poaceae,Deschampsia cespitosa,23,8,2006,37.8663,-119.322399
YM,,PreservedSpecimen,Poaceae,Deschampsia cespitosa,23,8,2006,37.8663,-119.322399
YM,,PreservedSpecimen,Poaceae,Deschampsia cespitosa,23,8,2006,37.8663,-119.322399
YM,,PreservedSpecimen,Juncaceae,Juncus nevadensis,23,8,2006,37.8663,-119.322399
YM,,PreservedSpecimen,Poaceae,Agrostis scabra,23,8,2006,37.8663,-119.322399
YM,,PreservedSpecimen,Asteraceae,Senecio scorzonella,23,8,2006,37.8663,-119.322399
UCJEPS,VASC,PreservedSpecimen,Fabaceae,Lupinus polyphyllus,23,8,2006,37.86711,-119.3224
UCJEPS,VASC,PreservedSpecimen,Fabaceae,Lupinus polyphyllus,23,8,2006,37.86711,-119.3224
UCJEPS,VASC,PreservedSpecimen,Fabaceae,Lupinus gracilentus,23,8,2006,37.86711,-119.3224
UCJEPS,VASC,PreservedSpecimen,Isoetaceae,Isoetes nuttallii,2,8,1936,37.86944,-119.32306
