notes,accepted_name,scientific_name,status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,parks_outcome,voucher_outcome,old&recent,first_voucher,last_voucher,iNat_needs_ID_?,first_iNat,last_iNat
"voucher geolocated into the ocean, but notes indicate in Royal. Interestingly the locality notes say 'Bulgo, below Stoney Batter Hill, S of Royal National Park', but Bulgo is actually inside the official Royal boundaries (right at the tip), not south of it",Adiantum raddianum,Adiantum raddianum,current,Pteridaceae,1.ferns/primitive,introduced,,,,,,1,,,1,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park","add, voucher found during check",recent_vouchers_only,2000,2000,none,,
,Adiantum silvaticum,Adiantum silvaticum,current,Pteridaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1895,1904,none,,
,Aegiceras corniculatum,Aegiceras corniculatum,current,Primulaceae,3.dicot,native,13,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1933,1946,,1988,2023
,Agapanthus praecox,Agapanthus praecox,current,Amaryllidaceae,5.monocot-colorful,introduced,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2022,2022
,Ageratina adenophora,Ageratina adenophora,current,Asteraceae,3.dicot,introduced,13,1,1,1,1,1,1,,1,,1,retain observation,retain on list,retain voucher,recent_vouchers_only,1994,2012,,2019,2024
,Ageratina riparia,Ageratina riparia,current,Asteraceae,3.dicot,introduced,8,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1948,2017,,2020,2023
,Ageratum houstonianum,Ageratum houstonianum,current,Asteraceae,3.dicot,introduced,,,,,,,,,,1,1,needsID_only_correct,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2023,2023
,Aira caryophyllea,Aira caryophyllea,current,Poaceae,4.monocot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Aira praecox,Aira praecox,current,Poaceae,4.monocot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Ajuga australis,Ajuga australis,current,Lamiaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1897,1897,none,,
,Alectryon subcinereus,Alectryon subcinereus,current,Sapindaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1956,1956,none,,
"An interesting case. When using ALA or AVH, there are no vouchers gelocated inside royal. When going via GBIF, however, there is one from 1987. I found this record in ALA/AVH by matching the catalogue number. The verbatim locality does not match the coordinates in royal at all, and indeed it has an annotation that reads ""Coordinates supplied on NSW exchange label as 34 degrees 4 minutes S, 151 degrees 1 minute E. These coordinates map to c. 5 km SE of the described locality."" This record is thus not from inside the park. This then made me wonder about the park listing. From extensive searching online in floras etc, I couldn't find any evidence that this species does occur in Royal. I asked Karen Wilson, and she confirmed with me she does not know of any occurrences in Royal, so I have removed it.",Allocasuarina diminuta,Allocasuarina diminuta,current,Casuarinaceae,3.dicot,out-of-range,,1,1,,,,,,,,,"XX-not in iNat, not in park","remove, False Report","remove, wrong coordinates",(disagree with voucher),,,,,
,Allocasuarina distyla,Allocasuarina distyla,current,Casuarinaceae,3.dicot,native,12,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1928,2015,,2015,2024
,Allocasuarina littoralis,Allocasuarina littoralis,current,Casuarinaceae,3.dicot,native,1,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1896,2015,,2023,2023
,Allocasuarina nana,Allocasuarina nana,current,Casuarinaceae,3.dicot,native,,1,1,,1,1,,1,1,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1975,2011,none,,
,Allocasuarina paludosa,Allocasuarina paludosa,current,Casuarinaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Allocasuarina torulosa,Allocasuarina torulosa,current,Casuarinaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1978,1981,,2022,2022
,Allocasuarina verticillata,Allocasuarina verticillata,current,Casuarinaceae,3.dicot,native,1,1,1,1,1,1,1,1,1,,1,"retain, but restricted license",retain on list,retain voucher,old&recent_vouchers,1905,2005,,2021,2021
,Almaleea paludosa,Almaleea paludosa,current,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1981,1981,none,,
"I've annotated this as native as it's in range, but I suspect that this population in royal is naturalised from garden plantings, given this species' popularity as a garden plant and that the records are on the edge of the park with houses not too far away",Alocasia brisbanensis,Alocasia brisbanensis,current,Araceae,5.monocot-colorful,native,1,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2023,2023
,Aloe maculata,Aloe maculata,current,Asphodelaceae,5.monocot-colorful,introduced,,,,,,,,,,1,1,needsID_only_correct,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2021,2021
,Alphitonia excelsa,Alphitonia excelsa,current,Rhamnaceae,3.dicot,native,2,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1888,2021,,2020,2021
,Alstroemeria psittacina,Alstroemeria psittacina,current,Alstroemeriaceae,5.monocot-colorful,introduced,2,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2022,2023
,Alternanthera denticulata,Alternanthera denticulata,current,Amaranthaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1975,none,,
"the 1890 voucher could actually be outside the park, but locality notes too vague to say either way. Doesn't matter anyway since other vouchers definitely in park",Amperea xiphoclada,Amperea xiphoclada,current,Euphorbiaceae,3.dicot,native,5,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1890,1971,,2020,2023
,Amphipogon strictus,Amphipogon strictus,current,Poaceae,4.monocot,native,,1,1,,1,1,,1,1,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1973,1996,none,,
,Amyema congener,Amyema congener,current,Loranthaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1904,1904,,2020,2020
,Amyema pendula,Amyema pendula,current,Loranthaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1888,1888,none,,
,Amylotheca dictyophleba,Amylotheca dictyophleba,current,Loranthaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1978,1978,none,,
,Andropogon virginicus,Andropogon virginicus,current,Poaceae,4.monocot,introduced,2,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2023,2023
"1915 voucher that has been geolocated just outside Royal could actually be inside, as the entered coordinates don't seem to match the locality name well, but the locality is too vague to be confident of including",Aneilema acuminatum,Aneilema acuminatum,current,Commelinaceae,5.monocot-colorful,native,2,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2024,2024
,Aneilema biflorum,Aneilema biflorum,current,Commelinaceae,5.monocot-colorful,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1977,1977,none,,
"no vouchers or iNat, but seems reasonable with vouchers just on the border outside the park, and eucalypts often undercollected, so the fact that it's listed as in park is unsurprising and I'm happy to retain this",Angophora bakeri,Angophora bakeri,current,Myrtaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",Angophora costata,Angophora costata,current,Myrtaceae,3.dicot,native,32,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1885,1976,,2010,2024
"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",Angophora hispida,Angophora hispida,current,Myrtaceae,3.dicot,native,129,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1905,2013,,1988,2024
,Anisopogon avenaceus,Anisopogon avenaceus,current,Poaceae,4.monocot,native,2,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1973,1994,,2020,2023
iNat record just outside the park,Anredera cordifolia,Anredera cordifolia,current,Basellaceae,3.dicot,introduced,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1975,1975,none,,
,Anthelepis paludosa,Anthelepis paludosa,current,Cyperaceae,4.monocot,native,,1,1,,1,1,,1,1,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1973,2012,none,,
,Anthelepis paludosa,Schoenus paludosus,synonym,Cyperaceae,4.monocot,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym voucher,"remove, double listing",(remove),,,,,
,Anthosachne scabra,Anthosachne scabra,current,Poaceae,4.monocot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Anthoxanthum odoratum,Anthoxanthum odoratum,current,Poaceae,4.monocot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Aotus ericoides,Aotus ericoides,current,Fabaceae,3.dicot,native,19,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1887,1984,,2016,2023
,Aphanopetalum resinosum,Aphanopetalum resinosum,current,Aphanopetalaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1888,1981,,2021,2021
,Apium prostratum,Apium prostratum,current,Apiaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1936,1947,none,,
,Apocissus antarctica,Apocissus antarctica,current,Vitaceae,3.dicot,native,4,,,1,1,1,1,1,,,1,retain observation,"retain, synonym","retain, synonym",old_vouchers_only,1924,1969,,2021,2024
,Apocissus antarctica,Cissus antarctica,synonym,Vitaceae,3.dicot,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,,,
,Apocissus hypoglauca,Apocissus hypoglauca,current,Vitaceae,3.dicot,native,11,,,1,1,1,1,1,1,,1,retain observation,"retain, synonym","retain, synonym",old&recent_vouchers,1949,1993,,2020,2024
,Apocissus hypoglauca,Cissus hypoglauca,synonym,Vitaceae,3.dicot,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,,,
,Apocissus sterculiifolia,Apocissus sterculiifolia,current,Vitaceae,3.dicot,native,,,,,1,,,,,,1,"XX-not in iNat, yes in park","retain, synonym","no voucher, but exists in park",no_vouchers,,,none,,
,Apocissus sterculiifolia,Cissus sterculiifolia,synonym,Vitaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,,,
"native weed, naturalised in the park from plantings",Araucaria cunninghamii,Araucaria cunninghamii,current,Araucariaceae,2.gymnosperm,introduced,1,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2022,2022
,Araujia sericifera,Araujia sericifera,current,Apocynaceae,3.dicot,introduced,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2022,2022
,Archontophoenix cunninghamiana,Archontophoenix cunninghamiana,current,Arecaceae,5.monocot-colorful,native,,1,,,1,,,,,,1,needsID-likely correct,retain on list,"no voucher, but exists in park",no_vouchers,,,yes_correct,,
,Arctotheca calendula,Arctotheca calendula,current,Asteraceae,3.dicot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"1971 voucher definitely from the park, but has been geolocated into the ocean, just outside the park, when digitised",Arctotheca populifolia,Arctotheca populifolia,current,Asteraceae,3.dicot,introduced,,1,,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,"add, voucher found during check",old_vouchers_only,1971,1971,none,,
,Arenaria leptoclados,Arenaria leptoclados,current,Caryophyllaceae,3.dicot,introduced,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
"this species was included in the park list based only on one of the constituent sub-lists, with the other two recording A. leptoclados. Given A. leptoclados was previously treated as a variety of serpyllifolia, it's highly likely the outlier sub-list was actually referring to A. serpyllifolia [var. leptoclados] = A. leptoclados. Also, there are a number of vouchers of leptoclados in the general area around Royal, but none of serpyllifolia anywhere close ",Arenaria leptoclados,Arenaria serpyllifolia,misapplied,Caryophyllaceae,3.dicot,introduced,,1,,,misapplied,misapplied,misapplied,,,,,XX-misapplied other list,"remove, double listing",XX-misapplied re parks list,(remove),,,,,
,Aristea ecklonii,Aristea ecklonii,current,Iridaceae,5.monocot-colorful,introduced,4,,,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","no voucher, but exists in park",no_vouchers,,,,2022,2023
,Aristida ramosa ,Aristida ramosa ,current,Poaceae,4.monocot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Aristida vagans,Aristida vagans,current,Poaceae,4.monocot,native,,1,1,,1,1,,1,1,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1974,1994,none,,
,Aristida warburgii,Aristida warburgii,current,Poaceae,4.monocot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Arrhenechthites mixtus,Arrhenechthites mixtus,current,Asteraceae,3.dicot,native,,,1,,,1,,1,,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park",retain voucher,old_vouchers_only,1983,1983,none,,
one voucher just outside park,Arthropteris beckleri,Arthropteris beckleri,current,Tectariaceae,1.ferns/primitive,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
