family,day,month,year,species,recordedBy
Rousseaceae,22,5,1924,Abrophyllum ornans,"Welch, M.B. | Cannon, D."
Rousseaceae,NA,11,1934,Abrophyllum ornans,"Frazer, L."
Rousseaceae,29,6,1935,Abrophyllum ornans,"Frazer, L."
Rousseaceae,23,12,1950,Abrophyllum ornans,"St John, H."
Rousseaceae,NA,2,1956,Abrophyllum ornans,"Williams, J.B."
Rousseaceae,27,3,1958,Abrophyllum ornans,"Evans, O.D.; Blaxell, D.F."
Rousseaceae,7,12,1978,Abrophyllum ornans,"Waterhouse, J.T.; Hindmarsh, M.M."
Fabaceae,27,6,1972,Acacia baueri,"Coveny, R.G. | Armstrong, J.A. | Gibson, S."
Fabaceae,NA,11,1890,Acacia binervata,"Betche, E."
Fabaceae,1,10,1897,Acacia binervata,"Camfield, J.H."
Fabaceae,NA,10,1897,Acacia binervata,"Deane, H.; Camfield, J.H."
Fabaceae,NA,10,1905,Acacia binervata,Unknown
Fabaceae,17,7,1946,Acacia binervata,"Johnson, L.A.S."
Fabaceae,NA,10,1964,Acacia binervata,"Coveny, R.G."
Fabaceae,NA,9,1967,Acacia binervata,"Hind, P.D."
Fabaceae,NA,8,1921,Acacia brownii,"Anderson | Boorman, J.L."
Fabaceae,24,9,1969,Acacia bynoeana,"Coveny, R.G.; COVR"
Fabaceae,27,4,2008,Acacia bynoeana,"Miller, R.T. | Miller, J."
Fabaceae,13,8,1914,Acacia echinula,"Maiden, J.H."
Fabaceae,20,8,1926,Acacia echinula,"Evans, O.D."
Fabaceae,12,8,1953,Acacia echinula,"Constable, E.F."
Fabaceae,12,8,1960,Acacia echinula,"Evans, O.D.; Blaxell, D."
Fabaceae,12,8,1960,Acacia echinula,"Evans, O.D.; Blaxell, D."
Fabaceae,12,8,1960,Acacia echinula,"Evans, O.D.; Blaxell, D."
Fabaceae,7,8,1961,Acacia echinula,"Burgess, C."
Fabaceae,12,8,1961,Acacia echinula,"Burgess, C."
Fabaceae,7,8,1967,Acacia echinula,"Coveny, R.G."
Fabaceae,NA,5,1952,Acacia elata,"Williams, J.B."
Fabaceae,15,9,1888,Acacia elongata,"Fletcher, J.J."
Fabaceae,NA,9,1888,Acacia elongata,"Deane, H."
Fabaceae,28,9,1901,Acacia elongata,"Helms, R."
Fabaceae,1,6,1914,Acacia elongata,"Smith, F.R."
Fabaceae,NA,6,1914,Acacia elongata,"Hamilton, A.A."
Fabaceae,NA,6,1914,Acacia elongata,"Hamilton, A.A."
Fabaceae,NA,6,1914,Acacia elongata,"Hamilton, A.A."
Fabaceae,NA,8,1914,Acacia elongata,"Hamilton, A.A."
Fabaceae,NA,9,1924,Acacia elongata,"Welch, M.B."
Fabaceae,5,9,1961,Acacia elongata,"Croucher, P."
Fabaceae,NA,9,1963,Acacia elongata,"Burkitt, S."
Fabaceae,12,6,1939,Acacia falcata,"Ingram, C.K."
Fabaceae,31,8,1948,Acacia fimbriata,"Constable, E.F."
Fabaceae,NA,8,1890,Acacia floribunda,Unknown
Fabaceae,NA,4,1921,Acacia floribunda,Unknown
Fabaceae,24,8,1932,Acacia floribunda,"White, C.T."
Fabaceae,31,8,1948,Acacia floribunda,"Constable, E.F.; Constable EF"
Fabaceae,31,8,1948,Acacia floribunda,"Constable, E.F.; Constable EF"
Fabaceae,31,8,1948,Acacia floribunda,"Constable, E.F.; Constable EF"
Fabaceae,31,8,1948,Acacia floribunda,"Constable, E.F.; Constable EF"
Fabaceae,24,8,1952,Acacia floribunda,"Melville, R."
Fabaceae,22,8,1955,Acacia floribunda,"Tindale, M.D."
Fabaceae,5,9,1961,Acacia floribunda,"Croucher, P."
Fabaceae,15,9,1981,Acacia floribunda,"James, T. | Coveny, R.G."
Fabaceae,28,4,1984,Acacia floribunda,"Mills, K.; MILK-NO"
Fabaceae,9,10,1897,Acacia irrorata,"Camfield, J.H."
Fabaceae,NA,2,1898,Acacia irrorata,"Hamfield, J."
Fabaceae,NA,12,1898,Acacia irrorata,"Camfield, J.H."
Fabaceae,5,2,1916,Acacia irrorata,"Cheel, E."
Fabaceae,27,10,1946,Acacia irrorata,"Tindale, M.D."
Fabaceae,27,10,1946,Acacia irrorata,"Tindale, M.D."
Fabaceae,27,10,1946,Acacia irrorata,"Tindale, M.D."
Fabaceae,27,12,1954,Acacia irrorata,"Salasoo, H."
Fabaceae,19,11,1955,Acacia irrorata,"Hotchkiss, A.T."
Fabaceae,NA,12,1958,Acacia irrorata,"McKern, J.G."
Fabaceae,27,7,1963,Acacia irrorata,"Coveny, R.G."
Fabaceae,28,3,1984,Acacia irrorata,"Mills, K.; MILK-NO"
Fabaceae,18,8,1985,Acacia irrorata,"Mills, K.; MILK-NO"
Fabaceae,21,12,1990,Acacia irrorata,"Kennedy, M. | Dart, I.; Kennedy, M.;Dart, I."
Fabaceae,14,11,2001,Acacia irrorata,"Cassis, G. | Schuh, R.T. | Schwartz, M.D. | Silveira, R. | Wall, Z."
Fabaceae,25,12,1915,Acacia linifolia,Unknown
Fabaceae,25,12,1915,Acacia linifolia,Unknown
Fabaceae,1,1,1921,Acacia linifolia,"Hamilton, A.G.;White, C.T."
Fabaceae,4,2,1928,Acacia linifolia,"Black, R.A."
Fabaceae,16,4,1931,Acacia linifolia,"Hubbard, C.E."
Fabaceae,9,5,1933,Acacia linifolia,Unknown
Fabaceae,NA,4,1951,Acacia linifolia,Unknown
Fabaceae,19,1,1960,Acacia linifolia,"Hartridge, B.M."
Fabaceae,16,2,1975,Acacia linifolia,"Good, R.B."
Fabaceae,15,9,1981,Acacia linifolia,"Coveny, R.G."
Fabaceae,13,6,1982,Acacia linifolia,NA
Fabaceae,1,8,1984,Acacia linifolia,"Mills, K.; MILK-NO"
Fabaceae,11,10,1987,Acacia linifolia,"Donabauer, Z.M."
Fabaceae,6,12,1987,Acacia linifolia,"Davies, F.E.; Davies, F.E. | Mulcahy, T."
Fabaceae,6,12,1987,Acacia linifolia,"Davies, F.E.; Davies, F.E. | Mulcahy, T."
Fabaceae,23,9,1998,Acacia linifolia,"Weston, P.H. | Bernhardt, P. | Kurzweil, H."
Fabaceae,27,9,1999,Acacia linifolia,"Adair, R.J."
Fabaceae,19,7,2008,Acacia linifolia,OLJH97031100
Fabaceae,21,1,2015,Acacia linifolia,"van der Merwe, M. | Rossetto, M. | Summerell, B. | Benson, D.H."
Fabaceae,9,11,2017,Acacia linifolia,"Pyne, T. | Bernardi, A. | Rutherford, S."
Fabaceae,13,9,1890,Acacia longifolia,"Fletcher, J.J."
Fabaceae,1,10,1971,Acacia longifolia,not known
Fabaceae,21,1,2015,Acacia longifolia,"van der Merwe, M. | Rossetto, M. | Summerell, B. | Benson, D.H."
Fabaceae,NA,9,1926,Acacia longissima,"Fuller, M."
Fabaceae,NA,3,1897,Acacia maidenii,"Cambage, R.H."
Fabaceae,1,9,1951,Acacia melanoxylon,"Salasoo, H."
Fabaceae,13,8,1914,Acacia myrtifolia,"Maiden, J.H."
Fabaceae,NA,5,1927,Acacia myrtifolia,"Fuller, M."
Fabaceae,16,4,1931,Acacia myrtifolia,"Hubbard, C.E."
Fabaceae,24,8,1932,Acacia myrtifolia,"White, C.T."
Fabaceae,26,7,1933,Acacia myrtifolia,Rodway
Fabaceae,12,6,1939,Acacia myrtifolia,"Ingram, C.K."
Fabaceae,21,8,1960,Acacia myrtifolia,"Green, J.W."
Fabaceae,15,9,1981,Acacia myrtifolia,"James, T. | Coveny, R.G."
Fabaceae,6,12,1987,Acacia myrtifolia,"Davies, F.E.; Davies, F.E. | Mulcahey, T."
Fabaceae,6,12,1987,Acacia myrtifolia,"Davies, F.E.; Davies, F.E. | Mulcahey, T."
Fabaceae,13,11,2004,Acacia myrtifolia,"McKensy, M.;Gallan, J.; Seed, L.U."
Fabaceae,4,4,1960,Acacia obtusifolia,"Burgess, C.E.B.H."
Fabaceae,NA,12,1920,Acacia parramattensis,"Clarke, G.H."
Fabaceae,21,8,1960,Acacia parramattensis,"Green, J.W."
Fabaceae,NA,8,1907,Acacia pycnantha,"Boorman, J.L."
Fabaceae,27,3,1956,Acacia pycnantha,"Organ, M."
Fabaceae,16,2,1975,Acacia schinoides,"Good, R.B."
Fabaceae,28,9,1901,Acacia stricta,"Helms, R."
Fabaceae,NA,6,1914,Acacia suaveolens,"Hamilton, A.A."
Fabaceae,10,7,1927,Acacia suaveolens,NA
Fabaceae,18,5,1933,Acacia suaveolens,F.A. Rodway
Fabaceae,16,2,1945,Acacia suaveolens,"Cowman, R. | Rodway, J."
Fabaceae,21,8,1960,Acacia suaveolens,"Green, J.W."
Fabaceae,4,5,1969,Acacia suaveolens,"Phillips, M.E.; M.E. Phillips"
Fabaceae,4,5,1969,Acacia suaveolens,"Phillips, M.E.; M.E. Phillips"
Fabaceae,16,2,1975,Acacia suaveolens,"Good, R.B."
Fabaceae,7,6,1982,Acacia suaveolens,NA
Fabaceae,13,6,1982,Acacia suaveolens,NA
Fabaceae,6,12,1987,Acacia suaveolens,"Davies, F.E.; Davies, F.E. | Mulcahy, T."
Fabaceae,6,12,1987,Acacia suaveolens,"Davies, F.E.; Davies, F.E. | Mulcahy, T."
Fabaceae,18,11,2004,Acacia suaveolens,"McKensy, M.;Seed, L.U.; Gallan, J."
Fabaceae,9,3,2005,Acacia suaveolens,"Nelson, I.I.; OPXE99012800;OPJG02091800"
Fabaceae,19,8,2013,Acacia suaveolens,"Hudson, A.& Ooi, M.; OPJGI0000476;NSWOBS-07434"
Fabaceae,19,8,2013,Acacia suaveolens,"Hudson, A.& Ooi, M.; OPJGI0000476;NSWOBS-07434"
Fabaceae,14,11,2013,Acacia suaveolens,"Hudson, A.& Ooi, M.; OPJGI0000476;NSWOBS-07434"
Fabaceae,14,11,2013,Acacia suaveolens,"Hudson, A.& Ooi, M.; OPJGI0000476;NSWOBS-07434"
Fabaceae,14,11,2013,Acacia suaveolens,"Hudson, A.& Ooi, M.; OPJGI0000476;NSWOBS-07434"
Fabaceae,14,11,2013,Acacia suaveolens,"Hudson, A.& Ooi, M.; OPJGI0000476;NSWOBS-07434"
Fabaceae,14,11,2013,Acacia suaveolens,"Hudson, A.& Ooi, M.; OPJGI0000476;NSWOBS-07434"
Fabaceae,14,11,2013,Acacia suaveolens,"Hudson, A.& Ooi, M.; OPJGI0000476;NSWOBS-07434"
Fabaceae,14,11,2013,Acacia suaveolens,"Hudson, A.& Ooi, M.; OPJGI0000476;NSWOBS-07434"
Fabaceae,14,11,2013,Acacia suaveolens,"Hudson, A.& Ooi, M.; OPJGI0000476;NSWOBS-07434"
Fabaceae,21,1,2015,Acacia suaveolens,"van der Merwe, M. | Rossetto, M. | Summerell, B. | Benson, D.H."
Fabaceae,21,1,2015,Acacia suaveolens,"van der Merwe, M. | Rossetto, M. | Summerell, B. | Benson, D.H."
Fabaceae,14,3,2016,Acacia suaveolens,"Taseski, G.M."
Fabaceae,NA,4,1927,Acacia terminalis,"Fuller, M."
Fabaceae,21,8,1960,Acacia terminalis,"Green, J.W."
Fabaceae,31,5,1965,Acacia terminalis,leg. ign.
Fabaceae,28,8,1970,Acacia terminalis,"Hain, B."
Fabaceae,1,10,1971,Acacia terminalis,not known
Fabaceae,20,10,1992,Acacia terminalis,"Ashby, E.|Metcalfe, L."
Fabaceae,9,3,2005,Acacia terminalis,"Nelson, I.I.; OPXE99012800;OPJG02091800"
Fabaceae,9,11,2017,Acacia terminalis,"Pyne, T. | Bernardi, A. | Rutherford, S."
Fabaceae,1,8,1921,Acacia ulicifolia,Anderson;Borman
Fabaceae,24,8,1932,Acacia ulicifolia,"White, C.T."
Fabaceae,NA,5,1943,Acacia ulicifolia,"Willis, J."
Fabaceae,12,8,1960,Acacia ulicifolia,"Evans, O.D."
Fabaceae,21,8,1960,Acacia ulicifolia,"Green, J.W."
Fabaceae,13,6,1982,Acacia ulicifolia,NA
Fabaceae,21,3,1984,Acacia ulicifolia,"Mills, K.; MILK-NO"
Fabaceae,28,3,1984,Acacia ulicifolia,"Mills, K.; MILK-NO"
Fabaceae,9,3,2005,Acacia ulicifolia,"Nelson, I.I."
Fabaceae,28,7,2008,Acacia ulicifolia,"Kodela, P.G. | Coveny, R.G. | Indsto, J.O."
Asteraceae,31,3,1971,Acanthospermum australe,"Coveny, R.G. | O'Hara, J."
Asteraceae,25,1,1987,Acanthospermum australe,"Klaphake, V."
Orchidaceae,15,9,1888,Acianthus caudatus,"Fletcher, J.J."
Orchidaceae,15,9,1888,Acianthus caudatus,"Fletcher, J.J."
Orchidaceae,20,6,1946,Acianthus caudatus,"Dockrill, A.W."
Orchidaceae,22,6,1947,Acianthus caudatus,"Dockrill, A.W."
Orchidaceae,13,7,1947,Acianthus caudatus,"Dockrill, A.W."
Orchidaceae,10,8,1947,Acianthus caudatus,"Dockrill, A.W."
Orchidaceae,7,9,1947,Acianthus caudatus,"Dockrill, A.W."
Orchidaceae,20,6,1948,Acianthus caudatus,"Dockrill, A.W."
Orchidaceae,3,7,1955,Acianthus caudatus,"Dockrill, A.W. | Curnow, C.H.; Curnow, H.|Dockrill, A.W.; Curnow, C.H.;Dockrill, A.W."
Orchidaceae,3,7,1955,Acianthus caudatus,"Dockrill, A.W. | Curnow, C.H.; Curnow, H.|Dockrill, A.W.; Curnow, C.H.;Dockrill, A.W."
Orchidaceae,3,7,1955,Acianthus caudatus,"Dockrill, A.W. | Curnow, C.H.; Curnow, H.|Dockrill, A.W.; Curnow, C.H.;Dockrill, A.W."
Orchidaceae,30,6,1971,Acianthus caudatus,"Coveny, R.G. | Dawson, R."
Orchidaceae,4,7,1976,Acianthus caudatus,"Coveny, R.G. | Hind, P.D."
Orchidaceae,1,7,1995,Acianthus caudatus,"Dalyell, B."
Orchidaceae,23,7,1933,Acianthus exsertus,"Rodway, G.L."
Orchidaceae,19,4,1946,Acianthus exsertus,NA
Orchidaceae,23,3,1947,Acianthus exsertus,"Dockrill, A.W."
Orchidaceae,21,3,1948,Acianthus exsertus,NA
Orchidaceae,3,4,1949,Acianthus exsertus,NA
Orchidaceae,15,5,1949,Acianthus exsertus,"Nicholls, M.W."
Orchidaceae,1,3,1971,Acianthus exsertus,NA
Orchidaceae,1,3,1971,Acianthus exsertus,NA
Orchidaceae,8,5,1899,Acianthus fornicatus,"Cleland, J.B."
Orchidaceae,2,6,1928,Acianthus fornicatus,"Black, R.A."
Orchidaceae,15,5,1949,Acianthus fornicatus,"Nicholls, M.W."
Orchidaceae,25,5,1953,Acianthus fornicatus,"Dockrill, A.W."
Orchidaceae,30,6,1971,Acianthus fornicatus,"Coveny, R.G. | Dawson, R."
Orchidaceae,13,6,1976,Acianthus fornicatus,"Coveny, R.G. | Hind, P.D."
Orchidaceae,4,7,1976,Acianthus fornicatus,"Coveny, R.|Hind, P.; Coveny, R.G. | Hind, P.D."
Orchidaceae,24,7,1991,Acianthus fornicatus,"Quirico, A-L. | Coveny, R.G. | Bernhardt, P."
Orchidaceae,11,6,1992,Acianthus fornicatus,"Tunstall, R."
Orchidaceae,11,6,1992,Acianthus fornicatus,"Tunstall, R."
Orchidaceae,4,6,1995,Acianthus fornicatus,"Dalyell, B."
Orchidaceae,24,6,1995,Acianthus fornicatus,"Dalyell, B. | Dalyell, L. | Dalyell, W."
Orchidaceae,1,7,1995,Acianthus fornicatus,"Dalyell, B."
Orchidaceae,1,7,2011,Acianthus fornicatus,"Clements, M.A."
Rutaceae,5,12,1930,Acronychia oblongifolia,"Evans, O.D."
Rutaceae,NA,NA,1947,Acronychia oblongifolia,"Johnson, L.A.S."
Rutaceae,NA,3,1957,Acronychia oblongifolia,"Williams, J.B."
Rutaceae,4,7,1969,Acronychia oblongifolia,"Coveny, R.G.; Coveny, R."
Rutaceae,16,7,1982,Acronychia oblongifolia,"Mills, K.; MILK-NO"
Ericaceae,7,8,1961,Acrotriche divaricata,"Evans, O.D."
Ericaceae,26,7,1977,Acrotriche divaricata,"Coveny, R.G. | Rodd, A.N.; Coveny RG; Rodd AN"
Ericaceae,26,7,1977,Acrotriche divaricata,"Coveny, R.G. | Rodd, A.N.; Coveny RG; Rodd AN"
Apiaceae,11,6,1933,Actinotus helianthi,"Rodway, G.L."
Apiaceae,19,9,1942,Actinotus helianthi,"Gilbert, L.A.J."
Apiaceae,28,10,1950,Actinotus helianthi,"Warren, J."
Apiaceae,23,12,1950,Actinotus helianthi,"St John, H."
Apiaceae,21,3,1972,Actinotus helianthi,"Coveny, R.G. | Bisby, R.; Coveny, R.G.; Bisby, R."
Apiaceae,8,6,1982,Actinotus helianthi,NA
Apiaceae,1,4,1983,Actinotus helianthi,"Chalson, J."
Apiaceae,15,11,1989,Actinotus helianthi,"Nordenstam, B. | Anderberg, A.; Nordenstam, B. | Anderberg, A.A."
Apiaceae,15,11,1989,Actinotus helianthi,"Nordenstam, B. | Anderberg, A.; Nordenstam, B. | Anderberg, A.A."
Apiaceae,20,10,1992,Actinotus helianthi,"Ashby, E.|Metcalfe, L.; NSWOBS-00411;NSWOBS-10335"
Apiaceae,17,10,1996,Actinotus helianthi,"Moody, S."
Apiaceae,9,10,2012,Actinotus helianthi,"Dalrymple, R."
Apiaceae,26,2,1887,Actinotus minor,"Fletcher, J.J."
Apiaceae,26,2,1887,Actinotus minor,"Fletcher, J.J."
Apiaceae,26,7,1933,Actinotus minor,Rodway
Apiaceae,24,11,1953,Actinotus minor,"Eames, A.J. | Hotchkiss, A.T."
Apiaceae,16,10,1960,Actinotus minor,"Green, J.W."
Apiaceae,9,10,1961,Actinotus minor,"Goode, R.H."
Apiaceae,4,5,1969,Actinotus minor,"Phillips, M.E."
Apiaceae,2,11,1972,Actinotus minor,"Winterhalder, E.K."
Apiaceae,16,3,1980,Actinotus minor,NA
Apiaceae,5,9,1991,Actinotus minor,"Kennedy, M. | Davies, S."
Apiaceae,20,10,1992,Actinotus minor,"Ashby, E.|Metcalfe, L.; NSWOBS-00411;NSWOBS-10335"
Apiaceae,9,3,2005,Actinotus minor,"Nelson, I.I."
Apiaceae,9,10,2012,Actinotus minor,"Dalrymple, R."
Pteridaceae,22,7,1933,Adiantum aethiopicum,"Tillyard, F."
Pteridaceae,12,8,2018,Adiantum aethiopicum,"Taseski, G.M. | Winfield, C.M."
Pteridaceae,8,5,2019,Adiantum aethiopicum,"Mills, K.; OIXR16011200"
Pteridaceae,25,5,1896,Adiantum formosum,"Baker, R.T."
Pteridaceae,NA,11,1897,Adiantum formosum,"Camfield, J.H."
Pteridaceae,NA,6,1905,Adiantum formosum,"Boorman, J.L."
Pteridaceae,28,4,1921,Adiantum formosum,"Harrison, T.H."
Pteridaceae,22,7,1933,Adiantum formosum,"Tillyard, F."
Pteridaceae,23,11,1936,Adiantum formosum,NA
Pteridaceae,NA,3,1945,Adiantum formosum,"Tindale, M.D."
Pteridaceae,2,5,1945,Adiantum formosum,"Tindale, M.D."
Pteridaceae,27,10,1946,Adiantum formosum,"Tindale, M.D."
Pteridaceae,27,10,1946,Adiantum formosum,"Tindale, M.D."
Pteridaceae,27,10,1946,Adiantum formosum,"Tindale, M.D."
Pteridaceae,26,6,1951,Adiantum formosum,"Peake, M."
Pteridaceae,20,10,1952,Adiantum formosum,"Tindale, M.D. | Constable, E.F."
Pteridaceae,NA,11,1958,Adiantum formosum,"Williams, J.B."
Pteridaceae,4,7,1964,Adiantum formosum,"Halsall, D.M."
Pteridaceae,8,5,2019,Adiantum formosum,"Mills, K.; OIXR16011200"
Pteridaceae,NA,6,1905,Adiantum hispidulum,"Boorman, J.L."
Pteridaceae,NA,4,1907,Adiantum hispidulum,"Helms, R."
Pteridaceae,NA,8,1919,Adiantum hispidulum,"Holland, M."
Pteridaceae,30,6,1923,Adiantum hispidulum,"Harris, Miss T."
Pteridaceae,NA,5,1927,Adiantum hispidulum,"Fuller, M."
Pteridaceae,NA,7,1933,Adiantum hispidulum,"White, N.H."
Pteridaceae,26,6,1951,Adiantum hispidulum,"Peake, M."
Pteridaceae,22,9,1955,Adiantum hispidulum,"Constable, E.F."
Pteridaceae,27,6,1958,Adiantum hispidulum,"Fraser, J.A.; Blaxell, D.F."
Pteridaceae,28,8,1970,Adiantum hispidulum,"Hain, B."
Pteridaceae,29,1,2000,Adiantum raddianum,"Robinson, M.V. | Bofeldt, A.T."
Pteridaceae,NA,6,1895,Adiantum silvaticum,"Betche, E."
Pteridaceae,NA,7,1904,Adiantum silvaticum,"Boorman, J.L."
Primulaceae,7,8,1933,Aegiceras corniculatum,"Rodway, G.L."
Primulaceae,24,8,1946,Aegiceras corniculatum,"Johnson, L.A.S."
Asteraceae,18,10,1994,Ageratina adenophora,"Bayer, R.J."
Asteraceae,14,10,2012,Ageratina adenophora,"Dalrymple, R."
Asteraceae,31,8,1948,Ageratina riparia,"Constable, E.F."
Asteraceae,24,8,1952,Ageratina riparia,"Ford, N.C."
Asteraceae,22,9,1955,Ageratina riparia,"Constable, E.F."
Asteraceae,16,9,1958,Ageratina riparia,"Burgess, C."
Asteraceae,19,10,1982,Ageratina riparia,"James, T.; James, T. | Parris, T."
Asteraceae,19,10,1982,Ageratina riparia,"James, T.; James, T. | Parris, T."
Asteraceae,24,9,2017,Ageratina riparia,"Schmidt-Lebuhn, A.N."
Lamiaceae,NA,10,1897,Ajuga australis,"Camfield, J.H."
Sapindaceae,NA,11,1956,Alectryon subcinereus,"Williams, J.B."
Casuarinaceae,24,3,1928,Allocasuarina distyla,"Black, R.A."
Casuarinaceae,14,7,1946,Allocasuarina distyla,"Johnson, L.A.S."
Casuarinaceae,17,10,1948,Allocasuarina distyla,"Chadwick, C.E."
Casuarinaceae,17,10,1948,Allocasuarina distyla,"Chadwick, C.E."
Casuarinaceae,31,3,1971,Allocasuarina distyla,"O'Hara, J. | Coveny, R.G."
Casuarinaceae,26,9,1974,Allocasuarina distyla,"Coveny, R.G. | Armstrong, J.A."
Casuarinaceae,26,9,1974,Allocasuarina distyla,"Coveny, R.G. | Armstrong, J.A."
Casuarinaceae,8,7,1976,Allocasuarina distyla,"Beadle, N.C.W."
Casuarinaceae,15,11,1978,Allocasuarina distyla,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,15,11,1978,Allocasuarina distyla,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,15,11,1978,Allocasuarina distyla,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,2,6,1981,Allocasuarina distyla,"Coveny, R.G."
Casuarinaceae,2,6,1981,Allocasuarina distyla,"Coveny, R.G."
Casuarinaceae,7,9,1982,Allocasuarina distyla,"Hind, P.D."
Casuarinaceae,19,10,1982,Allocasuarina distyla,"James, T.; James, T. | Parris, T."
Casuarinaceae,19,8,1989,Allocasuarina distyla,"Briggs, B.G."
Casuarinaceae,19,8,1989,Allocasuarina distyla,"Briggs, B.G."
Casuarinaceae,19,8,1989,Allocasuarina distyla,"Briggs, B.G."
Casuarinaceae,19,8,1989,Allocasuarina distyla,"Briggs, B.G."
Casuarinaceae,19,8,1989,Allocasuarina distyla,"Briggs, B.G."
Casuarinaceae,14,11,2001,Allocasuarina distyla,"Cassis, G. | Schuh, R.T. | Schwartz, M.D. | Silveira, R. | Wall, Z."
Casuarinaceae,31,10,2004,Allocasuarina distyla,"Keith, D.|Pellow, B.; OJJS07082200;OJJS12102403"
Casuarinaceae,27,11,2004,Allocasuarina distyla,"Keith, D.; OJJS12102403"
Casuarinaceae,13,10,2005,Allocasuarina distyla,"Nelson, I.I."
Casuarinaceae,21,1,2015,Allocasuarina distyla,"van der Merwe, M. | Rossetto, M. | Summerell, B. | Benson, D.H."
Casuarinaceae,NA,4,1896,Allocasuarina littoralis,Anon.
Casuarinaceae,7,6,1905,Allocasuarina littoralis,"Maiden, J.H. | Boorman, J.L."
Casuarinaceae,NA,6,1905,Allocasuarina littoralis,"Maiden, J.H. | Boorman, J.L."
Casuarinaceae,18,3,1961,Allocasuarina littoralis,"Filson, R.B."
Casuarinaceae,29,3,1971,Allocasuarina littoralis,"Coveny, R.G. | O'Hara, J."
Casuarinaceae,26,9,1974,Allocasuarina littoralis,"Coveny, R.G. | Armstrong, J.A."
Casuarinaceae,21,1,2015,Allocasuarina littoralis,"van der Merwe, M. | Rossetto, M. | Summerell, B. | Benson, D.H."
Casuarinaceae,21,1,2015,Allocasuarina littoralis,"van der Merwe, M. | Rossetto, M. | Summerell, B. | Benson, D.H."
Casuarinaceae,21,10,1975,Allocasuarina nana,"Coveny, R.G."
Casuarinaceae,21,10,1975,Allocasuarina nana,"Coveny, R.G."
Casuarinaceae,15,11,1978,Allocasuarina nana,"Coveny, R.G. | Seur, J.; Coveny RG"
Casuarinaceae,15,11,1978,Allocasuarina nana,"Coveny, R.G. | Seur, J.; Coveny RG"
Casuarinaceae,15,11,1978,Allocasuarina nana,"Coveny, R.G. | Seur, J.; Coveny RG"
Casuarinaceae,2,6,1981,Allocasuarina nana,"Coveny, R.G."
Casuarinaceae,NA,NA,2011,Allocasuarina nana,"Auld, T.D."
Casuarinaceae,15,11,1978,Allocasuarina torulosa,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,15,11,1978,Allocasuarina torulosa,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,15,11,1978,Allocasuarina torulosa,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,15,11,1978,Allocasuarina torulosa,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,15,11,1978,Allocasuarina torulosa,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,15,11,1978,Allocasuarina torulosa,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,2,6,1981,Allocasuarina torulosa,"Coveny, R.G."
Casuarinaceae,1,7,1905,Allocasuarina verticillata,"Maiden, J.H.; Maiden, J.H. | Cambage, R.H."
Casuarinaceae,NA,7,1953,Allocasuarina verticillata,"Elliott, A."
Casuarinaceae,10,6,1973,Allocasuarina verticillata,"Coveny, R.G."
Casuarinaceae,2,12,1975,Allocasuarina verticillata,"Coveny, R.G."
Casuarinaceae,15,11,1978,Allocasuarina verticillata,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,15,11,1978,Allocasuarina verticillata,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,15,11,1978,Allocasuarina verticillata,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,15,11,1978,Allocasuarina verticillata,"Coveny, R.G. | Seur, J.; Coveny RG; Coveny, R.; Seur, J."
Casuarinaceae,28,3,1986,Allocasuarina verticillata,"Wallace, B.J."
Casuarinaceae,10,5,2005,Allocasuarina verticillata,"Nelson, I.I."
Fabaceae,15,9,1981,Almaleea paludosa,"Coveny, R.G. | James, T."
Rhamnaceae,22,7,1888,Alphitonia excelsa,"Fletcher, J.J."
Rhamnaceae,6,1,1891,Alphitonia excelsa,"Maiden, J.H."
Rhamnaceae,28,6,1902,Alphitonia excelsa,"Cambage, R.H."
Rhamnaceae,5,3,1910,Alphitonia excelsa,"Cleland, J.B."
Rhamnaceae,NA,1,1958,Alphitonia excelsa,"Williams, J.B."
Rhamnaceae,10,2,2021,Alphitonia excelsa,"Guy Taseski; Taseski, G.M."
Amaranthaceae,4,5,1975,Alternanthera denticulata,"Coveny, R.G. | Hind, P.D."
Euphorbiaceae,5,4,1890,Amperea xiphoclada,"Baker, R.T."
Euphorbiaceae,6,10,1971,Amperea xiphoclada,"Coveny, R.G.; Coveny RG; Coveny R.; Coveny, R."
